Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Fire,17,5,77,,1862,1510,10,1,7,4,7817
2,,Spirit,15,7,68,,1700,1520,8,3,7,4,7824
3,,Rangers,12,10,54,,1784,1776,8,3,4,7,7813
4,,Sydney Uni,11,11,50,,1698,1699,6,5,5,6,7831
5,,Telstars,11,11,50,,1620,1631,6,5,5,6,7801
6,,UC Capitals,11,11,50,,1604,1629,6,5,5,6,7846
7,,Lightning,7,15,31,,1452,1689,5,6,2,9,7810
8,,Waves,4,18,18,,1484,1750,4,7,0,11,7800
