Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Lightning,11,4,73,,1017,893,6,1,5,3,7810
2,,Flames,11,3,78,,900,790,7,1,4,2,7811
3,,AIS,9,5,64,,1015,962,5,2,4,3,7814
4,,Waves,8,5,61,,845,798,4,2,4,3,7800
5,,Telstars,7,5,58,,768,692,3,3,4,2,7801
6,,Rangers,7,5,58,,823,751,5,2,2,3,7813
7,,Boomers,3,9,25,,764,849,2,4,1,5,7812
8,,Capitals,2,10,16,,750,910,0,5,2,5,7818
9,,Blazers,0,12,0,,728,965,0,6,0,6,7815
