Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Flyers,17,4,80,"W
W
L
W
W",1759,1622,8,3,9,1,118765
2,,UC Capitals,15,6,71,"W
W
W
W
W",1689,1590,10,1,5,5,7846
3,,Boomers,15,6,71,"L
L
W
W
W",1671,1468,7,3,8,3,13823
4,,Lightning,12,9,57,"L
W
L
W
L",1655,1576,8,3,4,6,118758
5,,Lynx,8,13,38,"W
L
W
L
L",1667,1692,5,5,3,8,13819
6,,Flames,7,14,33,"L
L
L
W
L",1549,1688,4,6,3,8,13822
7,,Spirit,5,16,23,"L
L
L
L
W",1589,1767,4,7,1,9,13825
8,,Fire,5,16,23,"W
L
L
L
L",1517,1693,3,7,2,9,13818
