Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Flames,18,6,75,"W
W
W
W
W",1935,1823,8,4,10,2,13822
2,,Rangers,15,9,62,"L
L
L
L
W",1856,1743,8,4,7,5,13821
3,,Lynx,15,9,62,"W
W
W
L
L",1948,1843,9,3,6,6,13819
4,,Fire,14,10,58,"L
W
W
W
L",1891,1755,8,4,6,6,13818
5,,UC Capitals,13,11,54,"W
L
W
L
W",1737,1733,8,4,5,7,7846
6,,Spirit,13,11,54,"W
L
L
W
W",1724,1709,7,5,6,6,13825
7,,Boomers,5,19,20,"L
L
W
L
L",1689,1837,3,9,2,10,13823
8,,Lightning,3,21,12,"L
L
L
W
L",1555,1892,0,12,3,9,118758
