Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Lightning,18,3,85,,1523,1248,9,1,9,2,7810
2,,Flames,18,2,90,,1553,1312,9,2,9,0,7811
3,,Waves,13,8,61,,1566,1423,7,3,6,5,7800
4,,Boomers,14,5,73,,1282,1265,7,3,7,2,7812
5,,Blazers,9,10,47,,1475,1483,5,4,4,6,7815
6,,Rangers,9,9,50,,1308,1259,5,4,4,5,7813
7,,Telstars,6,12,33,,1204,1204,3,6,3,6,7801
8,,Capitals,5,13,27,,1288,1394,3,6,2,7,7818
9,,Islanders,2,16,11,,1137,1454,2,7,0,9,7802
10,,AIS,1,17,5,,1059,1353,1,8,0,9,7814
