Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Lynx,15,6,71,"W
W
W
L
L",1734,1626,10,1,5,5,13819
2,,Flames,14,7,66,"W
W
W
W
W",1703,1573,6,4,8,3,13822
3,,Fire,14,7,66,"W
W
W
L
W",1693,1473,8,2,6,5,13818
4,,Boomers,12,9,57,"W
L
L
L
W",1579,1427,8,3,4,6,13823
5,,Lightning,11,10,52,"L
L
W
L
W",1621,1632,6,4,5,6,118758
6,,UC Capitals,7,14,33,"W
W
L
W
W",1551,1717,4,7,3,7,7846
7,,Rangers,7,14,33,"L
L
L
L
L",1422,1516,4,7,3,7,13821
8,,Spirit,4,17,19,"L
W
L
L
L",1457,1796,3,7,1,10,13825
