Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Spirit,21,3,87,"W
W
L
W
W",1799,1564,11,1,10,2,7824
2,,Rangers,19,5,79,"L
W
W
W
L",2076,1730,9,3,10,2,7813
3,,Lightning,18,6,75,"W
W
W
W
W",1915,1652,10,2,8,4,7810
4,,Fire,13,11,54,"L
W
L
W
L",1727,1721,8,4,5,7,7817
5,,Boomers,10,14,41,"W
L
W
W
L",1757,1773,5,7,5,7,7812
6,,Logan Thunder,8,16,33,"W
L
L
L
L",1646,1836,4,8,4,8,7825
7,,Flames,8,16,33,"W
L
L
W
W",1816,1871,6,6,2,10,7811
8,,Capitals,7,17,29,"L
W
L
L
L",1574,1825,4,8,3,9,7818
9,,Waves,4,20,16,"L
L
L
W
L",1456,1794,2,10,2,10,7800
