Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Boomers,21,1,95,,1969,1491,10,1,11,0,7812
2,,Flames,17,5,77,,1785,1510,9,2,8,3,7811
3,,Capitals,16,6,72,,1803,1476,8,3,8,3,7818
4,,Fire,14,8,63,,1775,1566,9,2,5,6,7817
5,,Spirit,13,9,59,,1693,1587,7,4,6,5,7824
6,,Lightning,13,9,59,,1714,1678,8,3,5,6,7810
7,,Logan Thunder,7,15,31,,1548,1654,4,7,3,8,7825
8,,Rangers,6,16,27,,1509,1590,4,7,2,9,7813
9,,Waves,2,20,9,,1488,1921,2,9,0,11,7800
10,,AIS,1,21,4,,1191,2002,1,10,0,11,7814
