Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Flames,20,1,95,,1449,1135,10,1,10,0,7811
2,,Lightning,15,5,75,,1350,1176,6,4,9,1,7810
3,,Telstars,13,7,65,,1203,1166,7,3,6,4,7801
4,,Rangers,9,10,47,,1292,1280,4,6,5,4,7813
5,,Capitals,6,12,33,,1207,1301,3,6,3,6,7818
6,,Blazers,6,12,33,,1148,1258,5,4,1,8,7815
7,,AIS,6,12,33,,1085,1236,2,6,4,6,7814
8,,Waves,5,13,27,,1135,1154,2,7,3,6,7800
9,,Boomers,5,13,27,,1106,1269,2,7,3,6,7812
