Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Spirit,22,2,91,"W
W
W
W
W",1884,1531,11,1,11,1,7824
2,,Rangers,16,8,66,"W
W
L
L
L",2005,1805,9,3,7,5,7813
3,,Fire,16,8,66,"L
W
W
W
W",1891,1691,8,4,8,4,7817
4,,Telstars,14,10,58,"L
W
L
L
L",1634,1616,9,3,5,7,7801
5,,Lightning,12,12,50,"L
W
L
W
W",1755,1707,7,5,5,7,7810
6,,Sydney Uni,10,14,41,"W
L
L
W
W",1764,1720,5,7,5,7,7831
7,,Capitals,10,14,41,"W
W
L
L
W",1829,1865,4,8,6,6,7818
8,,Logan Thunder,7,17,29,"L
L
L
W
L",1699,1900,4,8,3,9,7825
9,,Waves,1,23,4,"L
L
L
L
L",1323,1949,0,12,1,11,7800
