Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,UC Capitals,16,5,76,"W
W
W
W
W",1790,1521,9,1,7,4,7846
2,,Boomers,15,6,71,"W
W
L
W
W",1642,1515,7,4,8,2,13823
3,,Lightning,13,8,61,"W
W
W
L
W",1730,1561,7,3,6,5,118758
4,,Lynx,13,8,61,"L
L
W
W
L",1655,1604,8,3,5,5,13819
5,,Rangers,9,12,42,"L
W
W
L
L",1549,1656,4,6,5,6,13821
6,,Fire,9,12,42,"W
L
L
W
W",1622,1635,4,7,5,5,13818
7,,Spirit,7,14,33,"L
L
L
L
L",1471,1650,4,6,3,8,13825
8,,Flames,2,19,9,"L
L
L
L
L",1490,1807,1,10,1,9,13822
