Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Boomers,19,3,86,,1872,1451,10,1,9,2,7812
2,,Capitals,18,4,81,,1783,1466,9,2,9,2,7818
3,,Spirit,15,7,68,,1567,1507,8,3,7,4,7824
4,,Rangers,12,10,54,,1714,1568,7,4,5,6,7813
5,,Logan Thunder,12,10,54,,1650,1607,6,5,6,5,7825
6,,Flames,10,12,45,,1560,1583,5,6,5,6,7811
7,,Fire,10,12,45,,1496,1535,6,5,4,7,7817
8,,Waves,8,14,36,,1572,1724,4,7,4,7,7800
9,,Lightning,3,19,13,,1631,1861,3,8,0,11,7810
10,,AIS,3,19,13,,1223,1766,3,8,0,11,7814
