Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Jenny Whittle,27,291,235,113,48.1,54,25,46.3,47,40,85.1,151,18,169,50,32,11,48,7810
Samantha Woosnam,26,202,156,71,45.5,58,21,36.2,55,39,70.9,95,28,123,63,5,25,53,7810
Jessica Mahony,13,22,17,5,29.4,4,2,50.0,16,10,62.5,10,6,16,7,1,5,8,7810
Jessica Foley,26,359,281,123,43.8,89,40,44.9,88,73,83.0,60,35,95,85,4,15,61,7810
Lauren King,23,72,66,30,45.5,27,9,33.3,4,3,75.0,23,14,37,8,4,5,15,7810
Erin Phillips,20,291,221,107,48.4,62,25,40.3,70,52,74.3,78,30,108,65,4,28,34,7810
Rebecca Duke,24,43,42,15,35.7,14,3,21.4,18,10,55.6,20,12,32,16,6,7,14,7810
Renae Camino,27,476,443,199,44.9,90,29,32.2,81,49,60.5,90,57,147,59,11,24,57,7810
Angela Marino,27,231,170,60,35.3,76,24,31.6,106,87,82.1,40,12,52,57,0,14,41,7810
Tracy Gahan,26,338,194,112,57.7,43,25,58.1,109,89,81.7,155,77,232,69,11,35,48,7810
Brittany Wilkins,2,6,4,0,0.0,0,0,0.0,6,6,100.0,8,1,9,1,2,0,1,7810
Emily Fryters,7,16,10,6,60.0,0,0,0.0,5,4,80.0,2,5,7,0,0,1,0,7810
Kellie Abrams,20,157,171,61,35.7,49,10,20.4,45,25,55.6,51,19,70,73,8,16,44,7818
Tully Bevilaqua,24,176,142,61,43.0,50,16,32.0,46,38,82.6,73,14,87,77,0,62,53,7818
Jessica Bibby,23,360,323,133,41.2,129,47,36.4,56,47,83.9,28,25,53,30,0,17,39,7818
Natalie Hurst,25,344,286,124,43.4,112,48,42.9,62,48,77.4,59,19,78,75,1,13,52,7818
Peta Sinclair,23,58,50,23,46.0,15,6,40.0,12,6,50.0,11,15,26,6,0,5,15,7818
Caitlin Cunningham,7,16,15,5,33.0,0,0,0.0,7,6,86.0,6,3,9,1,1,1,8,7818
Abby Bishop,25,350,288,122,42.4,44,18,40.9,127,88,69.3,160,73,233,26,13,37,40,7818
Michaela Dalgleish,18,34,28,12,42.9,19,7,36.8,4,3,75.0,18,7,25,8,2,5,12,7818
Crista Hays,25,161,157,71,45.2,0,0,0.0,27,19,70.4,86,46,132,14,13,11,34,7818
Jacinta Govind,6,3,2,1,50.0,1,1,100.0,0,0,0.0,3,3,6,2,0,0,2,7818
Tracey Peacock,25,274,199,116,58.3,0,0,0.0,67,42,62.7,112,48,160,25,54,18,64,7818
Kristen Veal,26,272,239,95,39.7,145,58,40.0,27,24,88.9,81,32,113,88,12,31,61,7811
Alicia Poto,26,388,302,140,46.4,129,61,47.3,67,47,70.1,103,33,136,78,3,41,45,7811
NATALIE PORTER,25,606,512,217,42.4,103,29,28.2,190,143,75.3,108,75,183,117,18,29,81,7811
Michelle Cosier,24,289,216,98,45.4,65,28,43.1,78,65,83.3,105,46,151,38,8,32,48,7811
Georgia Woodyard,9,17,27,7,26.0,8,2,25.0,4,1,25.0,5,16,21,7,1,3,7,7811
Eva Afeaki,18,131,129,51,39.5,9,3,33.3,34,26,76.5,58,39,97,31,10,16,20,7811
Mikaela Dombkins,26,213,179,78,43.6,73,28,38.4,35,29,82.9,72,29,101,34,3,16,26,7811
Melissa Smith,14,43,40,19,48.0,1,0,0.0,9,5,56.0,25,10,35,9,4,6,11,7811
Rachel Herrick,26,106,88,47,53.4,0,0,0.0,18,12,66.7,47,27,74,6,6,5,29,7811
Erin Todd,9,33,21,10,48.0,8,4,50.0,14,9,64.0,11,2,13,8,0,0,6,7811
Molly Rice,6,5,10,2,20.0,5,1,20.0,0,0,0.0,2,0,2,2,1,0,3,7811
Kiera Shiels,11,20,16,10,62.5,0,0,0.0,2,0,0.0,7,6,13,2,2,4,7,7811
Sally Potocki,4,6,7,2,29.0,0,0,0.0,5,2,40.0,2,4,6,0,1,1,0,7811
Cornelia Janzon,3,0,2,0,0.0,0,0,0.0,0,0,0.0,2,1,3,1,3,1,4,7811
Michelle Brogan,18,238,178,83,46.6,22,8,36.4,86,64,74.4,88,60,148,24,4,14,34,7813
Emily McInerny,26,154,182,60,33.0,49,16,32.7,30,18,60.0,91,51,142,87,14,39,58,7813
Caitlin Ryan,24,276,264,94,35.6,122,34,27.9,64,54,84.4,69,12,81,49,4,27,45,7813
Shelley Burston,25,250,214,86,40.2,16,4,25.0,106,74,69.8,90,35,125,47,30,10,41,7813
Alison Downie,26,103,124,42,33.9,34,10,29.4,12,9,75.0,31,20,51,19,5,9,17,7813
Faith Probst,22,76,66,28,42.4,13,3,23.1,22,17,77.3,19,17,36,9,6,5,12,7813
Rachael McCully,26,146,147,53,36.1,27,4,14.8,42,36,85.7,58,23,81,68,2,18,78,7813
Sarah Graham,4,3,6,1,17.0,3,0,0.0,2,1,50.0,1,0,1,4,0,0,4,7813
Chantella Perera,14,70,74,20,27.0,25,8,32.0,29,22,76.0,13,9,22,16,0,4,22,7813
Kelsey Duoss,3,7,6,3,50.0,0,0,0.0,2,1,50.0,0,1,1,1,1,0,2,7813
Kristy Rinaldi,1,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Amelia Todhunter,12,21,23,7,30.4,13,5,38.5,2,2,100.0,5,3,8,2,0,1,16,7813
Elizabeth Cambage,10,37,17,12,70.6,0,0,0.0,23,13,56.5,24,5,29,0,7,1,14,7813
Clare Papavs,9,10,9,3,33.3,0,0,0.0,5,4,80.0,8,2,10,6,0,4,2,7813
Kellie Palazzolo,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,7813
Larissa Anderson,26,328,294,126,42.9,74,25,33.8,61,51,83.6,86,58,144,33,14,23,48,7813
KYLIE REID,24,135,169,48,28.4,62,15,24.2,33,24,72.7,37,26,63,53,7,19,35,7812
Elizabeth Keane,1,0,1,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,7812
Desiree Glaubitz,24,341,295,137,46.4,66,27,40.9,52,40,76.9,80,42,122,101,5,27,53,7812
Anna Crosswhite,24,93,77,33,42.9,20,9,45.0,24,18,75.0,30,14,44,11,4,3,14,7812
Sharin Milner,21,208,174,73,42.0,54,24,44.4,54,38,70.4,58,14,72,81,1,44,50,7812
Emma McDonald,24,434,352,153,43.5,62,21,33.9,138,107,77.5,190,43,233,38,12,13,59,7812
Zoe Carr,20,113,109,48,44.0,9,1,11.1,26,16,61.5,44,25,69,22,5,8,19,7812
Elyse Penaluna,24,298,238,118,49.6,6,4,66.7,72,58,80.6,85,48,133,22,28,14,39,7812
Naomi Pedro,15,44,34,18,52.9,4,1,25.0,11,7,63.6,9,7,16,17,1,1,10,7812
Lucy Dawson,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Cristy Parker,22,37,57,16,28.1,29,4,13.8,2,1,50.0,8,9,17,12,4,7,13,7812
Tenille Cann,22,48,57,16,28.1,36,8,22.2,10,8,80.0,17,6,23,14,1,3,22,7812
Tania Baxter,24,264,275,87,31.6,134,43,32.1,57,47,82.5,51,14,65,76,2,11,59,7817
Rohanee Cox,24,515,401,176,43.9,144,52,36.1,141,111,78.7,128,81,209,66,18,44,94,7817
Melissa Hill,1,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7817
Cherie Gallagher,24,127,107,49,45.8,21,9,42.9,24,20,83.3,58,31,89,22,4,17,23,7817
Jennifer Crouse,24,304,240,116,48.3,0,0,0.0,97,72,74.2,191,100,291,26,55,15,47,7817
Kirby Dalgleish,16,15,16,6,37.5,5,1,20.0,5,2,40.0,16,10,26,8,0,4,8,7817
Lisa Brennan,17,22,33,9,27.3,6,0,0.0,8,4,50.0,15,5,20,2,0,1,9,7817
Biancia Abbott,24,171,153,66,43.1,0,0,0.0,53,39,73.6,96,36,132,23,2,8,76,7817
Katie Orr,14,40,40,15,37.5,18,6,33.3,12,4,33.3,6,8,14,8,0,3,18,7817
Holly Smith,17,32,22,10,45.5,0,0,0.0,16,12,75.0,11,8,19,2,2,2,9,7817
Kelly Wilson,23,244,213,86,40.4,64,23,35.9,63,49,77.8,45,27,72,50,1,26,59,7817
KRISTI HARROWER,1,21,12,8,67.0,6,3,50.0,2,2,100.0,11,0,11,1,0,0,5,7824
Kellie Savaidis,3,2,6,1,16.7,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,7824
Marita Payne,14,72,75,32,42.7,2,0,0.0,10,8,80.0,39,16,55,13,19,2,11,7824
Andrea Walsh,22,119,102,42,41.2,58,23,39.7,20,12,60.0,31,16,47,12,1,6,20,7824
Gabrielle Richards,24,349,274,141,51.5,16,7,43.8,99,60,60.6,143,46,189,37,24,9,47,7824
Kathleen Macleod,24,365,261,113,43.3,87,34,39.1,126,105,83.3,71,19,90,125,2,17,81,7824
Jasmine Finnigan,24,67,73,28,38.4,10,2,20.0,15,9,60.0,45,13,58,12,2,10,21,7824
Karen Ashby,24,307,237,128,54.0,4,0,0.0,67,51,76.1,109,35,144,62,33,11,49,7824
Jane Chalmers,20,33,36,11,30.6,11,3,27.3,8,8,100.0,13,4,17,13,1,4,16,7824
Andrea Wilson,7,5,10,2,20.0,0,0,0.0,2,1,50.0,5,4,9,1,0,3,1,7824
Louise Brown,24,80,85,32,37.6,39,13,33.3,6,3,50.0,39,9,48,37,9,17,20,7824
Kerryn Harrington,2,0,2,0,0.0,0,0,0.0,2,0,0.0,1,0,1,0,0,2,2,7824
Anna Teague,3,4,5,2,40.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,7824
Lisa Pardon,24,157,158,57,36.1,86,32,37.2,15,11,73.3,30,8,38,20,2,7,33,7824
Jenna O&#039;Hea,20,235,227,82,36.1,92,26,28.3,56,45,80.4,70,27,97,65,11,22,42,7824
Aneka Davis,24,105,129,37,28.7,6,1,16.7,54,30,55.6,70,33,103,19,4,15,34,7823
Donna Wilkins,22,279,227,97,42.7,71,29,40.8,69,56,81.2,134,61,195,21,8,38,38,7823
Charmian Mellars,3,10,11,5,45.5,1,0,0.0,0,0,0.0,11,2,13,1,0,0,2,7823
KATE McMeeken-Ruscoe,21,235,242,90,37.2,78,23,29.5,40,32,80.0,22,20,42,65,5,24,33,7823
Lisa Wallbutton,12,81,92,31,33.7,5,0,0.0,29,19,65.5,34,35,69,15,9,14,21,7823
Noni Wharemate,12,117,89,47,52.8,9,4,44.4,28,19,67.9,19,15,34,36,1,8,26,7823
Natalie Taylor,19,144,136,53,39.0,89,34,38.2,8,4,50.0,55,17,72,20,4,25,24,7823
Karlene Kingi,14,25,21,7,33.3,0,0,0.0,15,11,73.3,9,4,13,2,0,1,8,7823
Lamisha Augustine,24,275,274,116,42.3,4,1,25.0,64,42,65.6,105,61,166,50,20,35,65,7823
Suzie Bates,24,83,105,23,21.9,45,7,15.6,40,30,75.0,28,14,42,37,3,14,48,7823
Georgia Richards,3,0,3,0,0.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,7823
Natalie Moore,8,4,5,1,20.0,3,1,33.0,2,1,50.0,0,3,3,1,0,0,0,7823
Ashley Awkward,23,155,192,58,30.2,21,4,19.0,64,35,54.7,44,13,57,37,1,10,52,7823
Jody Tini,2,4,7,2,28.6,0,0,0.0,0,0,0.0,1,0,1,0,0,0,5,7823
Chelsea Terei,2,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,7823
Antonia Farnworth,19,96,84,37,44.0,14,4,28.6,26,18,69.2,27,19,46,17,1,13,22,7823
Molly Rice,7,18,27,7,25.9,19,4,21.1,0,0,0.0,13,2,15,1,1,0,10,7814
Mia Murray,23,243,187,93,49.7,71,29,40.8,42,28,66.7,36,23,59,38,10,16,48,7814
Emma Langford,16,32,38,12,31.6,5,1,20.0,10,7,70.0,29,11,40,5,3,6,27,7814
Kate Gaze,19,34,52,12,23.1,39,10,25.6,0,0,0.0,10,3,13,3,0,2,11,7814
Jaimee Kennedy,23,28,43,10,23.3,12,1,8.3,16,7,43.8,36,18,54,24,1,6,26,7814
Marianna Tolo,22,321,212,115,54.2,3,1,33.3,112,90,80.4,82,54,136,22,38,15,58,7814
Nikita-Lee Martin,24,153,129,56,43.4,54,20,37.0,28,21,75.0,40,20,60,24,4,8,36,7814
Nicole Hunt,24,245,215,87,40.5,94,33,35.1,56,38,67.9,68,18,86,98,4,24,109,7814
Caitlin Rowe,3,5,5,2,40.0,0,0,0.0,2,1,50.0,0,3,3,0,0,0,2,7814
Elizabeth Cambage,4,13,9,5,55.6,0,0,0.0,8,3,37.5,6,6,12,1,2,0,4,7814
Alice Kunek,2,13,12,4,33.3,3,1,33.3,7,4,57.1,6,7,13,0,0,1,3,7814
Cayla George,22,324,312,128,41.0,64,19,29.7,73,49,67.1,201,37,238,59,22,33,68,7814
Katie Ebzery,24,170,173,69,39.9,41,13,31.7,21,19,90.5,21,28,49,41,2,13,35,7814
Melissa Moyle,2,8,10,4,40.0,1,0,0.0,0,0,0.0,4,0,4,1,0,1,4,7800
Carly Wilson,13,216,201,80,39.8,57,19,33.3,42,37,88.1,64,29,93,22,15,17,18,7800
Samantha Richards,24,295,267,111,41.6,57,19,33.3,68,54,79.4,69,18,87,99,16,47,66,7800
Suzanne Williams,23,56,76,20,26.3,39,8,20.5,13,8,61.5,22,13,35,24,1,7,19,7800
Katie Reed,9,14,16,5,31.3,13,4,30.8,0,0,0.0,1,0,1,4,0,2,1,7800
Eleanor Haring,21,171,188,71,37.8,42,10,23.8,28,19,67.9,68,23,91,20,10,14,37,7800
Melissa Marsh,22,208,256,81,31.6,93,20,21.5,34,26,76.5,48,23,71,45,4,20,42,7800
Jamie-Lee Samuels,24,142,136,59,43.4,5,1,20.0,34,23,67.6,45,30,75,15,22,12,42,7800
Casey Milhovilovich,19,80,88,29,33.0,18,3,16.7,27,19,70.4,19,17,36,16,1,15,8,7800
Carli Boyanich,21,90,126,40,31.7,25,6,24.0,17,4,23.5,57,28,85,9,12,12,37,7800
ELIZABETH COOKE,14,62,63,23,36.5,0,0,0.0,45,16,35.6,18,24,42,10,6,15,24,7800
CHELSEA BOYANICH,1,2,2,1,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,7800
Tanya Kelly,24,126,131,47,35.9,47,12,25.5,29,20,69.0,54,20,74,25,0,22,42,7800
Chelsea Armstrong,6,13,11,6,55.0,3,1,33.0,0,0,0.0,4,3,7,3,0,1,1,7800
Myra Donkin,10,29,37,9,24.3,19,6,31.6,6,5,83.3,13,5,18,3,1,1,11,7800
Melissa Downer,3,5,3,2,67.0,1,1,100.0,0,0,0.0,1,0,1,0,0,1,1,7800
