Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Gail Henderson,21,33,41,14,34.1,1,0,0.0,7,5,71.4,9,5,14,7,2,5,13,7811
Michelle Brogan,21,244,210,95,45.2,22,6,27.3,57,48,84.2,123,66,189,46,7,28,41,7811
Trish Fallon,21,373,316,149,47.2,52,22,42.3,77,53,68.8,57,39,96,44,5,44,46,7811
Annie Burgess,21,261,235,93,39.6,65,25,38.5,67,50,74.6,54,23,77,85,0,30,63,7811
Robyn Maher,20,91,129,37,28.7,12,3,25.0,15,14,93.3,86,23,109,96,12,41,54,7811
Laura Howlett,19,38,31,17,54.8,7,2,28.6,4,2,50.0,7,5,12,2,0,1,8,7811
Rhonda Corkeron,21,229,175,88,50.3,1,0,0.0,90,53,58.9,95,79,174,28,29,38,49,7811
Dimity Taylor,21,8,7,2,28.6,0,0,0.0,6,4,66.7,2,1,3,1,0,1,4,7811
Alicia Poto,15,97,81,39,48.1,27,14,51.9,12,5,41.7,26,11,37,23,1,10,20,7811
Frances Peters,9,2,4,0,0.0,2,0,0.0,2,2,100.0,1,0,1,0,0,1,0,7811
Karen Dalton,21,73,77,31,40.3,0,0,0.0,17,11,64.7,69,34,103,29,4,10,13,7811
Rachael Sporn,20,429,352,189,53.7,1,1,100.0,84,50,59.5,125,74,199,43,17,35,41,7810
Jo Hill,19,252,241,102,42.3,24,8,33.3,57,40,70.2,54,29,83,62,2,32,53,7810
Lesley Grieger,19,27,34,12,35.3,12,2,16.7,4,1,25.0,19,6,25,12,3,3,14,7810
Jodie Hough,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7810
Carla Boyd,17,233,204,99,48.5,12,3,25.0,60,32,53.3,103,55,158,48,25,30,50,7810
Simone Scovell,6,2,4,1,25.0,0,0,0.0,2,0,0.0,1,0,1,1,0,0,0,7810
Vikki Kelson,19,16,18,6,33.3,3,0,0.0,6,4,66.7,13,2,15,19,0,9,16,7810
Brook McInnes,20,53,47,22,46.8,0,0,0.0,19,9,47.4,10,10,20,5,2,4,16,7810
Jae Kingi,17,136,134,50,37.3,60,19,31.7,25,17,68.0,36,17,53,43,6,17,31,7810
Tania Dhu,20,96,122,34,27.9,37,8,21.6,30,20,66.7,48,23,71,51,1,18,45,7810
Michelle Fenton,16,8,4,1,25.0,3,1,33.3,6,5,83.3,1,2,3,1,1,0,3,7810
Samantha Woosnam,17,98,98,40,40.8,6,0,0.0,25,18,72.0,61,15,76,28,4,13,35,7810
Nicole Guy-Rees,14,14,16,4,25.0,0,0,0.0,10,6,60.0,22,15,37,3,2,1,10,7801
Narelle Fletcher,20,272,223,80,35.9,143,52,36.4,75,60,80.0,56,24,80,37,4,34,42,7801
Jo Myers,17,6,10,2,20.0,6,1,16.7,4,1,25.0,10,3,13,7,1,8,4,7801
Nicky Simpson,20,57,67,23,34.3,3,2,66.7,14,9,64.3,11,10,21,5,2,6,17,7801
KRISTI HARROWER,19,278,261,99,37.9,119,39,32.8,69,41,59.4,65,36,101,82,4,35,58,7801
Kelly Lemezs,19,80,69,30,43.5,0,0,0.0,37,20,54.1,44,19,63,12,0,16,33,7801
Joanne Hoey,12,17,33,7,21.2,9,0,0.0,7,3,42.9,5,17,22,7,0,0,9,7801
Emily McInerny,16,94,97,37,38.1,24,10,41.7,16,10,62.5,61,37,98,26,9,19,28,7801
Chika Emeagi,16,158,177,65,36.7,1,0,0.0,49,28,57.1,60,52,112,5,5,8,43,7801
Emma Wilson,20,117,117,40,34.2,56,12,21.4,39,25,64.1,18,16,34,8,0,12,23,7801
Cheryl chambers,20,110,116,42,36.2,54,16,29.6,17,10,58.8,22,7,29,12,2,8,16,7801
Lucille Bailie,19,242,222,105,47.3,4,1,25.0,40,31,77.5,92,45,137,21,14,12,46,7813
Sally Phillips,19,231,219,84,38.4,61,18,29.5,58,45,77.6,29,16,45,63,3,32,51,7813
Elaine Nuttall,8,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Monique Hanley,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Brooke McCormack,7,2,2,1,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,7813
Jade Hyett,19,89,69,29,42.0,19,10,52.6,28,21,75.0,27,8,35,50,1,27,26,7813
Rebecca Brincat,19,67,82,25,30.5,10,3,30.0,18,14,77.8,18,24,42,19,6,10,29,7813
Regina Days,19,198,163,77,47.2,0,0,0.0,73,44,60.3,89,67,156,29,6,24,40,7813
REBECCA MACKINNON,5,22,14,5,36.0,4,1,25.0,15,11,73.0,1,0,1,4,1,7,5,7813
NATALIE PORTER,18,146,150,54,36.0,59,19,32.2,26,19,73.1,55,20,75,15,7,11,26,7813
Jessica Bibby,17,210,176,70,39.8,102,33,32.4,47,37,78.7,18,9,27,23,1,14,44,7813
Allie Douglas,19,79,70,29,41.4,0,0,0.0,33,21,63.6,26,27,53,5,7,6,31,7813
Michelle Couling,8,4,1,1,100.0,0,0,0.0,2,2,100.0,1,0,1,0,0,0,0,7813
Kellie Abrams,18,93,75,32,42.7,34,13,38.2,23,16,69.6,27,7,34,34,3,22,40,7818
Fiona Robinson,17,331,263,125,47.5,27,10,37.0,102,71,69.6,81,36,117,40,7,24,62,7818
Kerryn Owens,18,136,137,46,33.6,80,27,33.8,23,17,73.9,35,16,51,46,3,22,44,7818
Tanya Haave,17,253,221,97,43.9,26,9,34.6,64,50,78.1,97,25,122,23,5,23,51,7818
Gemma Sutherland,2,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,7818
Kim Wielens,18,153,146,58,39.7,27,7,25.9,43,30,69.8,35,24,59,42,7,35,49,7818
Peta Jaunutis,17,113,115,53,46.1,4,0,0.0,12,7,58.3,41,33,74,23,10,13,31,7818
Eleanor Sharp,18,99,85,36,42.4,19,7,36.8,31,20,64.5,25,17,42,16,1,13,17,7818
Dimity Ross,16,10,13,3,23.1,0,0,0.0,8,4,50.0,3,5,8,4,1,4,6,7818
Denise Shawyer,18,6,9,3,33.3,0,0,0.0,0,0,0.0,6,3,9,3,1,2,6,7818
Nicole MacDonald,13,13,12,6,50.0,5,1,20.0,0,0,0.0,2,2,4,0,0,2,2,7818
Christy Collier,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7818
Jenny Whittle,18,305,243,118,48.6,31,10,32.3,79,59,74.7,124,30,154,39,53,13,63,7815
Jenny Evans,18,226,204,94,46.1,7,2,28.6,48,36,75.0,66,36,102,33,11,52,40,7815
Kirsty Dallas,9,24,24,10,41.7,3,0,0.0,6,4,66.7,5,3,8,12,0,2,18,7815
Janie Fitzgerald,13,114,98,39,39.8,14,2,14.3,41,34,82.9,25,8,33,29,1,7,38,7815
Leanne Dalton,18,90,110,40,36.4,8,2,25.0,13,8,61.5,44,31,75,11,4,34,23,7815
Megan Thompson,16,10,20,3,15.0,1,0,0.0,6,4,66.7,6,9,15,16,2,1,29,7815
Rachel Byrne,12,43,46,15,32.6,7,4,57.1,13,9,69.2,10,10,20,7,0,6,22,7815
Rebecca Stephens,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7815
Brooke Bliss,3,0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,7815
Fiona Mcgrath,18,88,82,33,40.2,5,0,0.0,35,22,62.9,41,24,65,7,1,11,30,7815
Sally Barney,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7815
Jenny Gardiner,18,197,182,79,43.4,33,11,33.3,32,28,87.5,39,32,71,35,2,8,43,7815
Nicole Morrice,18,51,67,21,31.3,12,4,33.3,9,5,55.6,10,4,14,12,3,19,25,7815
Penny Taylor,18,160,118,62,52.5,9,3,33.3,53,33,62.3,90,49,139,21,3,14,45,7814
Lauren Jackson,18,226,188,85,45.2,9,1,11.1,76,55,72.4,88,57,145,7,12,8,39,7814
Lauren Fitzgerald,18,13,23,5,21.7,2,0,0.0,4,3,75.0,4,0,4,5,0,6,14,7814
Tammy Hoare,16,6,4,2,50.0,0,0,0.0,2,2,100.0,4,1,5,2,1,0,4,7814
Desiree Glaubitz,18,116,92,40,43.5,46,17,37.0,27,19,70.4,21,9,30,31,2,8,35,7814
Kristen Veal,17,131,129,48,37.2,29,6,20.7,38,29,76.3,48,19,67,36,4,11,68,7814
Narelle Lindsay,18,110,118,37,31.4,59,17,28.8,30,19,63.3,29,14,43,37,1,23,48,7814
Kate Hogan,15,24,26,6,23.1,5,1,20.0,19,11,57.9,14,5,19,10,0,5,16,7814
Suzy Batkovic,15,39,49,16,32.7,2,0,0.0,14,7,50.0,29,9,38,1,4,8,10,7814
Rohanee Cox,17,171,139,66,47.5,23,5,21.7,50,34,68.0,51,23,74,19,13,23,55,7814
Deanna Black,13,13,19,6,31.6,4,1,25.0,1,0,0.0,3,10,13,6,2,0,9,7814
Tracey Peacock,18,76,74,31,41.9,0,0,0.0,29,14,48.3,45,19,64,4,12,7,34,7814
Christine Boyd,15,43,51,17,33.3,0,0,0.0,12,9,75.0,18,9,27,1,0,3,8,7800
Jenny Bedford,16,26,32,13,40.6,0,0,0.0,0,0,0.0,11,6,17,11,0,3,16,7800
Lisa MacLean,11,89,106,34,32.0,51,13,25.0,14,8,57.0,24,13,37,19,1,13,25,7800
Katrine Linnsen,16,67,86,25,29.1,22,7,31.8,18,10,55.6,17,17,34,32,2,25,28,7800
Tully Bevilaqua,18,168,149,63,42.3,56,14,25.0,34,28,82.4,55,18,73,80,5,56,48,7800
NARELLE HENRY,11,69,87,29,33.3,31,9,29.0,4,2,50.0,12,10,22,24,5,10,38,7800
Marianna Vlahov,17,189,143,79,55.2,28,14,50.0,27,17,63.0,48,27,75,14,1,8,24,7800
Melissa McClure,18,170,177,65,36.7,14,4,28.6,47,36,76.6,55,42,97,32,19,29,32,7800
Gina Stevens,5,70,69,27,39.0,9,2,22.0,18,14,78.0,4,12,16,5,0,6,16,7800
Tanya Fisher,17,107,115,44,38.3,1,0,0.0,25,19,76.0,37,28,65,18,4,8,28,7800
Shelley Boston,1,0,5,0,0.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,2,7800
Megan Clarke,16,47,51,17,33.3,1,1,100.0,17,12,70.6,19,18,37,17,4,8,17,7800
Brook Hiddlestone,17,90,102,38,37.3,1,0,0.0,23,14,60.9,46,27,73,12,2,11,18,7800
Carla Mathison,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Jodie Williams,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Kate Cohen,18,125,146,47,32.2,52,13,25.0,23,18,78.3,29,14,43,67,1,14,50,7812
ALLISON TRANQUILLI,18,373,289,138,47.8,39,15,38.5,91,82,90.1,78,40,118,54,5,17,58,7812
Renae Fegent,8,53,51,24,47.0,1,0,0.0,6,5,83.0,22,9,31,5,8,3,10,7812
Kristy Baker,15,25,53,9,17.0,38,7,18.4,2,0,0.0,19,8,27,29,0,4,22,7812
Kerryn Henderson,18,192,182,79,43.4,8,2,25.0,43,32,74.4,58,25,83,20,3,13,46,7812
Jo Metcalfe,4,55,42,19,45.2,14,4,28.6,17,13,76.5,17,6,23,5,2,5,10,7812
Linda Brandt,18,116,117,49,41.9,11,0,0.0,27,18,66.7,54,22,76,45,1,9,34,7812
Megan Christie,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Janet Box,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Gaylene McKay,18,69,70,30,42.9,0,0,0.0,12,9,75.0,26,12,38,10,4,7,16,7812
Monica Bello,18,22,25,9,36.0,15,4,26.7,2,0,0.0,9,5,14,7,0,5,13,7812
Larissa Anderson,18,66,58,26,44.8,4,0,0.0,16,14,87.5,32,15,47,8,5,7,11,7812
