Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Tully Bevilaqua,24,202,160,67,41.9,68,24,35.3,58,44,75.9,69,10,79,81,5,56,54,7818
Kellie Abrams,24,259,268,100,37.3,94,33,35.1,40,26,65.0,53,22,75,75,8,21,58,7818
Jessica Bibby,24,371,325,142,43.7,92,32,34.8,74,55,74.3,49,27,76,43,2,13,51,7818
Natalie Hurst,24,220,166,76,45.8,53,24,45.3,61,44,72.1,46,23,69,46,1,16,43,7818
Peta Sinclair,24,35,35,11,31.4,8,4,50.0,12,9,75.0,10,5,15,5,2,5,3,7818
Caitlin Cunningham,16,26,31,9,29.0,2,0,0.0,12,8,66.7,9,5,14,1,4,1,4,7818
Kylie Langi (nee Gwyther),22,21,25,7,28.0,0,0,0.0,13,7,53.8,25,20,45,12,2,8,16,7818
Donna Wilkins,17,141,109,53,48.6,10,5,50.0,36,30,83.3,66,32,98,18,5,28,24,7818
Abby Bishop,24,234,218,94,43.1,4,1,25.0,66,45,68.2,104,78,182,18,17,13,47,7818
Kiera Shiels,10,2,5,1,20.0,0,0,0.0,4,0,0.0,5,2,7,0,1,1,2,7818
Michaela Dalgleish,22,24,32,9,28.1,17,4,23.5,3,2,66.7,9,7,16,6,1,4,7,7818
Jackie Stiles,5,1,2,0,0.0,1,0,0.0,2,1,50.0,3,0,3,0,0,0,2,7818
Tracey Peacock,24,266,231,116,50.2,0,0,0.0,56,34,60.7,137,44,181,26,73,13,43,7818
Trish Fallon,17,225,189,93,49.2,18,6,33.3,40,33,82.5,49,29,78,30,2,22,24,7811
Kristen Veal,23,198,178,67,37.6,97,38,39.2,40,26,65.0,81,28,109,77,6,23,40,7811
Alicia Poto,23,194,172,74,43.0,70,24,34.3,30,22,73.3,63,29,92,69,2,22,34,7811
NATALIE PORTER,23,425,360,161,44.7,76,28,36.8,95,75,78.9,123,56,179,58,24,14,48,7811
Briana Maimone,4,2,9,0,0.0,4,0,0.0,2,2,100.0,5,2,7,7,0,1,3,7811
Michelle Cosier,23,233,176,81,46.0,54,15,27.8,70,56,80.0,71,35,106,16,3,22,40,7811
Georgia Woodyard,23,40,45,15,33.3,1,0,0.0,12,10,83.3,18,20,38,10,1,7,16,7811
Eva Afeaki,23,250,219,99,45.2,7,1,14.3,76,51,67.1,77,48,125,51,21,17,51,7811
Mikaela Dombkins,23,207,161,74,46.0,58,24,41.4,42,35,83.3,46,25,71,32,2,11,30,7811
Melissa Smith,23,42,42,19,45.2,5,0,0.0,6,4,66.7,16,14,30,4,5,3,8,7811
Rachel Herrick,23,33,21,13,61.9,0,0,0.0,12,7,58.3,17,6,23,2,2,2,13,7811
Chimene Gordon,11,2,2,1,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,7811
Melissa Moyle,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7811
Narelle Lindsay,22,120,154,41,26.6,66,16,24.2,31,22,71.0,36,17,53,37,4,24,20,7810
Samantha Woosnam,21,259,230,100,43.5,54,19,35.2,52,40,76.9,107,24,131,72,11,16,60,7810
Deanne Ranford,18,16,35,8,22.9,5,0,0.0,3,0,0.0,9,3,12,14,2,1,11,7810
Jessica Foley,23,324,300,132,44.0,104,33,31.7,39,27,69.2,57,29,86,35,8,27,45,7810
Lauren King,23,188,186,73,39.2,89,26,29.2,19,16,84.2,50,17,67,27,11,11,25,7810
NERRIDA COOPER,10,15,15,6,40.0,2,0,0.0,7,3,42.9,15,3,18,6,5,4,5,7810
Cherie Gallagher,5,10,8,4,50.0,4,2,50.0,0,0,0.0,2,1,3,1,1,2,3,7810
Erin Phillips,17,280,222,100,45.0,79,28,35.4,67,52,77.6,85,38,123,84,6,22,40,7810
Rebecca Duke,21,55,51,20,39.2,13,7,53.8,14,8,57.1,17,14,31,10,4,3,16,7810
Erin Todd,16,10,9,4,44.4,6,2,33.3,1,0,0.0,1,0,1,2,0,0,2,7810
Brigid Newley,19,24,36,11,30.6,1,0,0.0,6,2,33.3,7,7,14,4,3,3,12,7810
Kristen Rasmussen,19,148,155,63,40.6,11,2,18.2,27,20,74.1,78,40,118,47,11,9,36,7810
Tracy Gahan,23,285,156,86,55.1,16,8,50.0,131,105,80.2,118,83,201,23,17,20,35,7810
Leah Cannon,8,1,4,0,0.0,1,0,0.0,2,1,50.0,0,0,0,1,0,0,2,7810
Kate Walsh,3,2,2,1,50.0,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,7810
Jodie Datson,17,58,66,17,25.8,13,1,7.7,29,23,79.3,32,19,51,17,1,9,20,7813
Emily McInerny,22,89,86,34,39.5,21,7,33.3,18,14,77.8,121,27,148,70,19,54,52,7813
Aneka Davis,9,47,51,14,27.5,0,0,0.0,35,19,54.3,17,22,39,5,3,3,11,7813
Samantha Richards,12,83,70,31,44.3,10,1,10.0,26,20,76.9,18,5,23,30,5,11,23,7813
Caitlin Ryan,22,305,256,104,40.6,107,36,33.6,75,61,81.3,52,8,60,60,7,25,67,7813
Shelley Burston,6,48,31,16,51.6,3,2,66.7,22,14,63.6,11,9,20,4,3,2,5,7813
Alison Downie,22,112,127,43,33.9,29,7,24.1,27,19,70.4,41,24,65,19,11,17,15,7813
Demelza Waixel,7,8,9,3,33.3,0,0,0.0,5,2,40.0,4,2,6,2,3,0,3,7813
Kathleen Macleod,12,159,113,50,44.2,37,14,37.8,51,45,88.2,23,7,30,33,2,4,20,7813
Elyse Penaluna,8,15,11,5,45.5,0,0,0.0,8,5,62.5,6,1,7,0,1,0,1,7813
Margot Phan,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Natasha Main,21,7,11,2,18.2,3,0,0.0,7,3,42.9,3,5,8,3,0,4,3,7813
Lisa Wallbutton,4,0,3,0,0.0,0,0,0.0,2,0,0.0,1,1,2,1,1,0,1,7813
Kellie Palazzolo,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,7813
Larissa Anderson,22,231,226,92,40.7,31,9,29.0,41,38,92.7,62,42,104,30,16,18,29,7813
Jenna O&#039;Hea,20,372,292,128,43.8,66,21,31.8,113,95,84.1,78,35,113,32,3,24,33,7813
KYLIE REID,21,83,87,29,33.3,47,15,31.9,14,10,71.4,31,19,50,23,1,5,19,7812
