Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Shelley Sandie,24,311,290,117,40.3,53,18,34.0,69,59,85.5,92,17,109,30,8,16,65,7818
Gemma Sutherland,24,13,10,3,30.0,0,0,0.0,9,7,77.8,10,7,17,2,1,5,7,7818
Karen Smiggs Stanford-Smith,21,208,154,68,44.2,1,0,0.0,89,72,80.9,111,39,150,26,27,13,41,7818
Lauren Jackson,21,500,353,184,52.1,53,15,28.3,154,117,76.0,172,69,241,14,57,19,45,7818
Kristen Veal,24,249,228,91,39.9,57,14,24.6,70,53,75.7,106,36,142,114,8,27,113,7818
Kim Wielens,24,161,124,57,46.0,42,17,40.5,41,30,73.2,35,20,55,55,13,22,49,7818
Eleanor Sharp,21,144,115,55,47.8,41,12,29.3,30,22,73.3,35,30,65,32,2,18,35,7818
Michelle Eames,12,6,6,3,50.0,0,0,0.0,2,0,0.0,4,3,7,3,0,0,3,7818
Deanna Black,24,179,155,67,43.2,39,13,33.3,46,32,69.6,33,23,56,32,4,18,35,7818
Sarah Berry,15,0,2,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,7818
Natalie Hurst,22,7,4,0,0.0,1,0,0.0,8,7,87.5,4,1,5,3,0,0,6,7818
Sally Phillips,22,108,98,35,35.7,47,20,42.6,26,18,69.2,20,7,27,19,4,13,19,7810
Rachael Sporn,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7810
Jo Hill,23,334,304,131,43.1,27,7,25.9,85,65,76.5,99,56,155,61,6,47,63,7810
Carla Boyd,22,236,259,105,40.5,45,14,31.1,27,12,44.4,112,47,159,67,26,20,56,7810
Vikki Kelson,11,2,8,1,12.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7810
Jae Kingi,23,228,196,76,38.8,75,28,37.3,70,48,68.6,63,37,100,65,6,39,41,7810
Tammy Hoare,23,154,161,66,41.0,0,0,0.0,39,22,56.4,56,38,94,20,15,15,40,7810
Tania Dhu,23,35,34,13,38.2,6,1,16.7,16,8,50.0,15,10,25,11,1,2,17,7810
Narelle Lindsay,23,103,101,33,32.7,48,17,35.4,24,20,83.3,22,14,36,13,6,19,26,7810
Samantha Woosnam,23,180,199,71,35.7,29,9,31.0,56,29,51.8,62,47,109,33,7,17,38,7810
Sarah Nobbs,7,0,1,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,7810
Tracey Peacock,23,57,69,22,31.9,1,0,0.0,27,13,48.1,36,19,55,10,16,1,15,7810
MICHELE TIMMS,4,38,46,15,32.6,19,4,21.1,7,4,57.1,17,9,26,15,3,3,10,7812
Kate Cohen,23,171,191,58,30.4,73,20,27.4,55,35,63.6,38,34,72,43,6,23,47,7812
ALLISON TRANQUILLI,23,322,286,116,40.6,43,16,37.2,86,74,86.0,82,36,118,67,13,30,80,7812
Jenny Whittle,23,292,250,111,44.4,52,18,34.6,60,52,86.7,117,24,141,27,35,9,51,7812
Michelle Cleary,23,181,153,58,37.9,55,18,32.7,59,47,79.7,74,30,104,69,9,41,38,7812
Linda Brandt,23,98,81,35,43.2,8,1,12.5,41,27,65.9,22,13,35,23,4,4,16,7812
NATALIE PORTER,23,286,264,115,43.6,39,11,28.2,69,45,65.2,67,59,126,16,15,9,44,7812
Monica Bello,23,12,16,5,31.3,9,1,11.1,2,1,50.0,8,1,9,6,0,2,3,7812
Kirstie Dench,21,3,4,1,25.0,1,1,100.0,2,0,0.0,0,0,0,1,1,0,1,7812
Robyn Ryan,13,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Larissa Anderson,23,129,119,53,44.5,15,7,46.7,19,16,84.2,55,30,85,14,6,10,19,7812
Narelle Fletcher,22,199,203,64,31.5,116,36,31.0,44,35,79.5,46,20,66,70,8,31,63,7800
Maryanne Briggs,21,181,169,79,46.7,1,1,100.0,32,22,68.8,62,23,85,21,15,3,28,7800
Lisa MacLean,22,40,52,13,25.0,27,5,18.5,11,9,81.8,15,8,23,20,0,3,18,7800
Tully Bevilaqua,22,213,164,78,47.6,56,21,37.5,47,36,76.6,66,28,94,83,9,64,62,7800
Melissa McClure,22,203,201,78,38.8,45,8,17.8,51,39,76.5,79,36,115,36,15,25,46,7800
Gina Stevens,14,41,64,17,26.6,17,4,23.5,7,3,42.9,11,5,16,12,2,4,9,7800
Megan Clarke,22,39,54,16,29.6,3,0,0.0,14,7,50.0,29,14,43,15,0,8,17,7800
Chika Emeagi,22,304,287,123,42.9,4,0,0.0,75,58,77.3,127,72,199,32,23,17,68,7800
Rohanee Cox,12,153,127,54,42.5,26,8,30.8,56,37,66.1,41,28,69,24,13,16,25,7800
Deanne Ranford,17,13,19,6,31.6,1,0,0.0,2,1,50.0,8,2,10,8,0,3,14,7800
Suzanne Williams,17,2,2,1,50.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,7800
Sarah Thompson,7,6,5,3,60.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,7800
Lucille Bailie,21,188,181,77,42.5,7,1,14.3,38,33,86.8,57,20,77,16,2,12,31,7813
Jo Myers,19,71,65,27,41.5,19,10,52.6,11,7,63.6,38,13,51,26,1,15,47,7813
Jade Hyett,21,66,43,17,39.5,20,10,50.0,29,22,75.9,23,9,32,25,0,16,34,7813
Rachel Fearon-Brown,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Penny Taylor,21,301,257,124,48.2,32,10,31.3,60,43,71.7,95,49,144,42,13,44,55,7813
Kelly Lemezs,21,75,72,26,36.1,0,0,0.0,31,23,74.2,20,15,35,11,1,9,12,7813
Emily McInerny,21,116,136,41,30.1,58,14,24.1,26,20,76.9,76,30,106,53,9,30,58,7813
Jessica Bibby,21,313,275,110,40.0,95,29,30.5,83,64,77.1,26,24,50,22,4,12,47,7813
Allie Douglas,21,250,183,83,45.4,0,0,0.0,143,84,58.7,92,72,164,27,3,16,66,7813
Caitlin Ryan,21,30,36,11,30.6,19,6,31.6,2,2,100.0,12,4,16,7,0,10,10,7813
Marita Payne,17,6,10,3,30.0,0,0,0.0,0,0,0.0,3,2,5,0,4,0,1,7813
Melissa Webbers,4,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Trish Fallon,21,434,385,165,42.9,85,29,34.1,98,75,76.5,86,59,145,43,6,23,46,7811
Annie Burgess,16,191,200,76,38.0,51,17,33.3,30,22,73.3,44,20,64,63,2,16,50,7811
Robyn Maher,21,60,105,25,23.8,7,0,0.0,14,10,71.4,75,10,85,63,3,20,66,7811
Lauren Fitzgerald,11,0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4,7811
Desiree Glaubitz,21,137,134,49,36.6,57,24,42.1,19,15,78.9,24,13,37,20,1,11,31,7811
Rhonda Corkeron,21,128,128,50,39.1,0,0,0.0,52,28,53.8,62,61,123,36,13,36,40,7811
Suzy Batkovic,21,250,196,99,50.5,6,3,50.0,68,49,72.1,95,53,148,13,27,20,61,7811
Kerri Kennedy,21,38,35,11,31.4,25,7,28.0,15,9,60.0,6,3,9,6,1,4,3,7811
Simone Ball (Culber),14,10,4,2,50.0,0,0,0.0,8,6,75.0,1,2,3,4,0,0,6,7811
Natalie Stafford,20,16,13,6,46.2,3,2,66.7,2,2,100.0,2,1,3,2,0,0,3,7811
Karen Dalton,21,58,64,24,37.5,0,0,0.0,22,10,45.5,59,45,104,6,3,9,17,7811
Trudie Hopgood,21,138,135,64,47.4,0,0,0.0,18,10,55.6,36,23,59,22,7,7,37,7801
Michelle Brogan,10,158,116,54,46.6,17,7,41.2,52,43,82.7,42,21,63,24,5,9,27,7801
Kerryn Henderson,21,129,155,51,32.9,7,1,14.3,31,26,83.9,34,15,49,29,2,4,29,7801
Samantha Tomlinson,11,88,98,29,29.6,49,16,32.7,15,14,93.3,27,7,34,15,11,1,10,7801
Jo Metcalfe,4,12,10,4,40.0,4,1,25.0,4,3,75.0,5,1,6,4,0,1,3,7801
Andrea Cartledge,21,87,106,27,25.5,48,8,16.7,46,25,54.3,25,20,45,19,1,13,27,7801
Jodie Hough,10,2,7,1,14.3,2,0,0.0,1,0,0.0,0,0,0,0,0,0,1,7801
Rebecca Brincat,21,46,41,17,41.5,2,0,0.0,17,12,70.6,25,14,39,9,2,3,21,7801
Nicky Simpson,21,52,59,19,32.2,14,5,35.7,16,9,56.3,17,6,23,16,3,4,17,7801
KRISTI HARROWER,21,317,259,109,42.1,119,41,34.5,72,58,80.6,79,21,100,102,5,15,75,7801
Anthea Tona,10,14,13,4,31.0,10,3,30.0,4,3,75.0,3,1,4,2,0,1,3,7801
Tegan Fowler,17,10,11,5,45.5,1,0,0.0,0,0,0.0,5,2,7,3,2,1,3,7801
Kristin Folkl,21,369,262,149,56.9,3,0,0.0,93,71,76.3,157,48,205,24,40,6,34,7801
Tania Baxter,13,33,48,12,25.0,34,9,26.5,0,0,0.0,5,2,7,5,0,0,13,7814
Deanne Butler,21,123,139,47,33.8,53,14,26.4,17,15,88.2,53,21,74,47,1,19,68,7814
Belinda Snell,21,269,257,99,38.5,108,37,34.3,48,34,70.8,85,35,120,59,11,21,96,7814
Alison O'Dwyer,21,134,158,56,35.4,2,0,0.0,50,22,44.0,66,27,93,9,13,6,71,7814
Carly Wilson,6,32,24,14,58.3,7,4,57.1,2,0,0.0,11,1,12,5,2,5,9,7814
Samantha Richards,4,12,15,5,33.3,3,2,66.7,2,0,0.0,7,1,8,7,0,4,6,7814
Jacinta Kennedy,20,113,113,46,40.7,0,0,0.0,37,21,56.8,70,50,120,15,14,9,28,7814
Briana Maimone,12,31,26,12,46.2,14,4,28.6,6,3,50.0,14,9,23,15,2,3,9,7814
Monique Bowley,19,38,52,15,28.8,18,4,22.2,8,4,50.0,20,9,29,10,3,4,20,7814
Ngozi Emeagi,11,62,76,23,30.3,16,5,31.3,14,11,78.6,27,10,37,11,3,8,28,7814
Shelley Burston,21,157,132,57,43.2,4,0,0.0,62,43,69.4,66,41,107,15,10,6,37,7814
Jessica Mahony,19,120,124,37,29.8,44,12,27.3,48,34,70.8,25,15,40,43,0,14,48,7814
Jennifer Screen,1,1,0,0,0.0,0,0,0.0,2,1,50.0,0,1,1,0,0,0,1,7814
Kate Smith,19,49,57,16,28.1,0,0,0.0,30,17,56.7,41,8,49,5,8,2,28,7814
Jessica Foley,8,4,2,1,50.0,0,0,0.0,2,2,100.0,2,1,3,0,0,0,3,7814
Laura Hodges,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7814
