Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Marianna Tolo,10,109,83,47,56.6,4,0,0.0,23,15,65.2,38,21,59,18,14,10,17,7846
Kelsey Griffin,8,96,86,38,44.2,23,8,34.8,17,12,70.6,48,17,65,13,3,13,12,7846
Mikaela Ruef,10,72,81,32,39.5,13,0,0.0,13,8,61.5,39,28,67,18,6,11,9,7846
Maddison Rocci,10,154,128,49,38.3,48,15,31.3,48,41,85.4,25,6,31,35,0,20,25,7846
Tahlia Tupaea,8,52,33,18,54.5,17,7,41.2,11,9,81.8,15,3,18,38,0,7,10,7846
Brittany Smart,8,38,29,9,31.0,25,9,36.0,12,11,91.7,3,5,8,6,0,1,1,7846
Ashley Taia,8,0,6,0,0.0,4,0,0.0,0,0,0.0,4,0,4,3,0,0,1,7846
Abby Cubillo,10,47,41,15,36.6,10,7,70.0,12,10,83.3,15,6,21,23,2,7,17,7846
Alex Delaney,8,6,17,1,5.9,12,1,8.3,4,3,75.0,11,4,15,1,0,3,3,7846
Hannah Kaser,9,9,9,3,33.3,6,1,16.7,2,2,100.0,5,3,8,1,1,4,5,7846
Keely Froling,10,99,89,38,42.7,7,1,14.3,33,22,66.7,38,20,58,12,6,7,13,7846
Jade Melbourne,10,87,70,31,44.3,23,6,26.1,25,19,76.0,24,4,28,21,0,6,11,7846
Elizabeth Cambage,10,230,147,96,65.3,10,3,30.0,51,35,68.6,69,14,83,11,18,4,16,118765
Leilani Mitchell,10,86,64,31,48.4,41,20,48.8,5,4,80.0,14,2,16,60,0,6,16,118765
Sara Blicavs,10,141,109,55,50.5,30,16,53.3,24,15,62.5,53,21,74,18,2,16,11,118765
Monique Conti,10,51,46,20,43.5,19,7,36.8,5,4,80.0,8,9,17,17,0,9,11,118765
Saraid Taylor,7,14,8,6,75.0,3,2,66.7,2,0,0.0,4,5,9,1,2,4,0,118765
Taylah Giliam,6,11,15,3,20.0,10,3,30.0,2,2,100.0,1,3,4,0,0,1,0,118765
Stephanie Blicavs,10,49,50,18,36.0,22,5,22.7,9,8,88.9,29,5,34,20,3,9,6,118765
Rebecca Pizzey,10,31,29,13,44.8,9,4,44.4,3,1,33.3,14,8,22,6,1,2,1,118765
Aimie Clydesdale,10,56,39,21,53.8,22,9,40.9,6,5,83.3,11,3,14,36,3,12,10,118765
Rebecca Cole,10,135,94,51,54.3,28,14,50.0,24,19,79.2,17,6,23,40,1,11,12,118765
Amy O&#039;Neill,5,13,11,5,45.5,2,0,0.0,6,3,50.0,4,2,6,4,0,4,1,118765
Jenna O&#039;Hea,10,116,87,40,46.0,48,21,43.8,18,15,83.3,33,6,39,39,4,17,13,118765
Rachel Jarry,10,47,44,16,36.4,13,2,15.4,19,13,68.4,18,8,26,13,2,7,13,118765
Ashleigh KARAITIANA,8,61,58,24,41.4,29,12,41.4,1,1,100.0,7,4,11,12,1,5,10,13823
Tess Madgen,6,102,74,37,50.0,31,13,41.9,19,15,78.9,25,8,33,38,3,3,14,13823
Izzy Wright,8,23,24,10,41.7,4,2,50.0,2,1,50.0,17,5,22,12,2,10,7,13823
Rachel Antoniadou,6,0,2,0,0.0,1,0,0.0,0,0,0.0,1,1,2,0,0,1,1,13823
Rachel Brewster,4,4,5,1,20.0,3,1,33.3,2,1,50.0,0,2,2,2,0,0,0,13823
Kalani Purcell,8,23,28,10,35.7,9,1,11.1,4,2,50.0,15,11,26,12,4,10,14,13823
Cayla George,8,116,112,48,42.9,27,5,18.5,20,15,75.0,55,16,71,24,7,9,15,13823
Antonia Farnworth,8,15,12,5,41.7,3,0,0.0,5,5,100.0,3,4,7,3,1,2,6,13823
Penina Davidson,8,33,23,13,56.5,3,2,66.7,7,5,71.4,3,4,7,6,2,0,5,13823
Madeleine Garrick,8,87,83,27,32.5,45,13,28.9,22,20,90.9,15,5,20,16,0,6,11,13823
Eziyoda Magbegor,8,110,89,46,51.7,6,2,33.3,21,16,76.2,45,24,69,11,10,7,11,13823
Stella Beck,8,37,37,14,37.8,18,6,33.3,4,3,75.0,11,5,16,19,3,8,10,13823
Mia Murray,10,52,61,18,29.5,43,12,27.9,7,4,57.1,21,11,32,15,5,9,5,13818
Kate Gaze,8,34,34,12,35.3,23,10,43.5,0,0,0.0,14,3,17,15,2,3,1,13818
Nadeen Payne,9,83,75,30,40.0,43,14,32.6,9,9,100.0,49,10,59,18,2,5,18,13818
Lara McSpadden,8,12,14,5,35.7,1,0,0.0,4,2,50.0,11,4,15,1,1,1,5,13818
Lauren Nicholson,10,171,138,64,46.4,36,13,36.1,38,30,78.9,23,8,31,23,0,13,13,13818
Zitina Aokuso,10,95,77,40,51.9,0,0,0.0,28,15,53.6,52,9,61,14,1,8,14,13818
Stephanie Reid,10,68,54,25,46.3,21,9,42.9,10,9,90.0,16,5,21,23,2,11,11,13818
Shyla Heal,10,154,141,60,42.6,41,13,31.7,26,21,80.8,31,11,42,35,0,11,26,13818
Courtney Woods,10,68,42,23,54.8,22,10,45.5,14,12,85.7,16,4,20,10,0,4,9,13818
Kelsey McDermott,1,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,13818
Megan McKay,9,65,38,25,65.8,0,0,0.0,23,15,65.2,36,21,57,17,1,8,13,13818
Sharna Thompson,1,0,7,0,0.0,5,0,0.0,0,0,0.0,0,0,0,0,0,3,0,13818
Alex Wilson,7,82,67,26,38.8,43,15,34.9,19,15,78.9,33,5,38,34,1,6,15,118758
Stephanie Talbot,8,157,117,60,51.3,22,5,22.7,41,32,78.0,59,14,73,28,9,15,28,118758
Abigail Wehrung,7,86,79,30,38.0,38,16,42.1,14,10,71.4,15,5,20,13,3,4,23,118758
Morgan Yaeger,7,12,14,5,35.7,5,1,20.0,3,1,33.3,5,2,7,5,0,1,8,118758
Taylor Ortlepp,7,26,33,9,27.3,27,7,25.9,1,1,100.0,5,1,6,7,1,4,3,118758
Chelsea Brook,7,67,59,28,47.5,20,6,30.0,6,5,83.3,18,14,32,9,3,3,9,118758
Marena Whittle,8,67,73,22,30.1,29,6,20.7,25,17,68.0,32,13,45,11,2,7,12,118758
Louella Tomlinson,8,36,33,17,51.5,7,2,28.6,1,0,0.0,13,9,22,13,13,2,9,118758
Aimee Brett,5,3,6,0,0.0,2,0,0.0,6,3,50.0,2,1,3,1,0,0,2,118758
Ella Batish,8,24,25,10,40.0,12,4,33.3,0,0,0.0,13,3,16,9,2,4,7,118758
Carlie Smith,8,14,29,7,24.1,4,0,0.0,0,0,0.0,13,9,22,5,2,7,4,118758
Brooke Basham,6,16,17,5,29.4,7,4,57.1,2,2,100.0,11,2,13,6,0,2,6,118758
Kayla Steindl,9,52,70,22,31.4,32,6,18.8,2,2,100.0,51,16,67,14,9,3,14,13819
Darcee Garbin,10,161,154,64,41.6,66,17,25.8,24,16,66.7,47,23,70,21,7,11,16,13819
Jessie Edwards,7,32,25,13,52.0,0,0,0.0,9,6,66.7,11,8,19,4,0,1,7,13819
Alex Ciabattoni,8,80,62,32,51.6,19,5,26.3,16,11,68.8,15,4,19,24,2,8,13,13819
Ashleigh Isenbarger,10,35,33,14,42.4,17,6,35.3,3,1,33.3,21,7,28,6,3,2,10,13819
Katie Ebzery,9,156,136,59,43.4,35,14,40.0,38,24,63.2,26,9,35,34,4,6,21,13819
Tayah Burrows,10,28,32,11,34.4,4,1,25.0,7,5,71.4,21,3,24,19,0,4,17,13819
Nes&#039;eya Williams,6,5,7,2,28.6,6,1,16.7,0,0,0.0,4,0,4,3,2,1,1,13819
Jewel Williams,4,12,9,4,44.4,5,1,20.0,3,3,100.0,5,1,6,2,0,1,13,13819
Mackenzie Clinch Hoycard,4,2,8,1,12.5,6,0,0.0,0,0,0.0,2,0,2,1,1,0,2,13819
Alexandra Sharp,10,90,85,30,35.3,41,12,29.3,24,18,75.0,58,20,78,22,2,4,18,13819
Emma Clarke,10,47,56,16,28.6,30,4,13.3,14,11,78.6,27,6,33,16,3,5,19,13819
Natalie Burton,9,58,63,28,44.4,1,0,0.0,5,2,40.0,18,19,37,8,2,6,14,13822
Funda Nakkasoglu,8,76,68,27,39.7,26,9,34.6,16,13,81.3,4,3,7,6,0,3,9,13822
Lauren Scherf,9,102,108,38,35.2,20,8,40.0,20,18,90.0,45,23,68,19,13,8,17,13822
Shanae Greaves,6,11,9,3,33.3,0,0,0.0,8,5,62.5,6,1,7,0,0,0,4,13822
Carly Boag,9,42,38,14,36.8,15,7,46.7,9,7,77.8,17,10,27,5,2,6,9,13822
Anneli Maley,9,63,66,18,27.3,17,1,5.9,34,26,76.5,68,33,101,8,2,11,11,13822
Alison Schwagmeyer-Belger,9,109,134,42,31.3,43,6,14.0,28,19,67.9,33,16,49,27,1,19,13,13822
Madeleine O&#039;Hehir,5,4,6,2,33.3,2,0,0.0,0,0,0.0,6,2,8,0,1,4,3,13822
Kiera Rowe,8,16,15,4,26.7,12,3,25.0,6,5,83.3,10,1,11,5,1,1,11,13822
Lauren Mansfield,9,123,110,44,40.0,57,24,42.1,12,11,91.7,13,6,19,43,2,8,23,13822
Sherrie Calleia,3,12,7,3,42.9,2,0,0.0,8,6,75.0,1,2,3,1,0,3,3,13822
Christina Boag,7,17,18,7,38.9,6,0,0.0,7,3,42.9,11,1,12,3,3,1,5,13822
Amelia Todhunter,9,41,62,12,19.4,21,5,23.8,16,12,75.0,11,11,22,20,1,7,10,13825
Tessa Lavey,9,141,151,51,33.8,47,14,29.8,29,25,86.2,29,8,37,55,0,11,20,13825
Carley Ernst,9,138,137,49,35.8,69,21,30.4,25,19,76.0,53,12,65,17,9,6,18,13825
Alicia Froling,9,22,19,10,52.6,0,0,0.0,2,2,100.0,20,14,34,6,8,2,10,13825
Chevannah Paalvast,9,23,34,10,29.4,13,1,7.7,2,2,100.0,8,1,9,9,0,3,12,13825
Cassidy McLean,9,17,29,4,13.8,12,1,8.3,12,8,66.7,10,6,16,4,3,4,11,13825
Demi Skinner,9,62,54,23,42.6,29,14,48.3,3,2,66.7,13,7,20,6,0,1,3,13825
Jennie Rintala,9,47,45,16,35.6,9,2,22.2,18,13,72.2,23,7,30,4,2,3,13,13825
Paige Price,9,24,30,8,26.7,15,4,26.7,7,4,57.1,14,4,18,5,0,3,8,13825
Mary Goulding,9,58,49,24,49.0,8,2,25.0,13,8,61.5,22,17,39,13,1,13,14,13825
Shelby Britten,4,5,15,2,13.3,6,1,16.7,2,0,0.0,0,0,0,2,0,0,1,13825
Piper Dunlop,5,11,11,5,45.5,2,1,50.0,0,0,0.0,6,2,8,1,1,0,2,13825
