Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
KYLIE REID,23,150,137,56,40.9,51,19,37.3,23,19,82.6,49,18,67,34,1,14,39,7812
Desiree Glaubitz,19,63,68,29,42.6,9,1,11.1,7,4,57.1,23,6,29,19,1,6,19,7812
Anna Crosswhite,24,66,66,21,31.8,8,2,25.0,29,22,75.9,24,22,46,14,2,5,11,7812
Shelley Burston,23,73,88,30,34.1,15,2,13.3,33,11,33.3,66,25,91,42,5,5,18,7812
Sharin Milner,19,127,103,44,42.7,61,21,34.4,22,18,81.8,33,7,40,56,0,18,21,7812
Hanna Zavecz,22,160,138,57,41.3,8,0,0.0,54,46,85.2,82,46,128,45,19,30,45,7812
Elyse Penaluna,24,285,241,124,51.5,9,4,44.4,48,33,68.8,127,57,184,26,33,21,35,7812
Amelia Todhunter,20,54,56,20,35.7,20,5,25.0,18,9,50.0,22,6,28,28,0,5,32,7812
Elizabeth Cambage,24,536,343,202,58.9,6,0,0.0,181,132,72.9,131,65,196,39,65,17,68,7812
Alice Kunek,16,78,54,27,50.0,16,7,43.8,20,17,85.0,19,8,27,7,2,3,15,7812
Rachel Jarry,20,267,223,104,47.0,39,11,28.0,64,48,75.0,73,42,115,44,10,13,61,7812
Lauren Pearce,5,2,2,1,50.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,7812
Jayde Tyrell,5,4,5,2,40.0,0,0,0.0,0,0,0.0,1,0,1,3,1,0,1,7812
Rachel Jarry,20,267,223,104,46.6,39,11,28.2,64,48,75.0,73,42,115,44,10,13,61,7812
Jenna O&#039;Hea,15,181,135,64,47.4,40,18,45.0,43,35,81.4,48,12,60,77,6,11,47,7812
Rebecca Haynes,15,28,27,10,37.0,9,4,44.4,4,4,100.0,26,14,40,8,4,4,8,7818
Suzy Batkovic,13,201,181,85,47.0,21,6,28.6,38,25,65.8,60,27,87,15,13,25,21,7818
Jessica Bibby,23,299,270,109,40.4,111,44,39.6,55,37,67.3,20,6,26,23,1,9,22,7818
Nicole Johnson,7,12,9,5,55.6,0,0,0.0,4,2,50.0,6,3,9,2,2,0,4,7818
Carly Wilson,25,318,297,129,43.4,70,28,40.0,41,32,78.0,64,48,112,52,17,16,38,7818
Michelle Cosier,25,287,225,105,46.7,61,22,36.1,68,55,80.9,99,54,153,43,5,35,57,7818
Hannah Bowley,22,64,59,28,47.5,7,3,42.9,7,5,71.4,28,31,59,20,12,5,26,7818
Michaela Dalgleish,8,16,17,7,41.2,6,1,16.7,3,1,33.3,5,3,8,4,0,2,4,7818
Marianna Tolo,25,335,237,127,53.6,0,0,0.0,114,81,71.1,136,74,210,40,64,15,48,7818
Nicole Hunt,24,163,133,62,46.6,44,15,34.1,32,24,75.0,44,10,54,66,3,14,53,7818
Nicole Romeo,24,124,101,40,39.6,46,15,32.6,33,29,87.9,41,1,42,48,2,15,47,7818
Alison Lacey,24,117,102,39,38.2,59,20,33.9,22,19,86.4,70,19,89,60,1,24,33,7818
Teagan Burke,3,6,5,2,40.0,1,1,100.0,2,1,50.0,2,2,4,2,0,1,4,7818
Tracey Peacock,19,41,33,16,48.5,0,0,0.0,12,9,75.0,41,13,54,10,15,2,18,7818
KRISTI HARROWER,21,295,306,108,35.3,113,26,23.0,65,53,81.5,90,24,114,109,5,22,58,7824
Eleanor Haring,22,63,53,26,49.1,2,0,0.0,12,11,91.7,7,16,23,10,5,1,10,7824
Gabrielle Richards,24,252,187,102,54.5,3,2,66.7,64,46,71.9,100,81,181,15,9,13,30,7824
Jasmine Finnigan,24,87,93,36,38.7,36,8,22.2,16,7,43.8,55,23,78,25,12,13,23,7824
Jane Chalmers,24,36,45,13,28.9,17,5,29.4,8,5,62.5,21,11,32,14,0,7,10,7824
Andrea Wilson,5,2,2,1,50.0,0,0,0.0,0,0,0.0,2,1,3,0,1,0,0,7824
Tess Madgen,24,372,338,135,39.9,91,34,37.4,93,68,73.1,96,42,138,40,3,28,54,7824
Jaclyn Smith,7,3,7,1,14.0,1,1,100.0,0,0,0.0,1,1,2,0,1,1,0,7824
Chelsea Aubry,24,227,233,93,39.9,89,23,25.8,24,18,75.0,95,37,132,23,7,6,35,7824
Heather OLIVER,19,82,63,27,43.0,31,10,32.0,19,18,95.0,16,9,25,11,3,5,15,7824
Cortney Williamson,3,2,2,1,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,7824
Ashleigh Stonehouse,1,2,2,1,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7824
Antonia Farnworth,24,103,101,35,34.7,34,10,29.4,34,23,67.6,43,24,67,12,5,10,26,7824
Kelly Wilson,24,193,194,71,36.6,76,24,31.6,38,27,71.1,66,26,92,51,1,11,55,7824
Samantha Woosnam,23,105,106,40,37.7,10,2,20.0,32,23,71.9,63,20,83,40,7,12,34,7813
Alison Downie,23,81,99,34,34.3,23,8,34.8,10,5,50.0,29,18,47,11,11,7,11,7813
Jessica Foley,22,203,176,78,44.3,48,14,29.2,45,33,73.3,53,21,74,49,6,19,39,7813
Lauren King,23,108,110,42,38.2,38,10,26.3,15,14,93.3,34,23,57,15,7,16,23,7813
Kathleen Macleod,20,307,255,111,43.5,67,19,28.4,77,66,85.7,64,16,80,109,3,15,47,7813
Abby Bishop,21,316,309,123,39.8,76,18,23.7,73,52,71.2,104,44,148,28,16,25,46,7813
Tracy Gahan,23,202,138,76,55.1,26,9,34.6,64,41,64.1,99,65,164,39,9,29,30,7813
Chantella Perera,23,129,111,41,36.9,34,7,20.6,51,40,78.4,27,30,57,27,1,18,40,7813
Hope Terdich,10,16,12,6,50.0,1,0,0.0,6,4,66.7,5,7,12,3,1,0,0,7813
Ashley Robinson,13,84,87,35,40.2,0,0,0.0,34,14,41.2,47,24,71,13,21,12,35,7813
