Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Emily McInerny,23,58,72,20,27.8,28,8,28.6,17,10,58.8,158,28,186,68,30,43,61,7813
Jessica Bibby,23,305,254,100,39.4,91,30,33.0,91,75,82.4,31,25,56,23,4,16,46,7813
Allie Douglas,23,120,97,45,46.4,0,0,0.0,58,30,51.7,51,40,91,19,18,14,25,7813
Carly Wilson,23,272,265,105,39.6,52,11,21.2,74,51,68.9,65,36,101,33,29,22,27,7813
Samantha Richards,20,163,150,59,39.3,33,6,18.2,53,39,73.6,56,14,70,34,14,23,44,7813
Jacinta Kennedy,23,321,299,136,45.5,24,4,16.7,67,45,67.2,116,90,206,33,28,17,37,7813
Caitlin Ryan,23,184,171,64,37.4,96,29,30.2,42,27,64.3,47,10,57,34,9,18,53,7813
Deanne Ranford,23,97,98,37,37.8,30,8,26.7,31,15,48.4,29,7,36,21,2,4,36,7813
Alison Downie,22,33,38,13,34.2,12,4,33.3,7,3,42.9,21,9,30,7,10,5,14,7813
Emma McDonald,23,89,93,32,34.4,10,2,20.0,27,23,85.2,39,28,67,15,4,6,23,7813
Kassie Dear,7,2,0,0,0.0,0,0,0.0,2,2,100.0,1,0,1,0,0,0,0,7813
Erin Todd,11,4,1,1,100.0,0,0,0.0,2,2,100.0,3,0,3,4,1,0,4,7813
Sarah Ilic,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Emma Andrews,3,3,2,1,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,1,1,7813
Margot Phan,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Trish Fallon,24,440,342,170,49.7,44,19,43.2,99,81,81.8,91,37,128,39,15,32,56,7811
Lauren Fitzgerald,20,39,37,16,43.2,0,0,0.0,13,7,53.8,11,11,22,3,2,1,8,7811
Tammy Hoare,24,116,115,51,44.3,0,0,0.0,26,14,53.8,51,29,80,22,9,11,21,7811
REBECCA MACKINNON,20,61,67,16,23.9,25,7,28.0,28,22,78.6,33,22,55,26,3,18,16,7811
Belinda Snell,24,501,385,166,43.1,183,71,38.8,117,98,83.8,154,49,203,90,25,50,65,7811
Briana Maimone,24,183,173,77,44.5,60,13,21.7,17,16,94.1,49,35,84,53,9,17,22,7811
Michelle Cosier,11,84,84,28,33.3,42,15,35.7,18,13,72.2,30,19,49,14,1,10,12,7811
Eva Afeaki,24,191,201,68,33.8,59,16,27.1,56,39,69.6,86,41,127,40,22,20,55,7811
Jamie-Lee Samuels,16,30,25,13,52.0,3,1,33.3,5,3,60.0,15,10,25,3,6,4,8,7811
