Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
KYLIE REID,24,70,65,24,36.9,28,9,32.1,17,13,76.5,33,9,42,21,3,6,20,7812
Desiree Glaubitz,24,137,108,53,49.1,37,16,43.2,23,15,65.2,35,21,56,50,4,8,29,7812
Anna Crosswhite,23,69,62,26,41.9,8,1,12.5,24,16,66.7,38,14,52,17,3,2,8,7812
Sharin Milner,23,204,195,74,37.9,73,23,31.5,53,33,62.3,52,23,75,102,2,26,31,7812
Hanna Zavecz,24,226,168,82,48.8,38,14,36.8,65,48,73.8,90,50,140,48,28,22,54,7812
Elyse Penaluna,22,282,237,121,51.1,19,6,31.6,48,34,70.8,88,62,150,27,24,18,35,7812
Lisa Pardon,19,66,67,25,37.3,31,11,35.5,10,5,50.0,9,5,14,17,1,3,13,7812
Elizabeth Cambage,24,483,311,179,57.6,7,2,28.6,166,123,74.1,159,76,235,19,42,12,60,7812
Rachel Jarry,24,252,214,93,43.0,34,10,29.0,85,56,66.0,82,59,141,42,10,8,52,7812
Lauren Pearce,5,2,4,1,25.0,0,0,0.0,2,0,0.0,3,2,5,0,0,0,3,7812
Olivia Deiana,3,0,4,0,0.0,0,0,0.0,2,0,0.0,2,0,2,0,0,1,4,7812
Lauren Jeffers,6,9,6,2,33.3,2,0,0.0,6,5,83.3,3,1,4,3,0,1,7,7812
Rachel Jarry,24,252,214,93,43.5,34,10,29.4,85,56,65.9,82,59,141,42,10,8,52,7812
Jenna O&#039;Hea,24,311,243,107,44.0,91,32,35.2,80,65,81.3,108,35,143,111,15,26,72,7812
Suzy Batkovic,20,491,381,185,48.6,61,18,29.5,140,103,73.6,139,37,176,36,34,38,46,7811
NATALIE PORTER,15,184,185,69,37.3,42,12,28.6,48,34,70.8,64,32,96,34,10,17,34,7811
Deanna Black,24,387,284,137,48.2,79,31,39.2,96,82,85.4,69,69,138,89,12,29,74,7811
Deanne Butler,24,128,136,47,34.6,59,17,28.8,26,17,65.4,72,12,84,102,5,18,48,7811
Kristen Barnes,2,3,3,1,33.0,2,1,50.0,0,0,0.0,0,1,1,0,1,0,0,7811
Eva Afeaki,21,174,164,61,37.2,13,5,38.5,64,47,73.4,88,55,143,54,9,22,54,7811
Mikaela Dombkins,24,269,259,109,42.1,78,24,30.8,39,27,69.2,97,28,125,43,2,13,56,7811
Rachel Herrick,7,13,13,6,46.0,0,0,0.0,2,1,50.0,4,6,10,2,0,1,1,7811
Ellie Manou,24,146,115,55,47.8,1,0,0.0,50,36,72.0,59,46,105,19,10,8,34,7811
Molly Rice,5,4,6,2,33.0,0,0,0.0,0,0,0.0,2,0,2,2,1,3,6,7811
Jaimee Kennedy,18,21,27,9,33.3,5,1,20.0,6,2,33.3,14,8,22,6,0,3,5,7811
Sally Potocki,23,65,59,23,39.0,3,1,33.3,25,18,72.0,32,15,47,11,1,3,21,7811
Rachel Lisch,12,11,9,4,44.4,2,1,50.0,2,2,100.0,5,2,7,6,0,0,4,7811
Kellie Abrams,25,145,155,53,34.2,49,15,30.6,36,24,66.7,41,20,61,70,5,32,45,7818
Lauren Jackson,12,285,206,100,48.5,47,22,46.8,74,63,85.1,80,42,122,13,30,18,16,7818
Jessica Bibby,23,311,279,113,40.5,125,42,33.6,56,43,76.8,18,14,32,25,0,14,41,7818
Carly Wilson,24,175,160,69,43.1,68,26,38.2,14,11,78.6,46,34,80,37,22,18,25,7818
Natalie Hurst,25,304,273,112,41.0,86,30,34.9,64,50,78.1,85,24,109,94,1,30,71,7818
Katie Rose,4,11,7,4,57.0,1,1,100.0,2,2,100.0,4,3,7,0,1,1,5,7818
Abby Bishop,13,163,147,61,41.5,23,9,39.1,46,32,69.6,62,47,109,15,8,21,28,7818
Hannah Bowley,21,38,33,16,48.5,4,0,0.0,8,6,75.0,22,14,36,6,7,6,14,7818
Marianna Tolo,25,306,228,126,55.3,3,1,33.3,91,53,58.2,120,64,184,31,75,19,40,7818
Chantella Perera,25,158,120,46,38.3,45,18,40.0,64,48,75.0,47,29,76,48,4,29,40,7818
Lauren Jansen,3,5,2,2,100.0,0,0,0.0,2,1,50.0,2,0,2,0,1,3,8,7818
Nicole Romeo,14,13,19,2,10.5,9,1,11.1,8,8,100.0,6,6,12,5,0,4,10,7818
Nicki Graham,2,2,4,1,25.0,0,0,0.0,0,0,0.0,2,1,3,2,0,1,0,7818
Jessica McCormack,11,14,21,4,19.0,0,0,0.0,15,6,40.0,18,9,27,1,4,3,9,7818
Tracey Peacock,21,79,64,35,54.7,1,0,0.0,15,9,60.0,59,17,76,17,19,4,24,7818
Jo Hill,18,156,137,58,42.3,13,3,23.1,45,37,82.2,57,25,82,28,3,15,38,7817
Rohanee Cox,14,235,166,76,45.8,55,21,38.2,72,62,86.1,39,28,67,25,4,12,33,7817
Aneka Davis,23,286,267,93,34.8,21,6,28.6,121,94,77.7,122,66,188,37,8,29,51,7817
Rachael McCully,21,276,215,90,41.9,42,11,26.2,108,85,78.7,54,16,70,82,5,39,57,7817
Cherie Gallagher,24,127,94,49,52.1,22,12,54.5,22,17,77.3,31,27,58,13,0,15,15,7817
Rebecca Vanderjagt,20,15,16,4,25.0,2,0,0.0,8,7,87.5,11,8,19,8,3,3,7,7817
Rebecca Schatz,14,24,24,8,33.3,7,2,28.6,6,6,100.0,3,1,4,4,0,4,13,7817
Kirby Dalgleish,24,134,164,53,32.3,45,5,11.1,29,23,79.3,63,41,104,39,1,12,48,7817
Amy Lewis,23,367,321,137,42.7,128,40,31.3,71,53,74.6,35,22,57,36,4,24,70,7817
Tanya Smith,22,218,207,91,44.0,0,0,0.0,59,36,61.0,111,101,212,49,14,20,63,7817
Cassie Dover,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7817
Leah Rush,7,58,42,20,47.6,5,2,40.0,19,16,84.2,17,12,29,6,1,2,16,7817
Letitia Ward,6,0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,1,0,0,0,7817
Naomi Cage,9,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,7817
Madeleine Garrick,6,10,8,5,62.5,0,0,0.0,0,0,0.0,4,4,8,3,0,1,1,7824
KRISTI HARROWER,23,546,394,188,47.7,113,45,39.8,152,125,82.2,110,34,144,115,4,21,65,7824
Marita Payne,7,44,50,18,36.0,0,0,0.0,11,8,73.0,14,15,29,5,13,0,2,7824
Eleanor Haring,13,31,42,14,33.3,4,0,0.0,6,3,50.0,7,8,15,9,1,2,2,7824
Lauren King,23,256,262,103,39.3,115,34,29.6,19,16,84.2,75,24,99,34,23,15,27,7824
Jasmine Finnigan,23,152,139,57,41.0,50,16,32.0,37,22,59.5,84,33,117,26,11,23,33,7824
Jane Chalmers,23,66,71,22,31.0,36,11,30.6,15,11,73.3,25,23,48,20,1,8,13,7824
Andrea Wilson,15,9,11,4,36.4,0,0,0.0,4,1,25.0,8,8,16,2,0,1,2,7824
Louise Brown,18,110,123,44,35.8,55,14,25.5,10,8,80.0,50,15,65,33,4,8,13,7824
Kerryn Harrington,11,13,12,4,33.3,7,1,14.3,6,4,66.7,5,0,5,3,0,1,2,7824
Jaclyn Smith,14,3,7,1,14.3,2,0,0.0,2,1,50.0,2,0,2,2,1,1,0,7824
Chelsea Aubry,23,269,220,95,43.2,88,35,39.8,56,44,78.6,59,41,100,22,7,11,29,7824
Chole Little,6,8,4,3,75.0,0,0,0.0,4,2,50.0,2,0,2,0,0,0,1,7824
Kelly Wilson,23,249,238,82,34.5,112,39,34.8,55,46,83.6,60,35,95,50,1,12,39,7824
Samantha Woosnam,22,233,193,87,45.1,60,20,33.3,62,39,62.9,115,34,149,80,4,17,60,7810
Shelley Burston,7,42,35,14,40.0,8,3,37.5,15,11,73.3,16,8,24,4,1,1,10,7810
Jessica Foley,18,276,242,99,40.9,70,21,30.0,78,57,73.1,68,45,113,53,13,26,39,7810
Rebecca Duke,20,76,77,29,37.7,27,7,25.9,15,11,73.3,49,19,68,61,24,18,35,7810
Renae Camino,13,188,190,74,38.9,41,9,22.0,50,31,62.0,48,18,66,28,3,9,23,7810
Angela Marino,18,289,203,83,40.9,105,37,35.2,105,86,81.9,46,8,54,78,1,13,54,7810
Mia Murray,22,154,160,62,38.8,55,17,30.9,17,13,76.5,47,20,67,32,20,18,32,7810
Nikita-Lee Martin,21,64,51,23,45.1,10,5,50.0,19,13,68.4,28,13,41,11,2,3,21,7810
Lisa Wallbutton,14,54,58,23,39.7,4,0,0.0,12,8,66.7,20,24,44,3,4,3,17,7810
Kelsey Ireland,9,0,3,0,0.0,2,0,0.0,0,0,0.0,2,1,3,2,0,2,2,7810
Trudy Holland,7,2,3,1,33.3,0,0,0.0,2,0,0.0,4,1,5,1,1,1,2,7810
Kirsty Williams,8,0,7,0,0.0,2,0,0.0,0,0,0.0,1,0,1,1,0,0,3,7810
Caroline Burgess,8,2,5,1,20.0,1,0,0.0,0,0,0.0,5,3,8,2,1,2,4,7810
Cayla George,22,334,292,129,44.2,50,15,30.0,83,61,73.5,159,50,209,45,32,27,52,7810
Rebecca Haynes,20,67,74,29,39.2,32,7,21.9,6,2,33.3,36,22,58,11,8,15,17,7825
Kristen Veal,21,271,235,89,37.9,79,26,32.9,89,67,75.3,93,24,117,102,12,46,79,7825
Kate Willey,11,5,16,2,12.5,4,0,0.0,2,1,50.0,6,6,12,2,0,0,3,7825
Biancia Abbott,21,210,177,80,45.2,2,0,0.0,71,50,70.4,104,27,131,28,8,13,83,7825
Natalie Taylor,22,249,223,91,40.8,106,37,34.9,44,30,68.2,92,25,117,46,7,35,57,7825
Sarah Graham,18,200,171,71,41.5,71,29,40.8,37,29,78.4,42,10,52,27,1,10,48,7825
Holly Smith,22,195,151,75,49.7,1,0,0.0,62,45,72.6,62,31,93,17,13,5,37,7825
Suzie Bates,21,76,95,25,26.3,38,7,18.4,21,19,90.5,40,12,52,21,1,6,21,7825
Megan Michael,21,38,42,13,31.0,13,2,15.4,21,10,47.6,15,12,27,19,0,11,29,7825
Cassie Smith,16,57,33,21,63.6,6,5,83.3,13,10,76.9,5,6,11,5,0,6,20,7825
Odette Isaac,16,60,43,18,41.9,9,3,33.3,27,21,77.8,9,12,21,10,0,9,16,7825
Marta Dydek,21,120,100,39,39.0,16,5,31.3,51,37,72.5,33,22,55,11,21,3,30,7825
Katie Harris,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7825
Jessica Wallis,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7825
Caitlin Ryan,22,216,209,75,35.9,119,38,31.9,32,28,87.5,55,10,65,36,4,14,45,7813
Jessica Mahony,19,81,82,23,28.0,13,2,15.4,57,33,57.9,52,28,80,72,6,24,55,7813
Alison Downie,22,142,173,54,31.2,66,21,31.8,16,13,81.3,54,29,83,22,12,24,30,7813
Faith Probst,13,35,35,13,37.1,4,2,50.0,9,7,77.8,18,9,27,8,2,7,10,7813
Caitlin Cunningham,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,7813
Nicole Hunt,17,75,80,26,32.5,40,13,32.5,17,10,58.8,26,5,31,33,0,9,27,7813
Catherine Guest,1,2,2,1,50.0,0,0,0.0,1,0,0.0,0,0,0,1,0,1,0,7813
Hope Terdich,9,20,25,9,36.0,0,0,0.0,4,2,50.0,10,5,15,5,0,4,9,7813
Amelia Todhunter,3,11,5,3,60.0,2,2,100.0,4,3,75.0,6,1,7,3,1,0,5,7813
Clare Papavs,14,22,21,6,28.6,15,4,26.7,8,6,75.0,9,7,16,6,2,3,0,7813
Rebecca Allen,1,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,7813
Megan Moody,18,135,144,52,36.1,44,11,25.0,25,20,80.0,40,14,54,13,12,3,26,7813
Ashley Lindsey,22,202,200,87,43.5,2,0,0.0,52,28,53.8,88,66,154,10,25,16,34,7813
Casey Nash,22,214,196,91,46.4,5,0,0.0,47,32,68.1,78,46,124,40,6,21,55,7813
Kylie Morrissy,3,0,6,0,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,1,1,7813
Antonia Farnworth,22,110,116,42,36.2,27,11,40.7,23,15,65.2,34,15,49,10,7,5,15,7813
Melissa Moyle,16,59,61,28,45.9,13,1,7.7,7,2,28.6,12,6,18,5,5,5,15,7800
Sheraton Flood,13,6,11,1,9.1,2,0,0.0,6,4,66.7,10,2,12,11,0,3,16,7800
Melissa Marsh,21,253,281,99,35.2,121,38,31.4,24,17,70.8,69,16,85,62,4,23,53,7800
Carli Boyanich,14,45,35,15,42.9,7,2,28.6,18,13,72.2,23,8,31,4,3,2,13,7800
Kaye Tucker,14,33,40,14,35.0,2,1,50.0,6,4,66.7,18,14,32,13,5,4,16,7800
Rebecca Mercer,22,193,174,71,40.8,66,19,28.8,46,32,69.6,16,10,26,38,2,6,47,7800
Ainsleigh Sanders,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7800
Ashley Sanders,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7800
CHELSEA BOYANICH,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7800
EMMA LOBB,9,12,12,5,42.0,0,0,0.0,4,2,50.0,5,1,6,5,2,3,11,7800
Brittany Morgan,12,6,13,2,15.4,3,0,0.0,6,2,33.3,10,4,14,5,0,4,5,7800
Kate Malpass,22,247,242,102,42.1,41,10,24.4,43,33,76.7,64,31,95,77,2,36,85,7800
Samantha Norwood,20,113,109,45,41.3,2,0,0.0,40,23,57.5,55,32,87,20,5,6,48,7800
Ashley Gilmore,22,150,138,69,50.0,6,1,16.7,16,11,68.8,67,50,117,19,5,19,27,7800
Danielle Campbell,21,182,186,68,36.6,2,0,0.0,68,46,67.6,86,53,139,22,21,11,58,7800
Takia Starks,16,187,180,82,45.6,18,4,22.2,30,19,63.3,43,14,57,28,4,18,40,7800
Ella Buckley,1,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,7800
Carley Ernst,4,21,21,7,33.0,5,3,60.0,6,4,67.0,11,1,12,2,1,1,5,7814
Sara Blicavs,8,29,39,13,33.0,2,0,0.0,6,3,50.0,12,7,19,6,5,9,9,7814
Madeleine Garrick,3,6,14,3,21.4,1,0,0.0,0,0,0.0,8,1,9,2,1,1,8,7814
Kerryn Harrington,6,19,37,6,16.2,27,4,14.8,4,3,75.0,7,5,12,6,1,5,16,7814
Alice Kunek,7,38,43,13,30.2,12,3,25.0,12,9,75.0,10,5,15,5,2,1,16,7814
Michelle Joy,8,32,50,12,24.0,15,4,26.7,8,4,50.0,15,7,22,5,0,0,15,7814
Bree Farley,10,64,69,22,31.9,33,10,30.3,14,10,71.4,15,2,17,3,1,4,18,7814
Tess Madgen,19,223,219,85,38.8,38,10,26.3,72,43,59.7,77,32,109,29,10,21,64,7814
Jillian Haughton,22,92,99,31,31.3,46,12,26.1,31,18,58.1,34,9,43,35,5,18,69,7814
Alex Sheedy,2,2,1,1,100.0,0,0,0.0,0,0,0.0,3,1,4,2,0,0,3,7814
Nicole Seekamp,18,68,75,22,29.3,23,6,26.1,22,18,81.8,21,14,35,18,1,16,36,7814
Nadeen Payne,18,110,100,35,35.0,16,2,12.5,59,38,64.4,46,17,63,15,5,10,68,7814
Tayla Roberts,22,216,228,97,42.5,1,0,0.0,36,22,61.1,82,51,133,7,12,10,58,7814
Lara Napier,10,12,13,6,46.2,2,0,0.0,0,0,0.0,8,1,9,7,0,5,11,7814
Adrienne Jones,13,44,51,12,23.5,32,8,25.0,21,12,57.1,16,8,24,8,2,4,34,7814
Madeleine Taylor,14,78,103,29,28.2,35,8,22.9,23,12,52.2,13,11,24,12,5,26,38,7814
Alexandra Bunton,6,9,18,3,16.7,0,0,0.0,5,3,60.0,19,11,30,3,8,2,10,7814
Kathryn Rendell,7,4,11,2,18.0,1,0,0.0,0,0,0.0,1,2,3,3,0,1,3,7814
Gretel Tippett,8,66,58,24,41.0,10,1,10.0,34,17,50.0,21,14,35,5,17,5,19,7814
Tessa Lavey,8,28,48,12,25.0,16,3,19.0,3,1,33.0,17,9,26,3,0,2,21,7814
Georgia Minear,5,4,10,2,20.0,6,0,0.0,0,0,0.0,6,1,7,2,0,1,6,7814
Olivia Thompson,7,15,24,6,25.0,1,0,0.0,4,3,75.0,8,4,12,3,1,4,9,7814
Rebecca Cole,3,11,15,4,27.0,4,1,25.0,4,2,50.0,5,3,8,3,2,5,9,7814
