Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Darcee Garbin,28,146,110,55,50.0,16,5,31.3,48,31,64.6,49,39,88,22,9,7,29,13818
Suzy Batkovic,28,581,469,236,50.3,31,7,22.6,132,102,77.3,180,66,246,72,35,29,68,13818
Cherie Gallagher,22,28,27,9,33.3,7,3,42.9,10,7,70.0,24,12,36,15,2,6,10,13818
Mia Murray,28,277,246,100,40.7,108,41,38.0,46,36,78.3,64,29,93,82,16,15,48,13818
Kate Gaze,27,105,102,36,35.3,56,18,32.1,23,15,65.2,27,4,31,26,0,2,20,13818
Micaela Cocks,28,253,229,86,37.6,93,27,29.0,68,54,79.4,47,28,75,76,3,15,53,13818
Natalie Novosel,28,293,200,96,48.0,70,34,48.6,93,67,72.0,77,20,97,66,5,36,72,13818
Jacqui Zelenka,7,3,3,1,33.3,0,0,0.0,2,1,50.0,3,2,5,1,0,0,1,13818
Tamara Tatham,14,159,114,55,48.2,23,7,30.4,49,42,85.7,45,17,62,31,4,13,36,13818
Ainsley Walsh,5,8,5,3,60.0,4,2,50.0,0,0,0.0,1,3,4,0,1,0,0,13818
Chevannah Paalvast,21,33,25,13,52.0,6,2,33.3,6,5,83.3,5,0,5,10,0,2,7,13818
Cayla George,28,382,346,150,43.4,71,23,32.4,77,59,76.6,268,65,333,59,30,15,58,13818
Melissa Moyle,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13819
Carley Ernst,26,303,253,108,42.7,136,59,43.4,37,28,75.7,73,23,96,15,10,13,33,13819
Ashleigh Isenbarger,2,0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13819
Louella Tomlinson,23,206,205,80,39.0,43,12,28.0,40,34,85.0,83,40,123,33,47,18,32,13819
Natalie Burton,26,159,141,72,51.1,0,0,0.0,28,15,53.6,63,71,134,24,9,14,26,13819
Tessa Lavey,25,260,272,95,34.9,117,39,33.3,35,31,88.6,61,25,86,82,6,29,45,13819
Jacinta Bourne,2,2,1,0,0.0,1,0,0.0,2,2,100.0,1,0,1,0,1,1,1,13819
Emma-Jane Klasztorny,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13819
KLARA WISCHER,20,47,45,21,46.7,11,2,18.2,4,3,75.0,20,17,37,13,0,6,11,13819
Eliza Chilcott,26,57,61,22,36.1,6,3,50.0,14,10,71.4,24,25,49,11,0,11,17,13819
Sami Whitcomb,26,498,422,172,40.8,267,91,34.1,83,63,75.9,112,37,149,77,3,67,61,13819
Stacey Barr,11,13,16,5,31.3,7,1,14.3,3,2,66.7,3,7,10,3,0,2,6,13819
Betnijah Laney,26,383,350,152,43.4,20,2,10.0,100,77,77.0,123,77,200,98,9,25,88,13819
Brianna Moyes,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,13819
Louella Tomlinson,23,206,205,80,39.0,43,12,27.9,40,34,85.0,83,40,123,33,47,18,32,13819
Antonia Farnworth,26,95,117,39,33.3,54,10,18.5,10,7,70.0,34,20,54,39,9,7,18,13819
Sara Blicavs,25,343,329,126,38.0,33,6,18.0,102,85,83.0,121,45,166,62,6,34,76,13821
Tegan Cunningham,13,9,6,4,67.0,0,0,0.0,1,1,100.0,5,6,11,1,2,0,3,13821
Jacinta Kennedy,25,223,180,92,51.0,1,0,0.0,53,39,74.0,84,49,133,31,16,14,27,13821
Alison Downie,21,47,44,18,41.0,13,6,46.0,6,5,83.0,24,13,37,15,5,12,15,13821
Amelia Todhunter,25,128,146,47,32.0,49,17,35.0,29,17,59.0,53,26,79,52,2,24,45,13821
Tenaya Phillips,18,63,62,20,32.0,12,2,17.0,22,21,95.0,16,13,29,13,1,3,18,13821
Alexandra Bunton,10,63,64,25,39.0,0,0,0.0,21,13,62.0,34,12,46,7,3,1,16,13821
Briahna Whatman,1,0,2,0,0.0,2,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13821
Lauren Scherf,25,127,130,51,39.0,15,3,20.0,30,22,73.0,63,26,89,15,17,2,28,13821
Chloe Bibby,1,0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13821
Annalise Pickrel,24,348,277,141,51.0,47,18,38.0,60,48,80.0,125,41,166,34,15,15,39,13821
Najvada George,1,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13821
