Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Michelle Brogan,16,200,163,69,42.0,9,2,22.0,71,60,85.0,76,49,125,61,9,20,40,7810
Rachael Sporn,23,349,321,144,45.0,1,0,0.0,96,61,64.0,138,87,225,44,13,12,58,7810
Jae Kingi,23,332,281,114,41.0,94,37,39.0,86,67,78.0,89,27,116,112,17,39,64,7810
Tammy Hoare,23,218,214,89,42.0,0,0,0.0,63,40,63.0,75,46,121,39,17,20,60,7810
Deanna Black,17,153,154,56,36.0,43,16,37.0,27,25,93.0,33,21,54,51,4,11,44,7810
Sarah Nobbs,14,10,10,5,50.0,1,0,0.0,3,0,0.0,3,4,7,2,0,4,2,7810
Jennifer Screen,14,94,87,32,37.0,42,15,36.0,23,15,65.0,66,24,90,25,1,12,39,7810
Kamala Lamshed,23,61,77,19,25.0,55,17,31.0,8,6,75.0,19,7,26,13,1,8,12,7810
Rachael McCully,22,35,40,13,33.0,8,2,25.0,10,7,70.0,9,8,17,7,1,5,13,7810
Rachel Keller,23,15,24,7,29.0,0,0,0.0,2,1,50.0,15,5,20,12,3,3,15,7810
Melissa Hill,2,1,0,0,0.0,0,0,0.0,2,1,50.0,0,0,0,0,0,0,1,7810
Tracey Peacock,23,146,139,65,47.0,0,0,0.0,32,16,50.0,101,43,144,18,35,5,48,7810
Kate Cohen,22,170,182,64,35.0,71,19,27.0,43,23,53.0,31,26,57,46,0,12,61,7813
Narelle Fletcher,17,169,152,53,35.0,100,34,34.0,36,29,81.0,34,20,54,36,7,19,30,7813
Jo Myers,22,96,128,35,27.0,49,12,24.0,22,14,64.0,70,24,94,42,1,29,48,7813
Penny Taylor,21,584,461,208,45.0,92,30,33.0,162,138,85.0,131,65,196,46,18,44,56,7813
Emily McInerny,22,143,173,60,35.0,39,12,31.0,15,11,73.0,90,53,143,92,22,53,67,7813
Allie Douglas,10,152,114,59,52.0,0,0,0.0,58,34,59.0,54,40,94,10,6,10,18,7813
Anthea Tona,1,0,3,0,0.0,2,0,0.0,0,0,0.0,0,0,0,0,0,1,0,7813
Samantha Richards,1,8,7,4,57.0,0,0,0.0,0,0,0.0,2,0,2,0,1,2,0,7813
Kate Smith,12,29,29,10,34.0,0,0,0.0,10,9,90.0,21,5,26,3,3,0,14,7813
Melissa Webbers,14,25,33,9,27.0,4,1,25.0,10,6,60.0,7,7,14,1,3,3,11,7813
Alison Downie,22,78,77,28,36.0,17,6,35.0,23,16,70.0,14,16,30,7,5,7,20,7813
Michelle Cosier,15,217,180,87,48.0,38,12,32.0,47,31,66.0,40,40,80,12,3,13,34,7813
April Helliwell,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,7813
Demelza Waixel,17,24,23,9,39.0,0,0,0.0,13,6,46.0,23,14,37,2,7,3,9,7813
Simone Epskamp,8,3,4,1,25.0,4,1,25.0,2,0,0.0,1,0,1,2,0,2,1,7813
Jamie Wallis,2,0,4,0,0.0,2,0,0.0,0,0,0.0,1,1,2,1,0,0,3,7813
Shelley Sandie,22,314,316,122,39.0,46,11,24.0,84,59,70.0,72,17,89,36,4,33,50,7818
Lucille Bailie,17,206,184,90,49.0,3,0,0.0,34,26,76.0,75,41,116,22,13,13,35,7818
Kellie Abrams,23,143,146,54,37.0,43,11,26.0,41,24,59.0,52,24,76,81,12,27,75,7818
Gemma Sutherland,20,33,34,14,41.0,1,0,0.0,11,5,45.0,39,22,61,13,13,3,16,7818
Lauren Jackson,15,375,267,139,52.0,46,19,41.0,97,78,80.0,137,52,189,24,51,12,37,7818
Kristen Veal,8,49,64,18,28.0,24,4,17.0,10,9,90.0,27,11,38,32,4,9,24,7818
Kim Wielens,13,47,45,19,42.0,20,5,25.0,9,4,44.0,22,11,33,29,1,9,21,7818
Eleanor Sharp,23,223,234,84,36.0,60,19,32.0,43,36,84.0,40,32,72,69,5,30,56,7818
Jacinta Kennedy,22,202,161,74,46.0,3,1,33.0,70,53,76.0,100,62,162,14,45,16,47,7818
Sarah Berry,23,46,41,15,37.0,12,2,17.0,21,14,67.0,14,12,26,15,0,3,10,7818
Natalie Hurst,23,55,56,20,36.0,24,4,17.0,16,11,69.0,24,8,32,20,2,3,29,7818
Yvonne Christiansen,16,29,22,12,55.0,0,0,0.0,10,5,50.0,11,8,19,3,1,1,4,7818
Tanelle Dun,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7818
NERRIDA COOPER,2,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,7818
Annie Burgess,24,256,273,88,32.0,49,8,16.0,92,72,78.0,69,50,119,111,4,36,57,7811
Leanne Dalton,23,52,55,22,40.0,19,4,21.0,5,4,80.0,26,18,44,7,3,10,9,7811
Karen Smiggs Stanford-Smith,24,111,94,39,41.0,0,0,0.0,50,33,66.0,60,36,96,12,21,11,24,7811
Lauren Fitzgerald,12,2,4,1,25.0,0,0,0.0,0,0,0.0,2,2,4,1,0,1,9,7811
Narelle Lindsay,24,174,160,58,36.0,63,24,38.0,48,34,71.0,59,23,82,34,3,35,32,7811
REBECCA MACKINNON,23,114,105,38,36.0,37,11,30.0,36,27,75.0,43,17,60,25,3,21,26,7811
Belinda Snell,24,383,327,127,39.0,161,54,34.0,86,75,87.0,131,70,201,61,13,27,71,7811
Alison O'Dwyer,24,271,261,105,40.0,22,4,18.0,85,57,67.0,106,55,161,12,24,12,67,7811
Simone Ball (Culber),3,0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7811
Briana Maimone,24,45,52,19,37.0,15,3,20.0,5,4,80.0,17,20,37,15,1,15,14,7811
Natalie Stafford,24,414,375,154,41.0,91,26,29.0,94,80,85.0,37,53,90,45,6,31,40,7811
Peta Sinclair,1,3,2,1,50.0,0,0,0.0,2,1,50.0,1,0,1,0,0,0,1,7811
Tammie Bywater,8,5,10,2,20.0,1,0,0.0,6,1,17.0,2,0,2,4,0,1,2,7811
Carly Wilson,21,227,212,87,41.0,62,19,31.0,47,34,72.0,61,27,88,52,22,20,42,7814
Shelley Burston,21,281,254,106,42.0,35,8,23.0,86,61,71.0,103,46,149,51,17,11,46,7814
Jessica Mahony,12,70,39,12,31.0,12,4,33.0,51,42,82.0,24,6,30,43,0,13,45,7814
