Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Rangers,21,2,91,,1651,1412,12,1,9,1,7813
2,,Flames,18,6,75,,1877,1585,9,3,9,3,7811
3,,Boomers,16,7,69,,1699,1478,7,4,9,3,7812
4,,Lightning,13,9,59,,1711,1519,5,5,8,4,7810
5,,Capitals,9,12,42,,1511,1572,6,5,3,7,7818
6,,Fire,7,14,33,,1532,1609,4,6,3,8,7817
7,,AIS,3,18,14,,1535,1824,2,8,1,10,7814
8,,Waves,1,20,4,,1203,1720,1,10,0,10,7800
