Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Capitals,16,5,76,"W
W
W
W
W",1636,1368,9,1,7,4,7818
2,,Fire,15,6,71,"W
L
L
W
W",1547,1452,10,0,5,6,7817
3,,Flames,14,7,66,"W
W
W
L
L",1543,1437,9,2,5,5,7811
4,,Lightning,12,9,57,"W
L
W
L
W",1400,1289,8,2,4,7,7810
5,,Rangers,11,10,52,"L
W
W
L
W",1577,1540,7,4,4,6,7813
6,,Boomers,6,15,28,"W
L
L
L
W",1384,1577,4,7,2,8,7812
7,,Waves,6,15,28,"W
W
L
L
L",1331,1524,4,6,2,9,7800
8,,AIS,4,17,19,"L
L
L
L
L",1313,1544,3,8,1,9,7814
