Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Capitals,17,7,70,,1802,1600,11,1,6,6,7818
2,,Flames,17,6,73,,1851,1593,9,4,8,2,7811
3,,Lightning,16,7,69,,1737,1633,10,1,6,6,7810
4,,Rangers,12,10,54,,1546,1503,7,4,5,6,7813
5,,Boomers,12,9,57,,1590,1550,7,3,5,6,7812
6,,Fire,10,11,47,,1714,1626,7,3,3,8,7817
7,,Waves,3,18,14,,1302,1633,2,9,1,9,7800
8,,AIS,1,20,4,,1312,1716,1,9,0,11,7814
