Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Jo Hill,22,137,132,51,38.6,6,1,16.7,59,34,57.6,59,32,91,52,3,15,39,7810
Suzy Batkovic,20,487,410,201,49.0,44,11,25.0,104,74,71.2,156,53,209,58,31,50,67,7810
Monica Bello,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,1,1,7810
Jennifer Screen,23,135,134,55,41.0,23,6,26.1,19,19,100.0,77,36,113,70,7,21,40,7810
Rachel Herrick,18,29,27,11,40.7,0,0,0.0,10,7,70.0,18,8,26,9,1,2,12,7810
Angela Marino,24,267,208,71,34.1,103,42,40.8,102,83,81.4,61,7,68,84,1,22,48,7810
Abby Bishop,24,394,334,147,44.0,13,3,23.1,122,97,79.5,117,80,197,63,12,27,79,7810
Kelsey Ireland,6,10,12,2,17.0,1,1,100.0,6,5,83.0,3,2,5,9,0,3,7,7810
Amy Lewis,24,223,193,90,46.6,51,23,45.1,29,20,69.0,54,29,83,63,3,17,39,7810
Georgia Minear,20,56,55,23,41.8,16,5,31.3,6,5,83.3,19,6,25,10,5,13,7,7810
Stephanie Talbot,4,3,3,1,33.0,1,1,100.0,0,0,0.0,0,0,0,3,1,0,5,7810
Marisa Stabile,6,2,7,1,14.3,0,0,0.0,4,0,0.0,1,2,3,0,0,0,1,7810
Antonia Farnworth,24,101,115,45,39.1,16,3,18.8,14,8,57.1,29,29,58,20,9,8,19,7810
Samantha Richards,19,288,257,105,40.9,64,18,28.1,74,60,81.1,42,9,51,84,5,13,45,7812
Faith Probst,18,19,32,7,21.9,6,0,0.0,8,5,62.5,26,15,41,9,5,16,20,7812
Caitlin Cunningham,4,4,2,2,100.0,0,0,0.0,0,0,0.0,3,2,5,3,1,0,2,7812
Kerryn Harrington,21,116,132,39,29.5,72,19,26.4,32,19,59.4,27,4,31,32,3,10,35,7812
