Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Penny Taylor,22,251,192,100,52.1,35,10,28.6,55,41,74.5,106,48,154,80,14,30,60,7814
Lauren Jackson,22,499,388,206,53.1,30,6,20.0,122,81,66.4,197,67,264,28,47,14,43,7814
Lauren Fitzgerald,23,21,19,9,47.4,0,0,0.0,5,3,60.0,9,2,11,13,2,2,9,7814
Tammy Hoare,23,106,96,43,44.8,0,0,0.0,38,20,52.6,41,21,62,16,3,6,20,7814
Desiree Glaubitz,23,190,174,70,40.2,65,21,32.3,38,29,76.3,56,11,67,64,0,9,35,7814
Kristen Veal,19,224,182,83,45.6,65,24,36.9,51,34,66.7,68,34,102,134,7,28,80,7814
Suzy Batkovic,19,212,170,89,52.4,0,0,0.0,53,34,64.2,55,47,102,15,15,10,28,7814
Deanna Black,23,102,88,41,46.6,27,9,33.3,16,11,68.8,34,11,45,31,4,9,31,7814
Deanne Butler,23,87,78,27,34.6,41,14,34.1,23,19,82.6,32,9,41,45,0,11,37,7814
Belinda Snell,15,94,83,35,42.2,22,6,27.3,23,18,78.3,26,22,48,33,4,8,23,7814
Tania Baxter,13,16,15,4,26.7,9,4,44.4,4,4,100.0,3,1,4,3,0,2,2,7814
Alison O'Dwyer,7,0,1,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,7814
Narelle Fletcher,24,243,230,79,34.3,118,34,28.8,71,51,71.8,76,21,97,93,10,28,68,7800
Jenny Whittle,24,298,258,122,47.3,15,5,33.3,65,49,75.4,153,33,186,51,58,13,56,7800
Christine Boyd,23,21,18,7,38.9,0,0,0.0,10,7,70.0,11,9,20,2,1,2,7,7800
Lisa MacLean,23,53,61,22,36.1,33,8,24.2,2,1,50.0,27,5,32,18,0,11,16,7800
Kerryn Owens,18,33,36,10,27.8,18,1,5.6,17,12,70.6,19,2,21,8,0,8,18,7800
Tully Bevilaqua,23,204,160,67,41.9,57,20,35.1,71,50,70.4,90,32,122,81,12,57,49,7800
Melissa McClure,24,230,185,89,48.1,34,12,35.3,52,40,76.9,77,35,112,51,9,32,39,7800
Gina Stevens,24,394,337,139,41.2,83,26,31.3,114,90,78.9,71,36,107,38,7,26,52,7800
Megan Clarke,24,27,26,10,38.5,1,0,0.0,11,7,63.6,15,11,26,4,1,10,15,7800
Rohanee Cox,24,225,171,82,48.0,41,15,36.6,58,46,79.3,62,44,106,28,11,23,34,7800
Deanne Ranford,7,7,3,1,33.3,1,1,100.0,6,4,66.7,0,1,1,6,0,0,0,7800
Suzanne Williams,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7800
Rachael Sporn,23,469,351,186,53.0,0,0,0.0,134,97,72.4,130,58,188,57,16,27,78,7810
Jo Hill,23,349,276,133,48.2,31,7,22.6,101,76,75.2,100,48,148,52,4,46,61,7810
Lesley Grieger,4,2,2,1,50.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,7810
Vikki Kelson,23,42,49,20,40.8,4,0,0.0,2,2,100.0,29,4,33,14,2,14,25,7810
Brook McInnes,17,2,8,1,12.5,0,0,0.0,0,0,0.0,5,3,8,1,1,0,3,7810
Jae Kingi,21,129,138,47,34.1,59,16,27.1,33,19,57.6,50,16,66,42,3,8,32,7810
Tania Dhu,23,74,72,24,33.3,10,3,30.0,34,23,67.6,26,9,35,29,2,12,41,7810
Narelle Lindsay,23,137,134,48,35.8,72,22,30.6,27,19,70.4,55,17,72,37,1,25,39,7810
Samantha Woosnam,23,217,220,77,35.0,20,7,35.0,82,56,68.3,90,40,130,46,4,17,55,7810
Catie Claessen,3,0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,2,0,1,0,4,7810
Sarah Nobbs,9,9,16,4,25.0,0,0,0.0,4,1,25.0,3,7,10,2,0,3,6,7810
Nicole Ullianich,4,4,3,1,33.0,2,1,50.0,2,1,50.0,1,0,1,0,0,0,1,7810
Tracey Peacock,23,84,103,33,32.0,0,0,0.0,32,18,56.3,48,22,70,6,19,3,32,7810
Kerryn Henderson,22,169,157,75,47.8,4,1,25.0,23,18,78.3,28,25,53,20,3,13,29,7801
Samantha Tomlinson,22,141,152,56,36.8,41,7,17.1,33,22,66.7,57,18,75,14,17,9,37,7801
Jo Metcalfe,21,241,228,97,42.5,75,17,22.7,43,30,69.8,73,23,96,15,15,13,26,7801
Andrea Cartledge,18,76,77,27,35.1,36,11,30.6,14,11,78.6,24,9,33,11,1,12,16,7801
Jo Myers,5,18,20,7,35.0,10,3,30.0,2,1,50.0,10,2,12,4,1,2,4,7801
Nicky Simpson,22,73,100,31,31.0,26,4,15.4,14,7,50.0,34,15,49,30,3,9,41,7801
KRISTI HARROWER,22,331,273,114,41.8,110,34,30.9,95,69,72.6,94,20,114,122,4,25,77,7801
Kelly Lemezs,22,86,70,33,47.1,3,2,66.7,23,18,78.3,21,17,38,9,2,2,10,7801
Emily McInerny,22,88,97,32,33.0,52,16,30.8,17,8,47.1,73,25,98,52,17,29,38,7801
Chika Emeagi,21,113,115,43,37.4,2,2,100.0,29,25,86.2,51,30,81,16,4,10,18,7801
Emma Wilson,5,29,28,10,35.7,18,6,33.3,3,3,100.0,11,1,12,4,0,2,8,7801
Priscilla Tomlinson,17,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7801
MICHELE TIMMS,18,210,218,74,33.9,82,25,30.5,48,37,77.1,60,18,78,71,2,22,52,7812
Kate Cohen,21,100,97,37,38.1,40,11,27.5,21,15,71.4,18,6,24,23,1,9,26,7812
ALLISON TRANQUILLI,21,335,297,119,40.1,57,17,29.8,98,80,81.6,78,43,121,53,5,23,64,7812
Michelle Cleary,21,135,133,53,39.8,43,16,37.2,18,13,72.2,57,20,77,63,2,31,28,7812
Linda Brandt,19,115,88,39,44.3,6,4,66.7,47,33,70.2,30,19,49,12,6,6,21,7812
Tanya Haave,19,239,211,105,49.8,21,8,38.1,33,21,63.6,79,37,116,18,4,8,38,7812
Kate Hogan,18,9,12,3,25.0,2,1,50.0,4,2,50.0,4,2,6,3,0,0,3,7812
Monica Bello,18,8,3,3,100.0,2,2,100.0,0,0,0.0,0,3,3,2,0,0,3,7812
Kirstie Dench,4,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,7812
Caroline Matthews,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Robyn Ryan,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Cathy Craw,21,17,22,8,36.4,0,0,0.0,4,1,25.0,11,4,15,3,2,1,16,7812
Larissa Anderson,21,203,215,89,41.4,22,3,13.6,27,22,81.5,71,42,113,13,13,20,24,7812
Annie Burgess,21,307,334,119,35.6,62,17,27.4,67,52,77.6,68,47,115,82,4,29,88,7811
Robyn Maher,21,105,148,40,27.0,24,4,16.7,31,21,67.7,95,32,127,93,5,35,78,7811
Rhonda Corkeron,18,263,221,97,43.9,2,0,0.0,114,69,60.5,78,67,145,14,16,29,37,7811
Alicia Poto,21,318,264,120,45.5,115,48,41.7,41,30,73.2,96,37,133,50,8,45,43,7811
Amy Cruickshank,21,4,10,1,10.0,2,0,0.0,2,2,100.0,4,2,6,3,0,1,6,7811
Frances Peters,17,46,60,17,28.3,24,5,20.8,14,7,50.0,11,3,14,8,0,6,12,7811
Anna Crosswhite,20,40,44,16,36.4,9,3,33.3,8,5,62.5,12,11,23,6,2,1,7,7811
Simone Ball (Culber),16,7,3,1,33.3,0,0,0.0,6,5,83.3,0,1,1,0,0,1,2,7811
Sara Wilson,21,147,145,63,43.4,1,0,0.0,43,21,48.8,73,30,103,9,4,10,21,7811
Briana Maimone,10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,7811
Karen Dalton,21,96,114,36,31.6,2,0,0.0,31,24,77.4,94,37,131,16,4,10,24,7811
Lucille Bailie,21,289,292,123,42.1,4,0,0.0,62,43,69.4,115,64,179,19,4,11,65,7813
Sally Phillips,21,230,231,87,37.7,82,28,34.1,38,28,73.7,40,20,60,65,6,27,74,7813
Jade Hyett,18,100,109,35,32.1,44,9,20.5,31,21,67.7,39,16,55,58,2,33,40,7813
Rebecca Brincat,15,7,14,3,21.4,2,0,0.0,2,1,50.0,3,0,3,2,0,2,2,7813
NATALIE PORTER,18,169,170,63,37.1,42,16,38.1,38,27,71.1,48,36,84,11,7,19,30,7813
Jessica Bibby,21,185,163,65,39.9,68,20,29.4,47,35,74.5,26,18,44,16,0,15,44,7813
Allie Douglas,21,229,186,81,43.5,0,0,0.0,110,67,60.9,104,87,191,27,5,18,64,7813
Aneka Davis,18,18,25,8,32.0,1,0,0.0,9,2,22.2,10,10,20,3,1,7,7,7813
Carly Wilson,4,0,3,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Samantha Richards,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,7813
Tegan Fowler,15,21,23,10,43.5,1,0,0.0,2,1,50.0,16,6,22,5,5,3,7,7813
Jacinta Kennedy,7,8,9,3,33.3,0,0,0.0,2,2,100.0,5,1,6,1,3,3,5,7813
Caitlin Ryan,19,94,84,33,39.3,39,12,30.8,20,16,80.0,12,10,22,14,1,12,12,7813
Natalie Stafford,10,25,28,8,28.6,5,0,0.0,11,9,81.8,7,5,12,15,1,4,17,7813
Shelley Sandie,21,419,390,167,42.8,53,13,24.5,86,72,83.7,104,35,139,24,13,18,72,7818
Kate Paterson,12,32,43,14,32.6,12,0,0.0,11,4,36.4,17,8,25,8,0,4,18,7818
Kellie Abrams,21,121,152,47,30.9,58,18,31.0,21,9,42.9,35,19,54,51,5,22,61,7818
Gemma Sutherland,5,6,6,2,33.3,0,0,0.0,4,2,50.0,6,5,11,1,2,3,2,7818
Karen Smiggs Stanford-Smith,20,245,220,89,40.5,0,0,0.0,90,67,74.4,101,42,143,47,25,12,53,7818
Kim Wielens,18,150,153,54,35.3,42,8,19.0,51,34,66.7,52,22,74,51,16,25,42,7818
Stephanie Lynch,17,33,51,13,25.5,12,1,8.3,12,6,50.0,16,9,25,16,2,6,14,7818
Eleanor Sharp,21,186,172,67,39.0,47,14,29.8,49,38,77.6,33,26,59,33,3,17,32,7818
Dimity Ross,21,30,29,7,24.1,1,0,0.0,30,16,53.3,22,14,36,24,2,14,24,7818
Denise Shawyer,17,14,11,7,63.6,0,0,0.0,2,0,0.0,6,4,10,2,1,3,3,7818
Chloe Mullaney,21,49,48,16,33.3,0,0,0.0,27,17,63.0,17,15,32,7,4,7,19,7818
Kerri Kennedy,9,21,14,7,50.0,8,3,37.5,6,4,66.7,4,7,11,6,0,4,8,7818
