Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Rangers,19,4,82,,1626,1315,11,1,8,3,7813
2,,Flames,14,10,58,,1723,1613,8,3,6,7,7811
3,,Lightning,14,9,60,,1559,1405,11,1,3,8,7810
4,,Capitals,13,9,59,,1531,1403,10,2,3,7,7818
5,,Fire,12,9,57,,1506,1425,7,4,5,5,7817
6,,Boomers,11,10,52,,1508,1472,7,3,4,7,7812
7,,AIS,5,16,23,,1307,1549,4,5,1,11,7814
8,,Waves,0,21,0,,1101,1679,0,11,0,10,7800
