Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Capitals,17,7,70,,1766,1600,9,3,8,4,7818
2,,Rangers,15,8,65,,1728,1448,10,2,5,6,7813
3,,Lightning,14,9,60,,1919,1715,8,4,6,5,7810
4,,Boomers,13,9,59,,1696,1570,8,3,5,6,7812
5,,Flames,13,8,61,,1607,1468,6,4,7,4,7811
6,,Fire,12,9,57,,1666,1496,7,4,5,5,7817
7,,Waves,4,17,19,,1451,1765,1,9,3,8,7800
8,,AIS,0,21,0,,1168,1939,0,10,0,11,7814
