Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,AIS,18,5,78,,1802,1659,11,1,7,4,7814
2,,Waves,15,9,62,,1745,1536,10,1,5,8,7800
3,,Lightning,13,10,56,,1518,1474,7,5,6,5,7810
4,,Telstars,11,11,50,,1369,1297,8,3,3,8,7801
5,,Boomers,11,10,52,,1371,1410,6,4,5,6,7812
6,,Flames,10,11,47,,1333,1279,6,4,4,7,7811
7,,Rangers,6,15,28,,1375,1555,3,8,3,7,7813
8,,Capitals,4,17,19,,1306,1609,3,8,1,9,7818
