Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Flames,18,6,75,,1945,1770,9,2,9,4,7811
2,,Capitals,18,5,78,,1777,1552,10,3,8,2,7818
3,,Rangers,16,7,69,,1767,1565,9,3,7,4,7813
4,,Lightning,15,7,68,,1632,1399,8,2,7,5,7810
5,,AIS,7,14,33,,1399,1558,5,6,2,8,7814
6,,Boomers,7,14,33,,1468,1662,5,6,2,8,7812
7,,Waves,4,17,19,,1494,1753,1,9,3,8,7800
8,,Telstars,3,18,14,,1434,1657,2,8,1,10,7801
