Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Lightning,18,4,81,,1695,1485,9,2,9,2,7810
2,,Boomers,15,7,68,,1799,1650,7,4,8,3,7812
3,,Rangers,14,8,63,,1778,1554,8,3,6,5,7813
4,,Fire,13,9,59,,1659,1565,7,4,6,5,7817
5,,Flames,13,9,59,,1666,1581,6,5,7,4,7811
6,,Spirit,12,10,54,,1647,1481,7,4,5,6,7824
7,,Logan Thunder,12,10,54,,1583,1521,6,5,6,5,7825
8,,Capitals,9,13,40,,1642,1625,5,6,4,7,7818
9,,Waves,2,20,9,,1396,1834,1,10,1,10,7800
10,,AIS,2,20,9,,1264,1833,1,10,1,10,7814
