Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Flyers,11,2,84,,1256,997,5,1,6,1,118765
2,,Fire,9,4,69,,1054,950,5,2,4,2,13818
3,,UC Capitals,9,4,69,,1018,906,4,2,5,2,7846
4,,Boomers,9,4,69,,1005,875,4,2,5,2,13823
5,,Flames,5,8,38,,929,960,3,4,2,4,13822
6,,Lightning,5,8,38,,918,1071,3,3,2,5,118758
7,,Lynx,4,9,30,,917,1039,1,6,3,3,13819
8,,Spirit,0,13,0,,824,1123,0,7,0,6,13825
