Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Lucille Bailie,23,260,284,114,40.0,15,1,7.0,41,31,76.0,103,47,150,23,6,17,48,7818
Lauren Jackson,19,530,368,199,54.0,38,13,34.0,148,119,80.0,164,78,242,33,64,29,31,7818
Kristen Veal,23,271,267,89,33.0,108,33,31.0,77,60,78.0,99,31,130,124,9,43,90,7818
Kellie Abrams,20,182,185,74,40.0,44,14,32.0,37,20,54.0,65,27,92,78,12,20,50,7818
Eleanor Sharp,15,156,164,60,37.0,53,16,30.0,26,20,77.0,27,33,60,42,4,24,36,7818
Sarah Berry,23,144,143,54,38.0,42,11,26.0,43,25,58.0,42,35,77,24,0,10,34,7818
Natalie Hurst,23,62,56,18,32.0,27,10,37.0,20,16,80.0,31,8,39,30,1,3,21,7818
NERRIDA COOPER,21,68,55,25,45.0,2,1,50.0,37,17,46.0,75,31,106,12,3,18,21,7818
Katie Rose,15,2,3,1,33.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7818
Janna Sladic,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7818
Tania Baxter,23,190,161,61,38.0,78,27,35.0,51,41,80.0,45,14,59,43,12,25,41,7817
Rachel Byrne,22,86,97,30,31.0,6,0,0.0,36,26,72.0,25,22,47,26,3,14,21,7817
Jodie Datson,23,320,272,114,42.0,46,9,20.0,101,83,82.0,136,25,161,98,9,33,76,7817
Gina Stevens,23,344,298,120,40.0,87,33,38.0,87,71,82.0,85,33,118,26,11,39,38,7817
NATALIE PORTER,23,338,341,125,37.0,97,29,30.0,85,59,69.0,134,51,185,69,16,41,69,7817
Aneka Davis,23,89,100,32,32.0,1,0,0.0,35,25,71.0,44,42,86,11,11,12,25,7817
Claudia Brassard,23,268,242,102,42.0,12,2,17.0,84,62,74.0,113,61,174,29,17,29,59,7817
Julia Duroux,23,54,55,23,42.0,12,2,17.0,8,6,75.0,20,10,30,9,2,6,26,7817
Kylie Galloway,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,7817
Simone Page,21,3,2,1,50.0,1,0,0.0,2,1,50.0,0,2,2,0,0,0,6,7817
Lauren Oar,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7817
Rebecca Miles,10,0,2,0,0.0,1,0,0.0,0,0,0.0,2,1,3,0,1,0,2,7817
Leanne Dalton,23,27,53,12,23.0,14,0,0.0,4,3,75.0,34,25,59,19,2,5,16,7811
Tammy Hoare,24,142,149,63,42.0,0,0,0.0,27,16,59.0,66,36,102,26,10,15,40,7811
Narelle Lindsay,24,221,191,83,43.0,72,30,42.0,45,25,56.0,70,23,93,57,3,31,48,7811
REBECCA MACKINNON,21,64,77,15,19.0,36,8,22.0,35,26,74.0,28,21,49,35,4,16,26,7811
Belinda Snell,24,381,353,128,36.0,189,50,26.0,90,75,83.0,132,43,175,73,16,26,75,7811
Briana Maimone,23,120,111,44,40.0,58,17,29.0,24,15,63.0,39,23,62,17,3,14,27,7811
Natalie Stafford,24,263,273,101,37.0,72,28,39.0,49,33,67.0,37,31,68,51,11,27,45,7811
Shelley Burston,24,413,330,151,46.0,42,17,40.0,137,94,69.0,132,62,194,37,24,15,49,7811
Erin Heyde,15,1,2,0,0.0,0,0,0.0,2,1,50.0,0,1,1,0,0,0,3,7811
Jamie-Lee Samuels,6,2,1,1,100.0,0,0,0.0,0,0,0.0,3,0,3,0,0,1,3,7811
Adrianne Gilbert,8,1,4,0,0.0,1,0,0.0,2,1,50.0,1,0,1,4,0,2,3,7811
Jessica Gray,24,130,122,48,39.0,0,0,0.0,49,34,69.0,69,55,124,23,17,13,31,7811
Rachael Sporn,20,201,199,86,43.0,1,0,0.0,52,29,56.0,118,66,184,49,13,19,46,7810
Deanna Black,22,243,199,85,43.0,68,23,34.0,60,50,83.0,48,22,70,30,13,17,65,7810
Alison O'Dwyer,12,98,105,38,36.0,9,2,22.0,26,20,77.0,44,18,62,7,4,6,40,7810
Monique Bowley,22,103,102,34,33.0,45,16,36.0,29,19,66.0,51,15,66,10,7,10,29,7810
Jessica Mahony,22,195,174,58,33.0,51,11,22.0,98,68,69.0,72,29,101,60,3,44,74,7810
Jennifer Screen,6,58,47,22,47.0,12,4,33.0,11,10,91.0,31,8,39,15,1,4,20,7810
Kate Smith,3,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,2,7810
Laura Hodges,21,289,268,114,43.0,22,5,23.0,93,56,60.0,79,47,126,29,7,19,59,7810
Rachael McCully,18,9,17,3,18.0,1,0,0.0,8,3,38.0,6,4,10,6,0,4,3,7810
Melissa Hill,2,2,1,1,100.0,0,0,0.0,0,0,0.0,2,1,3,0,1,0,3,7810
Cherie Gallagher,22,46,49,21,43.0,1,0,0.0,7,4,57.0,23,20,43,11,3,10,12,7810
Erin Phillips,22,87,87,25,29.0,11,1,9.0,45,36,80.0,36,17,53,19,3,13,30,7810
Tracey Peacock,22,139,148,63,43.0,0,0,0.0,33,13,39.0,98,34,132,21,30,12,41,7810
Narelle Fletcher,21,273,276,90,33.0,146,41,28.0,59,52,88.0,61,20,81,106,11,55,78,7813
Jo Myers,21,90,84,32,38.0,39,13,33.0,18,13,72.0,35,11,46,50,4,23,45,7813
Allie Douglas,12,119,97,39,40.0,0,0,0.0,64,41,64.0,73,33,106,17,13,9,25,7813
Carly Wilson,21,369,330,147,45.0,63,24,38.0,75,51,68.0,80,54,134,24,30,37,41,7813
Samantha Richards,21,133,124,48,39.0,21,6,29.0,50,31,62.0,22,18,40,25,7,30,38,7813
Deanne Ranford,21,92,104,38,37.0,16,5,31.0,20,11,55.0,29,8,37,37,0,16,39,7813
Alison Downie,18,77,73,30,41.0,12,4,33.0,17,13,76.0,13,14,27,5,3,7,20,7813
Michelle Cosier,20,194,171,71,42.0,56,12,21.0,52,40,77.0,60,32,92,19,13,15,45,7813
Demelza Waixel,18,80,61,34,56.0,1,0,0.0,22,12,55.0,25,32,57,4,9,9,16,7813
Erica McMenamin,14,28,26,10,38.0,11,3,27.0,12,5,42.0,5,5,10,16,0,4,11,7813
Chelsea Laing,19,116,109,50,46.0,16,8,50.0,16,8,50.0,42,17,59,15,6,4,13,7813
Kate Johnston,2,3,2,1,50.0,0,0,0.0,2,1,50.0,2,1,3,0,0,0,3,7813
Kate Cohen,8,42,67,16,24.0,19,2,11.0,16,8,50.0,12,6,18,27,0,4,16,7812
KYLIE REID,21,134,155,48,31.0,59,20,34.0,24,18,75.0,26,10,36,21,3,15,31,7812
Kelly Lemezs,1,6,5,2,40.0,0,0,0.0,2,2,100.0,4,1,5,2,0,1,0,7812
Kirstie Dench,21,99,133,38,29.0,11,4,36.0,24,19,79.0,58,29,87,16,9,8,27,7812
Deanne Butler,21,253,264,98,37.0,91,29,32.0,40,28,70.0,42,17,59,67,3,31,68,7812
Tegan Fowler,21,175,149,67,45.0,17,5,29.0,45,36,80.0,80,28,108,16,21,8,36,7812
Andrea Walsh,20,141,166,53,32.0,26,5,19.0,54,30,56.0,59,34,93,29,0,27,37,7812
Sharin Milner,21,226,165,80,48.0,32,14,44.0,66,52,79.0,46,11,57,93,3,25,57,7812
Renay Bresnan,20,24,27,9,33.0,0,0,0.0,10,6,60.0,16,14,30,4,16,1,10,7812
Tarryn Thornton,8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Elaine Osenaris,16,2,2,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,1,7812
Hayley Todd,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Larissa Anderson,21,282,288,110,38.0,71,21,30.0,47,41,87.0,117,63,180,22,33,40,44,7812
Megan Thompson,19,38,44,14,32.0,1,0,0.0,15,10,67.0,16,7,23,23,4,9,42,7800
Melissa McClure,21,278,313,112,36.0,60,15,25.0,59,39,66.0,125,30,155,75,26,38,89,7800
Rohanee Cox,16,197,190,79,42.0,32,8,25.0,44,31,70.0,70,59,129,33,17,30,52,7800
Kim Morcom,21,135,139,49,35.0,46,17,37.0,27,20,74.0,44,23,67,47,6,32,89,7800
Tegan Walker,20,106,125,44,35.0,18,1,6.0,21,17,81.0,35,35,70,31,3,13,49,7800
Renee Mathews,12,53,53,20,38.0,2,0,0.0,14,13,93.0,24,12,36,5,2,5,13,7800
Melissa Marsh,19,141,168,51,30.0,67,15,22.0,34,24,71.0,49,13,62,34,1,11,60,7800
Kelli Hayward,12,25,30,9,30.0,18,3,17.0,4,4,100.0,8,5,13,3,1,3,7,7800
Danielle Ramsay,16,15,16,6,38.0,2,0,0.0,6,3,50.0,8,9,17,6,5,0,21,7800
Nicole Ireland,11,15,28,5,18.0,21,4,19.0,2,1,50.0,8,1,9,2,0,0,6,7800
Jennifer Crouse,21,325,287,137,48.0,0,0,0.0,72,51,71.0,139,82,221,32,89,13,63,7800
Natalie Love,10,3,6,1,17.0,0,0,0.0,2,1,50.0,6,3,9,0,4,2,2,7800
Casey Milhovilovich,3,0,1,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,7800
Tracey Richter,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,7800
Carli Boyanich,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7800
Hollie Florance,21,299,301,117,39.0,11,3,27.0,90,62,69.0,152,70,222,31,31,8,55,7814
Katie Davis,21,220,245,90,37.0,71,23,32.0,23,17,74.0,71,20,91,52,11,14,63,7814
Eleanor Haring,21,64,68,27,40.0,24,6,25.0,6,4,67.0,24,14,38,26,4,1,26,7814
Emma McDonald,20,75,66,23,35.0,2,1,50.0,33,28,85.0,18,11,29,14,9,4,26,7814
Lauren King,17,118,130,45,35.0,70,21,30.0,11,7,64.0,46,9,55,29,10,6,34,7814
Georgia Woodyard,6,47,40,19,48.0,0,0,0.0,14,9,64.0,19,15,34,7,7,5,14,7814
Hanna Zavecz,18,39,39,16,41.0,10,2,20.0,12,5,42.0,15,10,25,14,5,4,16,7814
Jenah Piwanski,17,36,51,12,24.0,15,2,13.0,12,10,83.0,13,7,20,17,1,4,22,7814
Eva Afeaki,14,40,55,13,24.0,19,4,21.0,20,10,50.0,24,11,35,9,6,7,36,7814
Gabrielle Richards,21,128,103,53,51.0,1,0,0.0,44,22,50.0,63,26,89,15,9,6,32,7814
Zoe Carr,21,85,97,36,37.0,11,3,27.0,14,10,71.0,48,31,79,24,6,9,22,7814
Kelly Wilson,18,162,168,62,37.0,42,12,29.0,34,26,76.0,58,21,79,47,9,24,46,7814
