Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Alison Schwagmeyer-Belger,1,10,13,3,23.1,4,0,0.0,6,4,66.7,0,1,1,1,0,2,2,13819
Kayla Steindl,23,260,229,99,43.2,90,29,32.2,37,33,89.2,59,34,93,19,10,25,24,13819
Natalie Burton,22,84,83,37,44.6,0,0,0.0,22,10,45.5,39,42,81,16,10,15,12,13819
Alice Kunek,23,322,289,112,38.8,141,52,36.9,58,46,79.3,62,35,97,36,3,21,39,13819
Olivia Thompson,23,79,84,34,40.5,1,0,0.0,18,11,61.1,42,23,65,12,3,5,20,13819
Sami Whitcomb,23,396,321,128,39.9,181,68,37.6,91,72,79.1,89,33,122,100,2,59,70,13819
Alex Ciabattoni,23,135,108,49,45.4,43,17,39.5,28,20,71.4,32,20,52,37,7,20,24,13819
Mikayla Pirini,8,9,16,3,18.8,9,2,22.2,1,1,100.0,4,0,4,2,1,3,4,13819
Tahlia Fejo,5,6,9,3,33.3,4,0,0.0,0,0,0.0,0,2,2,0,1,4,5,13819
AMANDA DOWE,22,51,49,21,42.9,1,0,0.0,11,9,81.8,62,64,126,23,8,19,21,13819
Courtney Williams,22,468,448,211,47.1,54,18,33.3,35,28,80.0,105,46,151,87,18,48,60,13819
Georgia Denehey,4,1,2,0,0.0,0,0,0.0,2,1,50.0,0,0,0,1,0,1,0,13819
Isabelle Miotti,4,2,1,1,100.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,2,13819
Antonia Farnworth,12,56,76,23,30.3,35,10,28.6,0,0,0.0,20,18,38,17,2,11,10,13819
Alex Wilson,23,279,273,103,37.7,150,52,34.7,31,21,67.7,75,21,96,69,10,20,36,13822
Belinda Snell,22,289,237,99,41.8,150,58,38.7,41,33,80.5,112,19,131,118,12,33,56,13822
Sarah Graham,22,95,71,32,45.1,49,20,40.8,11,11,100.0,13,5,18,11,0,4,12,13822
Hayley Moffatt,19,16,31,6,19.4,6,1,16.7,4,3,75.0,18,9,27,11,1,3,10,13822
Shanae Greaves,23,39,45,14,31.1,1,0,0.0,14,11,78.6,24,24,48,11,0,8,15,13822
Lara McSpadden,4,4,2,1,50.0,0,0,0.0,2,2,100.0,2,0,2,0,0,0,0,13822
Jennifer Hamson,23,294,237,130,54.9,0,0,0.0,56,34,60.7,139,86,225,7,59,13,29,13822
Carly Boag,22,99,76,39,51.3,20,10,50.0,13,11,84.6,38,26,64,12,4,23,18,13822
Cassidy McLean,6,0,1,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,2,4,13822
Asia Taylor,21,396,333,140,42.0,27,5,18.5,141,111,78.7,98,64,162,50,4,25,58,13822
Susannah Walmsley,16,15,26,5,19.2,20,4,20.0,2,1,50.0,16,6,22,9,0,3,13,13822
Natalia Beaumont,1,14,11,4,36.4,2,1,50.0,6,5,83.3,1,0,1,5,0,2,3,13822
Tahlia Tupaea,1,3,5,1,20.0,1,0,0.0,2,1,50.0,0,1,1,0,0,0,0,13822
Katie Ebzery,22,288,257,98,38.1,68,21,30.9,79,71,89.9,61,16,77,111,3,34,53,13822
Darcee Garbin,26,250,178,93,52.2,48,19,39.6,59,45,76.3,58,53,111,30,6,16,30,13818
Suzy Batkovic,26,530,471,211,44.8,22,4,18.2,124,104,83.9,205,69,274,69,29,38,80,13818
Mia Murray,25,199,187,76,40.6,94,34,36.2,24,13,54.2,63,10,73,44,14,16,30,13818
Mikhaela Cann,26,76,80,26,32.5,17,2,11.8,27,22,81.5,37,13,50,73,3,16,48,13818
Micaela Cocks,26,150,134,54,40.3,83,30,36.1,15,12,80.0,27,23,50,40,1,17,17,13818
Haylee Andrews,5,6,11,2,18.2,5,0,0.0,2,2,100.0,1,2,3,0,0,0,3,13818
Sydney Wiese,24,180,161,67,41.6,102,35,34.3,12,11,91.7,29,13,42,54,7,18,23,13818
Zitina Aokuso,15,41,41,15,36.6,1,0,0.0,24,11,45.8,22,10,32,5,3,0,6,13818
Miela Goodchild,2,3,2,1,50.0,1,1,100.0,0,0,0.0,2,0,2,0,0,1,1,13818
Laurin Mincy,26,178,157,71,45.2,41,15,36.6,23,21,91.3,42,16,58,53,3,18,34,13818
Cayla George,26,274,267,117,43.8,73,22,30.1,25,18,72.0,188,56,244,59,30,23,31,13818
Kelly Wilson,25,139,125,49,39.2,47,15,31.9,30,26,86.7,63,19,82,118,1,32,50,13818
