Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Jenny Whittle,24,383,323,144,44.6,32,8,25.0,111,87,78.4,173,44,217,44,44,10,61,7818
Tully Bevilaqua,24,147,136,47,34.6,69,19,27.5,56,34,60.7,69,20,89,80,3,56,48,7818
Lauren Jackson,9,216,173,85,49.1,18,6,33.3,60,40,66.7,60,36,96,13,12,7,11,7818
Kellie Abrams,23,234,221,87,39.4,76,30,39.5,52,30,57.7,46,29,75,60,9,23,62,7818
Eleanor Sharp,23,171,168,62,36.9,33,8,24.2,50,39,78.0,47,25,72,64,2,21,57,7818
Natalie Hurst,20,46,40,14,35.0,14,6,42.9,15,12,80.0,24,10,34,21,0,7,16,7818
Peta Sinclair,18,19,25,8,32.0,5,1,20.0,4,2,50.0,15,3,18,5,1,2,5,7818
NERRIDA COOPER,14,11,11,4,36.4,1,0,0.0,4,3,75.0,11,6,17,5,2,3,6,7818
Kylie Langi (nee Gwyther),18,19,20,6,30.0,0,0,0.0,10,7,70.0,19,19,38,6,1,9,7,7818
Angela Marino,24,111,112,35,31.3,48,17,35.4,33,24,72.7,15,10,25,20,0,14,23,7818
Alana Beard,8,215,170,78,46.0,40,14,35.0,61,45,74.0,59,12,71,25,4,24,30,7818
Tracey Peacock,24,163,130,75,57.7,0,0,0.0,47,13,27.7,111,36,147,17,45,7,51,7818
Emily McInerny,23,107,119,39,32.8,57,18,31.6,17,11,64.7,97,29,126,88,20,45,58,7813
Jessica Bibby,8,26,19,7,36.8,10,5,50.0,8,7,87.5,2,2,4,2,0,0,5,7813
Carly Wilson,22,340,295,135,45.8,69,22,31.9,68,48,70.6,61,20,81,32,27,18,30,7813
Samantha Richards,20,126,119,46,38.7,28,4,14.3,36,30,83.3,45,11,56,38,11,28,31,7813
Jacinta Kennedy,23,371,294,151,51.4,20,8,40.0,82,61,74.4,105,81,186,29,29,26,61,7813
Caitlin Ryan,23,148,158,50,31.6,97,22,22.7,43,26,60.5,41,3,44,42,2,19,46,7813
Alison Downie,22,79,98,26,26.5,20,3,15.0,29,24,82.8,24,31,55,17,6,10,12,7813
Emma McDonald,23,229,201,85,42.3,19,8,42.1,64,51,79.7,107,38,145,29,13,12,41,7813
Demelza Waixel,3,5,3,1,33.3,0,0,0.0,4,3,75.0,5,0,5,1,0,0,0,7813
Kathleen Macleod,23,172,132,51,38.6,54,21,38.9,57,49,86.0,29,19,48,40,4,9,39,7813
Emma Andrews,13,13,12,4,33.3,6,2,33.3,4,3,75.0,1,3,4,1,0,2,3,7813
Margot Phan,6,9,4,1,25.0,0,0,0.0,8,7,87.5,0,2,2,1,0,1,1,7813
Natasha Main,5,2,2,1,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Jenna O&#039;Hea,22,101,91,36,39.6,40,13,32.5,22,16,72.7,41,16,57,22,7,10,25,7813
Samantha Woosnam,18,107,98,40,40.8,27,12,44.4,21,15,71.4,50,12,62,38,3,13,29,7810
Deanne Ranford,23,160,177,57,32.2,61,19,31.1,43,27,62.8,46,13,59,36,1,14,36,7810
Jennifer Screen,22,336,272,119,43.8,115,48,41.7,67,50,74.6,83,24,107,76,5,22,53,7810
Laura Hodges,21,318,263,125,47.5,26,5,19.2,106,63,59.4,114,65,179,42,25,11,35,7810
Melissa Marsh,23,108,120,42,35.0,37,8,21.6,24,16,66.7,33,11,44,32,3,11,25,7810
Cherie Gallagher,22,150,140,60,42.9,45,16,35.6,18,14,77.8,61,16,77,28,11,13,19,7810
Erin Seward,8,5,7,2,28.6,2,1,50.0,0,0,0.0,5,0,5,2,0,1,6,7810
