Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Capitals,18,6,75,,1778,1623,11,2,7,4,7818
2,,Lightning,14,9,60,,1437,1349,7,4,7,5,7810
3,,Boomers,12,11,52,,1532,1494,7,4,5,7,7812
4,,Waves,11,11,50,,1394,1361,6,6,5,5,7800
5,,Rangers,11,10,52,,1416,1454,5,5,6,5,7813
6,,Flames,10,11,47,,1322,1264,6,4,4,7,7811
7,,Telstars,10,11,47,,1422,1387,4,6,6,5,7801
8,,AIS,2,19,9,,1178,1547,1,10,1,9,7814
