Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Ellianne Dalnilidis,24,14,15,6,40.0,7,2,29.0,0,0,0.0,9,1,10,4,0,0,5,7811
Alison McIlveen,8,2,5,1,20.0,0,0,0.0,2,0,0.0,1,0,1,1,0,0,1,7811
Annie Burgess,24,345,352,130,37.0,57,14,25.0,95,71,75.0,99,40,139,156,3,34,91,7811
Leanne Dalton,18,32,41,14,34.0,15,2,13.0,3,2,67.0,17,14,31,3,4,6,3,7811
Simone Scovell,2,0,2,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,1,0,7811
Brook McInnes,24,21,36,9,25.0,2,0,0.0,16,3,19.0,23,22,45,4,2,1,10,7811
Rhonda Corkeron,24,224,201,82,41.0,5,1,20.0,93,59,63.0,108,100,208,37,37,47,48,7811
Suzy Batkovic,23,357,360,145,40.0,33,10,30.0,90,57,63.0,119,69,188,30,21,20,51,7811
Belinda Snell,24,394,345,139,40.0,160,61,38.0,66,55,83.0,108,74,182,67,16,26,61,7811
Alison O'Dwyer,23,238,234,98,42.0,4,1,25.0,76,41,54.0,99,53,152,9,14,9,81,7811
Simone Ball (Culber),21,30,24,10,42.0,3,2,67.0,9,8,89.0,5,8,13,4,0,4,7,7811
Natalie Stafford,23,288,233,107,46.0,66,23,35.0,64,51,80.0,36,44,80,35,4,28,39,7811
Shelley Sandie,22,369,339,134,39.5,51,14,27.5,102,87,85.3,105,21,126,62,4,25,81,7818
Lucille Bailie,23,279,250,128,51.2,4,1,25.0,30,22,73.3,104,49,153,33,6,19,52,7818
Kate Paterson,17,15,32,6,18.8,12,1,8.3,3,2,66.7,8,10,18,4,0,5,8,7818
Kellie Abrams,13,40,38,15,39.5,13,2,15.4,10,8,80.0,14,12,26,11,5,8,12,7818
Gemma Sutherland,22,34,35,13,37.1,0,0,0.0,12,8,66.7,34,21,55,8,7,3,12,7818
Lauren Jackson,22,476,357,173,48.5,42,17,40.5,142,113,79.6,235,79,314,18,97,16,50,7818
Kristen Veal,23,266,266,104,39.1,93,30,32.3,34,28,82.4,101,47,148,114,13,33,81,7818
Eleanor Sharp,23,264,219,105,47.9,37,16,43.2,55,38,69.1,48,41,89,66,6,36,59,7818
Sarah Berry,14,2,8,1,12.5,0,0,0.0,0,0,0.0,2,5,7,0,0,1,2,7818
Natalie Hurst,23,22,38,8,21.1,14,2,14.3,6,4,66.7,13,8,21,22,1,2,25,7818
Yvonne Christiansen,9,4,4,2,50.0,0,0,0.0,0,0,0.0,3,0,3,0,0,0,5,7818
Tania Baxter,23,83,106,31,29.2,56,10,17.9,13,11,84.6,9,7,16,16,1,11,21,7813
Jo Myers,21,161,156,58,37.0,54,20,37.0,36,25,69.0,64,27,91,62,6,31,56,7813
Penny Taylor,23,573,467,222,47.5,70,20,28.6,146,109,74.7,175,61,236,67,21,57,84,7813
Emily McInerny,23,61,85,23,27.1,46,8,17.4,12,7,58.3,114,37,151,81,16,31,71,7813
Katrina Hibbert,4,19,28,8,28.6,10,3,30.0,0,0,0.0,8,3,11,3,0,1,5,7813
Jessica Bibby,23,323,303,119,39.3,109,35,32.1,62,50,80.6,16,11,27,34,1,15,49,7813
Allie Douglas,23,309,237,128,54.0,0,0,0.0,119,53,44.5,139,104,243,34,11,21,80,7813
Deanne Butler,23,51,42,18,42.9,7,3,42.9,16,12,75.0,21,10,31,17,0,13,27,7813
Ngozi Emeagi,9,19,16,8,50.0,0,0,0.0,4,3,75.0,5,5,10,4,3,1,6,7813
Marita Payne,23,148,151,67,44.4,0,0,0.0,32,14,43.8,60,36,96,6,49,2,22,7813
Alison Downie,8,0,2,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,7813
Michelle Cosier,21,20,26,8,30.8,8,0,0.0,6,4,66.7,6,4,10,1,1,3,8,7813
Faith Probst,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Rachael Sporn,22,326,344,138,40.1,0,0,0.0,95,50,52.6,143,76,219,67,25,24,78,7810
Carla Boyd,19,230,209,87,41.6,35,12,34.3,56,44,78.6,91,49,140,71,12,24,39,7810
Jae Kingi,20,297,227,106,47.0,71,30,42.0,74,55,74.0,88,33,121,61,7,40,56,7810
Tammy Hoare,22,206,203,90,44.3,0,0,0.0,43,26,60.5,83,38,121,29,17,22,46,7810
Narelle Lindsay,22,139,151,47,31.1,59,14,23.7,45,31,68.9,52,20,72,35,3,32,35,7810
Deanna Black,22,282,244,105,43.0,71,28,39.4,59,44,74.6,47,44,91,48,9,17,60,7810
Sarah Nobbs,11,6,6,2,33.3,2,0,0.0,6,2,33.3,5,5,10,1,1,1,1,7810
Monique Bowley,18,5,6,2,33.3,1,0,0.0,2,1,50.0,6,4,10,0,0,0,3,7810
Caroline Nixon,8,2,4,1,25.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,7810
Amy Charlick,18,18,25,8,32.0,0,0,0.0,7,2,28.6,12,9,21,1,2,4,8,7810
Kamala Lamshed,2,10,4,4,100.0,2,2,100.0,0,0,0.0,0,0,0,0,0,1,0,7810
Rachael McCully,6,4,2,2,100.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,1,7810
Tracey Peacock,22,107,103,41,39.8,0,0,0.0,40,25,62.5,67,38,105,13,27,8,42,7810
Carly Wilson,21,181,185,73,39.0,68,21,31.0,18,14,78.0,49,30,79,35,24,14,30,7814
Jacinta Kennedy,18,99,111,42,38.0,1,0,0.0,25,15,60.0,50,35,85,19,12,9,22,7814
Deanne Ranford,21,48,58,18,31.0,15,3,20.0,17,9,53.0,17,9,26,38,3,7,44,7814
Briana Maimone,16,38,35,13,37.0,17,6,35.0,8,6,75.0,10,8,18,23,2,3,14,7814
Shelley Burston,18,267,240,100,42.0,22,5,23.0,89,62,70.0,103,55,158,30,11,8,45,7814
Jessica Mahony,21,164,178,57,32.0,54,20,37.0,46,30,65.0,60,18,78,76,3,15,77,7814
Jennifer Screen,15,71,47,21,45.0,27,14,52.0,20,15,75.0,36,11,47,15,2,3,28,7814
Kate Smith,10,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,1,2,7814
Jessica Foley,19,76,79,29,37.0,30,6,20.0,15,12,80.0,31,10,41,14,5,5,34,7814
Laura Hodges,21,288,270,112,41.0,33,6,18.0,73,58,79.0,82,45,127,34,16,18,47,7814
Nicole Carr,21,94,92,34,37.0,56,18,32.0,10,8,80.0,28,5,33,15,6,11,29,7814
Peta Sinclair,11,12,17,5,29.0,4,1,25.0,1,1,100.0,3,2,5,1,1,1,5,7814
