Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Trudie Hopgood,19,105,96,46,47.9,1,0,0.0,17,13,76.5,28,8,36,36,5,14,27,7810
Michelle Brogan,20,204,167,80,47.9,19,6,31.6,56,38,67.9,104,44,148,84,10,38,45,7810
Debbie Copley,6,16,12,7,58.3,0,0,0.0,4,2,50.0,5,0,5,1,1,2,2,7810
Rachael Sporn,20,376,298,168,56.4,0,0,0.0,75,40,53.3,95,56,151,30,14,31,42,7810
Marina Moffa,21,101,121,39,32.2,22,3,13.6,31,20,64.5,57,25,82,41,3,16,26,7810
Jo Hill,21,261,217,108,49.8,10,1,10.0,61,44,72.1,45,28,73,44,2,38,50,7810
Cherie Hogg,18,43,40,12,30.0,12,3,25.0,21,16,76.2,21,7,28,26,2,13,24,7810
Carla Boyd,20,244,206,97,47.1,26,11,42.3,52,39,75.0,79,35,114,54,13,43,49,7810
Simone Scovell,16,7,16,3,18.8,0,0,0.0,2,1,50.0,5,5,10,0,0,3,7,7810
Jae Kingi,18,136,125,46,36.8,38,13,34.2,46,31,67.4,48,27,75,38,6,26,49,7810
Leanne Reid,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7810
Tania Dhu,21,30,31,13,41.9,5,3,60.0,6,1,16.7,12,13,25,9,1,14,12,7810
Michelle Fenton,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7810
Gail Henderson,20,37,37,15,40.5,1,0,0.0,9,7,77.8,17,10,27,11,2,6,16,7811
Shelley Sandie,19,329,268,126,47.0,48,20,41.7,67,57,85.1,83,23,106,27,7,25,50,7811
MICHELE TIMMS,17,307,240,106,44.2,117,51,43.6,50,44,88.0,70,11,81,79,3,43,59,7811
Trish Fallon,19,329,241,137,56.8,10,6,60.0,70,49,70.0,73,52,125,29,18,16,43,7811
Annie Burgess,20,104,99,34,34.3,21,8,38.1,33,28,84.8,36,15,51,48,5,17,45,7811
Kara Ward,18,29,34,8,23.5,25,4,16.0,13,9,69.2,12,3,15,14,0,3,8,7811
Robyn Maher,19,125,122,47,38.5,18,4,22.2,40,27,67.5,61,30,91,75,8,40,64,7811
Rhonda Corkeron,18,144,120,62,51.7,0,0,0.0,41,20,48.8,74,45,119,14,16,23,25,7811
Emily McInerny,16,36,34,14,41.2,6,1,16.7,8,7,87.5,14,13,27,6,0,4,12,7811
Renee Van Egmond,1,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,7811
Amy Cruickshank,3,3,2,1,50.0,2,1,50.0,0,0,0.0,1,0,1,0,0,0,0,7811
Belinda Coles,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7811
Frances Peters,7,2,6,1,16.7,1,0,0.0,0,0,0.0,2,0,2,0,0,0,2,7811
Karen Dalton,20,108,102,43,42.2,0,0,0.0,28,22,78.6,64,33,97,21,5,19,23,7811
Maryanne Briggs,10,108,113,47,41.6,0,0,0.0,21,14,66.7,38,17,55,24,11,12,26,7800
Natasha Bargeus,7,69,51,27,53.0,0,0,0.0,19,15,79.0,16,10,26,17,1,5,15,7800
Lisa MacLean,21,250,231,88,38.1,141,44,31.2,39,30,76.9,60,33,93,48,4,30,32,7800
Tully Bevilaqua,21,196,159,61,38.4,60,15,25.0,86,59,68.6,83,25,108,71,2,72,39,7800
NARELLE HENRY,17,116,101,45,44.6,47,18,38.3,11,8,72.7,28,6,34,29,2,18,36,7800
Jodie Datson,20,37,28,11,39.3,4,2,50.0,17,13,76.5,17,6,23,10,0,8,15,7800
Melissa McClure,21,161,115,57,49.6,9,1,11.1,59,46,78.0,80,35,115,45,6,35,50,7800
Gina Stevens,21,460,361,174,48.2,73,24,32.9,101,88,87.1,49,38,87,36,4,35,55,7800
Tanya Fisher,21,80,90,36,40.0,1,0,0.0,23,8,34.8,29,33,62,27,3,15,25,7800
Shelley Boston,5,3,1,0,0.0,1,0,0.0,4,3,75.0,1,1,2,0,0,0,0,7800
Megan Clarke,21,58,60,24,40.0,2,1,50.0,12,9,75.0,30,21,51,14,2,6,31,7800
Brook Hiddlestone,18,25,24,9,37.5,0,0,0.0,8,7,87.5,28,11,39,5,0,8,8,7800
Kim Morcom,5,3,2,1,50.0,0,0,0.0,2,1,50.0,0,0,0,1,0,0,0,7800
Kate Cohen,17,114,119,46,38.7,44,14,31.8,13,8,61.5,19,10,29,31,2,10,23,7812
Kristy Baker,19,135,117,51,43.6,65,25,38.5,10,8,80.0,20,2,22,30,0,10,22,7812
Jo Metcalfe,19,287,227,109,48.0,65,27,41.5,54,42,77.8,94,26,120,72,18,31,62,7812
Linda Brandt,19,96,83,39,47.0,5,2,40.0,26,16,61.5,20,9,29,29,2,13,25,7812
Debbie Slimmon,19,275,240,108,45.0,1,0,0.0,89,59,66.3,103,62,165,38,8,17,35,7812
Raquel Connell,16,10,17,3,17.6,0,0,0.0,7,4,57.1,5,4,9,0,2,4,8,7812
Michelle Cleary,17,163,147,56,38.1,51,20,39.2,34,31,91.2,40,20,60,60,8,29,27,7812
Alison Bogle,19,25,39,9,23.1,0,0,0.0,12,7,58.3,6,11,17,13,2,6,12,7812
Gaylene McKay,19,174,155,75,48.4,4,0,0.0,30,24,80.0,52,19,71,34,5,9,44,7812
Bilijana Popovska,11,3,7,1,14.0,0,0,0.0,4,1,25.0,4,2,6,0,1,0,0,7812
Sharon Grieve,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Monica Bello,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Nerida Jeffrey,19,176,157,70,44.6,20,5,25.0,47,31,66.0,41,18,59,32,4,7,45,7815
Jackie Lear,17,128,123,52,42.3,8,2,25.0,36,22,61.1,39,22,61,42,0,26,39,7815
Jenny Whittle,18,321,247,132,53.4,31,7,22.6,69,50,72.5,163,38,201,41,71,10,55,7815
Sandy Brondello,10,175,121,68,56.2,2,1,50.0,43,38,88.4,29,4,33,48,0,12,28,7815
Janie Fitzgerald,19,142,108,53,49.1,16,4,25.0,49,32,65.3,41,8,49,43,4,16,51,7815
Belinda Van Der Ploeg,2,0,3,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,7815
Sally Barney,13,56,42,26,61.9,0,0,0.0,10,4,40.0,23,12,35,11,5,5,14,7815
Jenny Gardiner,19,160,138,65,47.1,29,8,27.6,30,22,73.3,42,23,65,33,2,15,42,7815
Leisa Renouf,16,59,44,22,50.0,3,1,33.3,19,14,73.7,21,9,30,8,2,7,13,7815
Michelle Eames,8,7,13,3,23.1,4,0,0.0,5,1,20.0,5,3,8,3,3,1,4,7815
Nicole Morrice,7,7,5,3,60.0,2,1,50.0,0,0,0.0,0,0,0,1,0,2,5,7815
Peta Lankester,9,7,15,3,20.0,10,1,10.0,0,0,0.0,3,1,4,2,0,2,9,7815
Simone Thompson,3,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,7815
Sophie Von Saldern,19,237,166,93,56.0,1,0,0.0,67,51,76.1,71,38,109,19,11,17,61,7815
Samantha Thornton,16,145,161,52,32.3,12,2,16.7,48,39,81.3,81,25,106,22,16,27,37,7813
Lucille Bailie,18,267,250,118,47.2,5,1,20.0,43,30,69.8,78,55,133,20,9,20,34,7813
Sally Phillips,18,196,158,75,47.5,43,10,23.3,47,36,76.6,32,15,47,44,2,33,57,7813
ALLISON TRANQUILLI,18,309,256,114,44.5,41,13,31.7,74,68,91.9,58,34,92,60,4,38,63,7813
Kerryn Henderson,18,153,140,63,45.0,8,5,62.5,26,22,84.6,44,31,75,28,0,7,29,7813
Vicki Daldy,17,69,68,22,32.4,21,4,19.0,25,21,84.0,17,1,18,29,1,18,23,7813
