Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Lightning,17,4,80,"W
W
L
W
W",1488,1259,10,1,7,3,7810
2,,Rangers,16,5,76,"W
L
W
W
W",1646,1424,8,2,8,3,7813
3,,Capitals,15,6,71,"W
W
W
W
L",1581,1408,8,3,7,3,7818
4,,Flames,13,8,61,"W
L
W
L
L",1599,1523,7,3,6,5,7811
5,,AIS,11,10,52,"L
L
W
W
W",1505,1551,5,5,6,5,7814
6,,Boomers,6,15,28,"W
L
L
L
W",1417,1554,4,6,2,9,7812
7,,Waves,3,18,14,"L
L
L
L
L",1280,1644,2,9,1,9,7800
8,,Fire,3,18,14,"L
L
L
L
L",1533,1686,2,9,1,9,7817
