Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Capitals,19,3,86,,1804,1498,11,0,8,3,7818
2,,Boomers,17,5,77,,1747,1572,10,1,7,4,7812
3,,Fire,16,6,72,,1716,1416,11,0,5,6,7817
4,,Lightning,15,7,68,,1790,1625,10,1,5,6,7810
5,,Spirit,14,8,63,,1689,1611,9,2,5,6,7824
6,,Flames,9,13,40,,1600,1657,6,5,3,8,7811
7,,Rangers,7,15,31,,1466,1434,4,7,3,8,7813
8,,Logan Thunder,7,15,31,,1486,1586,4,7,3,8,7825
9,,Waves,4,18,18,,1567,2069,4,7,0,11,7800
10,,AIS,2,20,9,,1364,1761,2,9,0,11,7814
