Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Kelsey Griffin,26,364,308,139,45.1,48,16,33.3,99,70,70.7,139,100,239,42,26,31,60,7824
Madeleine Garrick,24,95,76,36,47.4,29,13,44.8,10,10,100.0,23,6,29,10,3,2,15,7824
KRISTI HARROWER,25,230,221,81,36.7,73,23,31.5,58,45,77.6,78,24,102,203,3,16,63,7824
Gabrielle Richards,24,335,264,126,47.7,4,1,25.0,115,82,71.3,136,93,229,31,12,12,48,7824
Elyse Penaluna,21,228,189,94,49.7,8,0,0.0,57,40,70.2,60,49,109,13,18,11,34,7824
Jane Chalmers,21,32,31,11,35.5,5,3,60.0,9,7,77.8,12,3,15,13,0,4,8,7824
Andrea Wilson,4,0,2,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,1,7824
Chantella Perera,22,42,34,9,26.5,7,1,14.3,25,23,92.0,3,7,10,12,1,5,6,7824
Chelsea Aubry,26,194,153,73,47.7,80,35,43.8,15,13,86.7,66,33,99,25,3,4,17,7824
Tessa Lavey,17,25,26,9,34.6,13,5,38.5,2,2,100.0,10,3,13,7,0,3,12,7824
Sara Blicavs,26,234,214,93,43.5,22,8,36.4,51,40,78.4,63,33,96,14,9,26,35,7824
Heather OLIVER,25,48,41,19,46.3,13,5,38.5,6,5,83.3,15,13,28,11,2,3,12,7824
Ebony Antonio,2,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7824
Kelly Wilson,23,222,182,78,42.9,73,31,42.5,47,35,74.5,56,20,76,92,1,22,51,7824
Alison Downie,26,45,69,19,27.5,6,1,16.7,7,6,85.7,38,28,66,21,10,17,12,7813
Rebecca Mercer,4,12,7,5,71.4,3,2,66.7,0,0,0.0,1,0,1,1,1,1,1,7813
Clare Papavs,7,7,4,2,50.0,3,2,66.7,2,1,50.0,1,2,3,2,1,1,3,7813
Alice Kunek,26,414,303,146,48.2,98,40,40.8,91,82,90.1,75,32,107,23,6,14,44,7813
Rosie Moult,25,45,82,18,22.0,48,8,16.7,2,1,50.0,24,13,37,13,3,6,5,7813
Leilani Mitchell,26,310,249,108,43.4,112,46,41.1,56,48,85.7,92,23,115,141,2,38,70,7813
Brigitte Ardossi,26,161,141,60,42.6,4,0,0.0,52,41,78.8,62,40,102,24,8,13,30,7813
Lauren Scherf,15,37,34,15,44.1,1,0,0.0,9,7,77.8,14,3,17,4,3,0,8,7813
Natalie Novosel,26,257,199,99,49.7,12,3,25.0,74,56,75.7,55,38,93,53,8,43,43,7813
Rachel Antoniadou,3,5,2,1,50.0,1,1,100.0,2,2,100.0,1,0,1,1,0,0,0,7813
Kayla Pedersen,26,297,232,121,52.2,1,0,0.0,70,55,78.6,148,67,215,36,21,19,55,7813
Chloe Bibby,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Aimie Clydesdale,19,52,62,24,38.7,9,0,0.0,10,4,40.0,12,11,23,10,2,7,15,7813
Jenna O&#039;Hea,24,496,384,177,46.1,129,53,41.1,115,89,77.4,116,18,134,104,13,22,63,7813
Alex Wilson,27,115,108,41,38.0,28,6,21.4,41,27,65.9,45,20,65,17,4,5,36,7817
Alicia Froling,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7817
Suzy Batkovic,27,549,476,202,42.4,71,17,23.9,157,128,81.5,256,91,347,57,47,42,69,7817
Rachael McCully,25,214,165,72,43.6,21,8,38.1,70,62,88.6,68,23,91,122,1,19,38,7817
Mia Murray,27,223,185,89,48.1,77,31,40.3,15,14,93.3,61,24,85,51,10,14,36,7817
Kayla Steindl,27,262,221,111,50.2,18,7,38.9,38,33,86.8,74,54,128,33,16,18,49,7817
Olivia Thompson,20,65,59,27,45.8,0,0,0.0,14,11,78.6,39,15,54,7,4,6,12,7817
Rosie FADLJEVIC,27,53,67,26,38.8,2,0,0.0,3,1,33.3,26,22,48,9,0,5,21,7817
Micaela Cocks,27,284,265,107,40.4,96,37,38.5,45,33,73.3,70,19,89,57,1,15,42,7817
Emma McKenzie,4,2,3,1,33.3,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,7817
Keely Froling,3,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,7817
HAYLEY MUNRO,25,93,82,32,39.0,22,5,22.7,27,24,88.9,60,32,92,39,6,16,16,7801
Amelia Todhunter,25,133,138,53,38.4,70,18,25.7,16,9,56.3,48,24,72,34,0,26,30,7801
Rachel Jarry,3,24,25,7,28.0,7,3,43.0,10,7,70.0,20,4,24,4,0,2,9,7801
Tess Madgen,25,386,344,142,41.3,105,35,33.3,83,67,80.7,101,21,122,94,6,20,68,7801
Rebecca Allen,25,330,330,132,40.0,88,27,30.7,47,39,83.0,118,45,163,52,42,45,66,7801
Nicole Romeo,25,126,117,42,35.9,62,20,32.3,31,22,71.0,32,12,44,35,3,8,25,7801
Stephanie Collins,6,10,12,5,41.7,0,0,0.0,0,0,0.0,5,1,6,0,1,0,6,7801
Shanae Greaves,21,47,51,20,39.2,0,0,0.0,12,7,58.3,14,18,32,7,1,1,10,7801
Amber Hegge,24,100,84,42,50.0,4,0,0.0,27,16,59.3,47,37,84,30,16,16,26,7801
Chelsea Poppens,18,260,232,100,43.1,7,1,14.3,80,59,73.8,81,51,132,20,13,26,56,7801
Rachel Jarry,3,24,25,7,28.0,7,3,42.9,10,7,70.0,20,4,24,4,0,2,9,7801
Rebecca Cole,25,198,177,73,41.2,50,13,26.0,48,39,81.3,41,17,58,43,4,29,41,7801
Lauren Mansfield,24,80,73,28,38.4,30,11,36.7,20,13,65.0,25,13,38,16,1,11,24,7810
Jo Hill,16,79,60,28,46.7,4,1,25.0,28,22,78.6,30,15,45,8,2,14,16,7810
Chalysa Shegog,13,135,127,58,45.7,0,0,0.0,35,19,54.3,52,29,81,18,14,5,30,7810
Jennifer Screen,22,187,170,70,41.2,76,28,36.8,24,19,79.2,92,32,124,68,1,18,53,7810
Jessica Foley,19,223,197,80,40.6,67,27,40.3,42,36,85.7,58,21,79,46,11,19,35,7810
Laura Hodges,23,410,292,169,57.9,10,4,40.0,111,68,61.3,109,68,177,46,11,11,46,7810
Angela Marino,24,245,211,67,31.8,116,34,29.3,98,77,78.6,66,13,79,81,0,12,41,7810
Kristy Rinaldi,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7810
Amy Lewis,20,104,116,40,34.5,31,8,25.8,18,16,88.9,31,20,51,22,1,10,32,7810
Nadeen Payne,24,121,113,43,38.1,9,1,11.1,42,34,81.0,34,12,46,19,4,15,36,7810
Stephanie Talbot,15,75,71,28,39.4,10,1,10.0,27,18,66.7,45,23,68,49,3,14,26,7810
