Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Kelsey Griffin,26,511,403,204,50.6,74,24,32.4,108,79,73.1,213,106,319,72,25,44,38,7846
Abby Cubillo,7,1,3,0,0.0,2,0,0.0,2,1,50.0,1,1,2,1,0,0,2,7846
Keely Froling,26,123,100,45,45.0,18,6,33.3,40,27,67.5,46,29,75,14,9,5,16,7846
Marianna Tolo,16,206,156,89,57.1,2,1,50.0,40,27,67.5,55,32,87,33,23,9,22,7846
Leilani Mitchell,24,298,249,102,41.0,144,60,41.7,35,34,97.1,57,23,80,131,3,41,44,7846
Lauren Scherf,26,194,196,86,43.9,15,1,6.7,29,21,72.4,92,57,149,32,21,13,32,7846
Keely Froling,26,123,100,45,45.0,18,6,33.3,40,27,67.5,46,29,75,14,9,5,16,7846
Isabelle Bourne,1,0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7846
Maddison Rocci,26,139,129,45,34.9,46,15,32.6,41,34,82.9,32,14,46,51,2,21,34,7846
Kristy Wallace,2,4,3,1,33.3,1,1,100.0,2,1,50.0,1,1,2,2,0,2,1,7846
Hannah Young,12,2,6,1,16.7,2,0,0.0,0,0,0.0,4,2,6,0,0,1,1,7846
Kelly Wilson,26,208,201,80,39.8,67,21,31.3,31,27,87.1,87,31,118,161,9,37,62,7846
Elizajane Loader,8,0,5,0,0.0,4,0,0.0,0,0,0.0,0,1,1,0,0,1,2,7846
Kaili McLaren,22,66,57,26,45.6,11,4,36.4,12,10,83.3,25,8,33,12,8,7,9,7846
Kia Nurse,26,478,391,155,39.6,201,80,39.8,118,88,74.6,107,21,128,55,7,39,48,7846
Ashleigh Isenbarger,10,15,15,6,40.0,11,2,18.2,2,1,50.0,9,1,10,4,3,0,3,13823
Monique Conti,21,31,45,12,26.7,27,5,18.5,5,2,40.0,13,4,17,13,0,9,21,13823
Sarah Boothe,22,94,87,45,51.7,2,0,0.0,6,4,66.7,27,28,55,17,6,8,22,13823
Madeleine Garrick,20,229,204,83,40.7,123,46,37.4,20,17,85.0,54,12,66,32,3,22,37,13823
Eziyoda Magbegor,17,148,120,67,55.8,5,0,0.0,25,14,56.0,45,28,73,12,16,5,23,13823
Stephanie Talbot,21,262,211,95,45.0,106,39,36.8,35,33,94.3,70,22,92,56,15,24,53,13823
Chelsea D'Angelo,6,7,6,3,50.0,2,1,50.0,0,0,0.0,2,1,3,1,0,0,0,13823
Kalani Purcell,23,75,81,31,38.3,37,11,29.7,5,2,40.0,78,45,123,48,8,32,34,13823
Cayla George,22,275,281,114,40.6,62,19,30.6,31,28,90.3,146,49,195,60,24,23,47,13823
Lindsay Allen,23,418,324,166,51.2,93,30,32.3,65,56,86.2,76,14,90,121,6,27,57,13823
Jazmin Shelley,8,14,14,5,35.7,9,3,33.3,2,1,50.0,3,1,4,6,0,4,6,13823
Josephine Stockill,1,1,1,0,0.0,1,0,0.0,2,1,50.0,0,0,0,0,0,0,0,13823
Jenna O&#039;Hea,22,225,203,79,38.9,125,44,35.2,25,23,92.0,86,18,104,66,10,20,43,13823
Lauren Nicholson,26,346,260,126,48.5,95,42,44.2,58,52,89.7,65,38,103,53,2,30,33,118758
Nicole Seekamp,26,318,275,120,43.6,62,25,40.3,75,53,70.7,95,35,130,156,4,56,84,118758
Mikayla Pirini,11,4,7,1,14.3,5,0,0.0,2,2,100.0,4,2,6,5,0,1,6,118758
Colleen Planeta,26,205,200,81,40.5,53,15,28.3,38,28,73.7,84,27,111,33,12,9,25,118758
Chelsea Brook,9,10,8,4,50.0,2,0,0.0,2,2,100.0,2,2,4,2,1,2,1,118758
Stephanie Blicavs,24,242,234,85,36.3,122,47,38.5,29,25,86.2,70,17,87,75,11,18,22,118758
Aimie Clydesdale,23,128,138,44,31.9,73,24,32.9,22,16,72.7,24,8,32,54,0,25,28,118758
Nia Coffey,26,456,377,162,43.0,51,18,35.3,153,114,74.5,171,50,221,51,35,28,70,118758
Kayla Alexander,23,273,208,109,52.4,2,0,0.0,75,55,73.3,146,59,205,18,17,17,37,118758
Ashley Taia,18,33,36,12,33.3,27,6,22.2,7,3,42.9,13,5,18,4,1,2,6,118758
Penina Davidson,25,105,95,38,40.0,3,1,33.3,35,28,80.0,57,21,78,12,13,13,21,118758
Ruby Porter,5,0,5,0,0.0,2,0,0.0,0,0,0.0,1,1,2,0,0,0,1,118758
Alison Schwagmeyer-Belger,22,308,248,121,48.8,68,23,33.8,60,43,71.7,71,30,101,43,4,25,35,13819
Lauren Mansfield,21,141,138,52,37.7,68,27,39.7,11,10,90.9,33,11,44,48,0,21,31,13819
Kayla Steindl,23,196,192,69,35.9,109,37,33.9,25,21,84.0,88,38,126,28,15,28,25,13819
Asia Taylor,23,435,401,162,40.4,89,32,36.0,112,79,70.5,125,61,186,48,14,42,55,13819
Georgia Denehey,1,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,13819
Isabelle Miotti,3,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,13819
Ellie Collins,14,20,24,7,29.2,13,1,7.7,6,5,83.3,13,6,19,7,4,5,3,13819
Antonia Farnworth,23,115,150,44,29.3,64,14,21.9,16,13,81.3,40,25,65,44,6,17,14,13819
Maddison Allen,22,49,34,18,52.9,0,0,0.0,17,13,76.5,53,32,85,27,27,7,16,13819
Katie Ebzery,23,203,190,72,37.9,56,17,30.4,61,42,68.9,46,29,75,58,7,29,34,13819
Brittany McPhee,23,313,281,119,42.3,74,23,31.1,78,52,66.7,118,40,158,42,16,24,44,13819
Nes&#039;eya Williams,4,0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,1,0,13819
Shyla Heal,11,23,27,9,33.3,12,5,41.7,0,0,0.0,3,3,6,2,1,1,3,13819
Carley Ernst,21,192,171,72,42.1,69,23,33.3,32,25,78.1,57,16,73,17,10,9,34,13821
Sara Blicavs,6,28,33,9,27.3,11,2,18.2,11,8,72.7,14,4,18,1,0,3,9,13821
Rebecca Pizzey,11,8,11,4,36.4,1,0,0.0,0,0,0.0,3,6,9,2,2,3,4,13821
Stephanie Reid,4,0,3,0,0.0,0,0,0.0,0,0,0.0,2,0,2,3,0,1,2,13821
Amelia Todhunter,20,72,67,26,38.8,22,7,31.8,15,13,86.7,27,16,43,38,2,25,27,13821
Tayla Roberts,20,59,59,26,44.1,1,1,100.0,10,6,60.0,32,14,46,9,5,1,7,13821
Tessa Lavey,21,142,146,58,39.7,60,22,36.7,5,4,80.0,41,10,51,67,1,16,29,13821
Kayla Pedersen,18,175,145,71,49.0,3,0,0.0,43,33,76.7,75,44,119,24,5,17,28,13821
Betnijah Laney,20,281,259,107,41.3,38,11,28.9,73,56,76.7,97,40,137,87,4,21,73,13821
