Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Anneli Maley,25,58,66,24,36.4,20,3,15.0,14,7,50.0,60,33,93,12,5,8,14,118765
Rebecca Pizzey,12,11,21,5,23.8,9,1,11.1,2,0,0.0,5,9,14,3,2,2,2,118765
Stephanie Reid,3,2,6,0,0.0,2,0,0.0,2,2,100.0,3,0,3,0,0,0,2,118765
Leilani Mitchell,25,392,316,144,45.6,130,55,42.3,53,49,92.5,71,10,81,130,9,33,68,118765
Sara Blicavs,25,334,310,132,42.6,89,33,37.1,45,37,82.2,122,53,175,34,9,27,39,118765
Saraid Taylor,2,0,2,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,0,0,118765
Kiera Rowe,22,50,49,17,34.7,32,10,31.3,8,6,75.0,22,7,29,17,7,4,8,118765
Taylah Giliam,3,3,5,1,20.0,3,1,33.3,0,0,0.0,0,0,0,0,0,1,1,118765
Louella Tomlinson,24,45,30,16,53.3,0,0,0.0,23,13,56.5,27,8,35,14,8,7,12,118765
Aimie Clydesdale,24,87,120,33,27.5,62,13,21.0,12,8,66.7,29,17,46,46,5,16,23,118765
Rebecca Cole,25,432,339,167,49.3,65,23,35.4,85,75,88.2,71,19,90,99,6,35,71,118765
Amy O&#039;Neill,2,1,6,0,0.0,0,0,0.0,1,1,100.0,3,1,4,3,0,2,4,118765
Jenna O&#039;Hea,18,247,181,88,48.6,76,36,47.4,40,35,87.5,83,11,94,71,10,27,34,118765
Jacqueline Trotto,1,0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,118765
Mercedes Russell,24,395,298,165,55.4,2,0,0.0,100,65,65.0,162,74,236,40,25,29,47,118765
Keely Froling,23,281,254,107,42.1,29,10,34.5,76,57,75.0,95,63,158,31,17,10,25,7846
Marianna Tolo,25,366,294,157,53.4,2,0,0.0,79,52,65.8,119,72,191,51,40,19,56,7846
Kelsey Griffin,19,284,264,118,44.7,50,10,20.0,55,38,69.1,155,50,205,52,17,45,29,7846
Maddison Rocci,26,235,200,80,40.0,83,30,36.1,62,45,72.6,48,12,60,60,2,31,55,7846
Abby Cubillo,22,27,31,8,25.8,11,1,9.1,15,10,66.7,13,5,18,20,1,2,13,7846
Kia Nurse,26,544,510,189,37.1,223,73,32.7,116,93,80.2,94,18,112,73,2,35,50,7846
Alex Delaney,21,45,39,18,46.2,25,9,36.0,3,0,0.0,14,7,21,6,0,4,7,7846
Shakera Reilly,5,2,4,1,25.0,2,0,0.0,0,0,0.0,1,0,1,0,0,0,0,7846
Pyper Thornberry,1,0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,7846
Gemma Potter,22,47,56,18,32.1,28,6,21.4,10,5,50.0,11,9,20,13,2,13,13,7846
Lily Scanlon,14,9,9,3,33.3,4,2,50.0,2,1,50.0,3,3,6,4,0,0,2,7846
Olivia Epoupa,26,239,237,97,40.9,63,14,22.2,44,31,70.5,145,55,200,173,3,77,80,7846
Monique Conti,19,50,58,20,34.5,28,8,28.6,4,2,50.0,7,2,9,32,0,9,25,13823
Madeleine Garrick,24,266,254,95,37.4,140,52,37.1,34,24,70.6,92,17,109,50,6,44,50,13823
Eziyoda Magbegor,24,311,257,134,52.1,12,5,41.7,50,38,76.0,95,63,158,36,28,19,33,13823
Paige Price,2,0,1,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,13823
Rachel Brewster,3,0,2,0,0.0,2,0,0.0,0,0,0.0,1,0,1,0,0,1,0,13823
Chelsea D'Angelo,5,8,7,2,28.6,5,2,40.0,4,2,50.0,2,2,4,1,0,2,2,13823
Kalani Purcell,24,103,120,45,37.5,34,5,14.7,14,8,57.1,76,35,111,51,16,35,48,13823
Cayla George,24,344,324,140,43.2,104,31,29.8,39,33,84.6,172,31,203,97,33,42,68,13823
Lindsay Allen,20,296,223,108,48.4,61,22,36.1,67,58,86.6,61,7,68,96,1,24,34,13823
Antonia Farnworth,23,63,65,26,40.0,19,5,26.3,9,6,66.7,21,11,32,18,5,8,10,13823
Penina Davidson,24,50,44,19,43.2,3,2,66.7,19,10,52.6,29,19,48,6,4,3,10,13823
Stella Beck,23,134,87,53,60.9,35,18,51.4,16,10,62.5,39,17,56,24,9,21,22,13823
Sophie Cunningham,23,265,208,95,45.7,90,29,32.2,52,46,88.5,61,23,84,53,5,18,36,13823
Lauren Nicholson,22,312,264,115,43.6,96,31,32.3,58,51,87.9,51,24,75,49,0,30,35,118758
Natalie Hurst,22,83,94,29,30.9,60,18,30.0,7,7,100.0,39,6,45,34,0,7,13,118758
Laura Hodges,12,22,26,11,42.3,0,0,0.0,0,0,0.0,7,4,11,0,1,1,4,118758
Nicole Seekamp,22,241,222,89,40.1,42,15,35.7,61,48,78.7,64,29,93,176,3,27,93,118758
Stephanie Talbot,23,317,292,114,39.0,117,36,30.8,71,53,74.6,173,27,200,113,19,34,74,118758
Jessie Edwards,5,4,7,2,28.6,0,0,0.0,0,0,0.0,0,2,2,1,3,0,2,118758
Sarah Elsworthy,21,30,26,6,23.1,9,1,11.1,21,17,81.0,9,9,18,10,0,8,12,118758
Chelsea Brook,23,178,136,70,51.5,52,22,42.3,19,16,84.2,38,25,63,15,4,6,11,118758
Ruby Porter,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,118758
Jennie Rintala,5,18,24,5,20.8,11,3,27.3,8,5,62.5,11,3,14,2,1,2,5,118758
Danni Angley,4,0,3,0,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,4,118758
Brianna Turner,23,387,319,153,48.0,3,0,0.0,127,81,63.8,180,67,247,34,55,22,43,118758
Hannah Kaser,14,18,16,4,25.0,15,4,26.7,10,6,60.0,5,2,7,4,0,2,4,118758
Crystal Langhorne,1,20,10,8,80.0,2,2,100.0,3,2,66.7,13,0,13,1,0,1,1,118758
Kathryn Westbeld,16,169,134,67,50.0,36,13,36.1,28,22,78.6,50,19,69,19,5,11,21,118758
Alison Schwagmeyer-Belger,18,275,232,109,47.0,78,32,41.0,31,25,80.6,62,38,100,35,6,13,31,13819
Lauren Mansfield,21,201,227,80,35.2,85,23,27.1,26,18,69.2,44,22,66,95,1,34,45,13819
Tayah Burrows,5,2,3,1,33.3,1,0,0.0,0,0,0.0,0,0,0,3,0,0,0,13819
Nadeen Payne,21,214,194,77,39.7,118,40,33.9,24,20,83.3,75,22,97,16,5,15,23,13819
Marena Whittle,21,216,192,82,42.7,78,34,43.6,29,18,62.1,76,25,101,23,3,14,13,13819
Maddison Allen,21,93,96,41,42.7,0,0,0.0,20,11,55.0,60,49,109,26,37,13,29,13819
Katie Ebzery,21,342,282,131,46.5,77,27,35.1,77,53,68.8,50,42,92,88,4,30,49,13819
Nes&#039;eya Williams,20,36,29,15,51.7,11,5,45.5,1,1,100.0,19,9,28,8,2,12,11,13819
Imani McGee-Stafford,9,93,91,35,38.5,11,3,27.3,29,20,69.0,62,14,76,11,12,3,19,13819
Jewel Williams,10,7,8,3,37.5,3,1,33.3,2,0,0.0,2,3,5,5,0,4,7,13819
HAYLEY WINTER,4,0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,1,3,0,1,1,13819
Emily Counsel,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,13819
Emma Strelein,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13819
Ariel Atkins,17,188,182,69,37.9,79,26,32.9,28,24,85.7,69,16,85,43,0,32,34,13819
Alex Wilson,20,202,204,68,33.3,117,34,29.1,55,32,58.2,59,8,67,99,5,18,55,13822
