Position,,Team,W,L,%won,L5,For,Agst,HW,HL,AW,AL,TeamID
1,,Fire,17,7,70,"W
W
W
L
W",1952,1707,8,4,9,3,13818
2,,Lynx,16,8,66,"W
L
L
W
W",1887,1734,9,3,7,5,13819
3,,Rangers,15,9,62,"W
W
W
L
L",1733,1738,9,3,6,6,13821
4,,SEQ,15,9,62,"W
W
W
L
W",2005,1841,8,4,7,5,13824
5,,Flames,13,11,54,"L
L
L
L
W",1865,1850,8,4,5,7,13822
6,,Spirit,12,12,50,"L
L
L
L
L",1777,1790,7,5,5,7,13825
7,,Lightning,10,14,41,"W
L
W
W
L",1743,1865,4,8,6,6,118758
8,,Boomers,8,16,33,"L
L
L
L
W",1694,1800,5,7,3,9,13823
9,,UC Capitals,2,22,8,"L
L
W
L
W",1670,2001,2,10,0,12,7846
