Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Kellie Abrams,24,189,186,73,39.0,63,21,33.0,28,22,79.0,48,30,78,83,7,24,77,7818
Jessica Bibby,22,315,266,112,42.0,112,40,36.0,64,51,80.0,28,20,48,24,0,15,38,7818
Natalie Hurst,21,236,189,85,45.0,86,36,42.0,43,30,70.0,90,20,110,74,1,28,48,7818
Peta Sinclair,20,28,26,9,35.0,4,1,25.0,12,9,75.0,11,9,20,2,0,2,9,7818
Michelle Cosier,21,182,132,58,44.0,46,17,37.0,55,49,89.0,66,38,104,32,11,26,36,7818
Abby Bishop,24,400,351,150,43.0,43,16,37.0,116,84,72.0,167,94,261,37,24,34,69,7818
Hannah Bowley,12,23,15,11,73.0,2,1,50.0,0,0,0.0,7,5,12,3,0,3,3,7818
Michaela Dalgleish,9,12,17,3,18.0,12,2,17.0,4,4,100.0,2,5,7,0,0,2,6,7818
Marianna Tolo,24,218,163,89,55.0,0,0,0.0,61,40,66.0,84,64,148,22,53,12,43,7818
Chantella Perera,23,128,105,44,42.0,35,10,29.0,39,30,77.0,28,22,50,29,0,23,35,7818
Lauren Jansen,7,9,7,4,57.0,1,1,100.0,0,0,0.0,0,0,0,3,0,1,1,7818
Tracey Peacock,23,185,169,83,49.0,0,0,0.0,48,19,40.0,114,40,154,26,37,8,43,7818
KYLIE REID,25,91,93,34,37.0,41,14,34.0,12,9,75.0,31,14,45,26,3,9,17,7812
Desiree Glaubitz,24,215,178,83,47.0,47,19,40.0,33,30,91.0,50,16,66,68,3,11,33,7812
Katrina Hibbert,22,284,236,109,46.0,86,34,40.0,42,32,76.0,91,21,112,63,7,27,47,7812
Anna Crosswhite,23,91,63,34,54.0,6,2,33.0,29,21,72.0,21,6,27,8,0,7,7,7812
Shelley Burston,20,256,197,92,47.0,42,20,48.0,80,52,65.0,129,48,177,71,21,5,56,7812
Sharin Milner,25,276,236,98,42.0,80,29,36.0,72,51,71.0,50,30,80,139,4,40,44,7812
Zoe Carr,25,181,150,71,47.0,11,2,18.0,47,37,79.0,61,27,88,40,16,18,24,7812
Elyse Penaluna,25,348,293,147,50.0,9,1,11.0,64,53,83.0,115,40,155,30,32,27,56,7812
Lucy Dawson,1,4,4,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7812
Lisa Pardon,25,175,152,64,42.0,74,33,45.0,18,14,78.0,38,10,48,29,2,8,31,7812
Tenille Cann,11,5,12,2,17.0,7,1,14.0,2,0,0.0,7,0,7,7,0,0,6,7812
SARAH PARSONS,10,10,13,4,31.0,3,0,0.0,4,2,50.0,5,6,11,6,0,3,6,7812
Rohanee Cox,24,507,397,178,45.0,122,41,34.0,151,110,73.0,109,82,191,55,15,34,80,7817
Aneka Davis,24,231,178,82,46.0,2,1,50.0,90,66,73.0,102,69,171,40,9,17,40,7817
Rachael McCully,24,157,157,61,39.0,45,9,20.0,38,26,68.0,65,18,83,113,3,26,59,7817
Cherie Gallagher,24,115,97,47,48.0,18,6,33.0,17,15,88.0,47,25,72,17,4,6,17,7817
Jennifer Crouse,24,325,253,130,51.0,6,3,50.0,83,62,75.0,164,87,251,20,62,7,39,7817
Rebecca Miles,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7817
Rebecca Schatz,4,3,5,1,20.0,1,0,0.0,2,1,50.0,3,2,5,3,0,0,0,7817
Kirby Dalgleish,24,93,93,36,39.0,26,5,19.0,26,16,62.0,28,21,49,16,1,8,20,7817
KATE McMeeken-Ruscoe,16,48,45,16,36.0,29,9,31.0,8,7,88.0,4,2,6,8,0,2,11,7817
AROON EDGAR,8,6,3,2,67.0,0,0,0.0,3,2,67.0,5,0,5,3,0,0,1,7817
Jillian Haughton,3,0,2,0,0.0,1,0,0.0,0,0,0.0,1,0,1,0,0,1,1,7817
Amy Lewis,24,266,265,96,36.0,98,34,35.0,54,40,74.0,31,20,51,34,3,10,61,7817
