Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Emily McInerny,23,81,99,26,26.3,56,9,16.1,26,20,76.9,113,31,144,91,23,45,75,7813
Jessica Bibby,23,167,137,51,37.2,63,22,34.9,49,43,87.8,11,12,23,20,5,16,31,7813
Allie Douglas,23,244,209,89,42.6,2,0,0.0,93,66,71.0,89,69,158,32,25,17,52,7813
Carly Wilson,23,294,284,119,41.9,85,27,31.8,35,29,82.9,60,28,88,37,30,19,20,7813
Samantha Richards,20,136,128,52,40.6,24,10,41.7,37,22,59.5,40,12,52,34,9,21,35,7813
Jacinta Kennedy,19,286,246,117,47.6,2,0,0.0,77,52,67.5,89,52,141,30,23,15,47,7813
Caitlin Ryan,21,176,156,64,41.0,70,25,35.7,36,23,63.9,44,8,52,41,1,9,41,7813
Deanne Ranford,23,110,103,38,36.9,10,2,20.0,40,32,80.0,40,9,49,44,3,6,44,7813
Alison Downie,21,41,53,18,34.0,11,2,18.2,7,3,42.9,27,10,37,12,7,2,17,7813
Demelza Waixel,21,68,56,25,44.6,1,0,0.0,34,18,52.9,42,29,71,16,13,12,17,7813
Tammy Goyne,10,13,12,5,41.7,6,2,33.3,2,1,50.0,5,4,9,4,0,7,1,7813
Jessica Cichowicz,12,10,14,3,21.4,0,0,0.0,6,4,66.7,10,2,12,4,1,2,4,7813
Tammy Hoare,23,131,135,61,45.2,0,0,0.0,22,9,40.9,45,19,64,23,18,13,29,7811
Narelle Lindsay,24,105,104,36,34.6,28,7,25.0,33,26,78.8,33,12,45,33,4,17,28,7811
Belinda Snell,24,422,347,148,42.7,156,63,40.4,76,63,82.9,130,47,177,79,18,47,87,7811
Briana Maimone,24,136,123,53,43.1,47,20,42.6,14,10,71.4,28,24,52,33,6,10,21,7811
Shelley Burston,23,354,311,135,43.4,44,19,43.2,94,65,69.1,105,57,162,45,16,13,49,7811
Michelle Cosier,23,274,252,96,38.1,99,22,22.2,76,60,78.9,79,39,118,30,11,15,52,7811
Emma McDonald,24,158,148,55,37.2,24,6,25.0,58,42,72.4,61,25,86,24,7,7,43,7811
Erin Heyde,11,3,4,1,25.0,2,1,50.0,0,0,0.0,0,1,1,0,0,0,0,7811
Jamie-Lee Samuels,10,5,4,2,50.0,0,0,0.0,1,1,100.0,0,1,1,1,0,0,2,7811
Adrianne Gilbert,24,18,32,7,21.9,4,1,25.0,11,3,27.3,14,4,18,8,0,4,16,7811
Rebecca Cotton,23,78,71,30,42.3,0,0,0.0,28,18,64.3,30,25,55,17,7,10,32,7811
Kelly Wilson,19,39,53,16,30.2,25,5,20.0,2,2,100.0,15,2,17,23,2,16,28,7811
Michelle Brogan,17,159,135,57,42.2,19,1,5.3,53,44,83.0,78,32,110,35,20,18,41,7810
Rachael Sporn,21,255,252,114,45.2,0,0,0.0,43,27,62.8,101,56,157,59,15,34,36,7810
Deanna Black,21,275,245,106,43.3,68,20,29.4,56,43,76.8,53,26,79,42,4,23,60,7810
