Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Alex Wilson,24,97,97,38,39.0,25,3,12.0,27,18,67.0,47,18,65,33,4,12,24,7817
Suzy Batkovic,24,442,385,176,46.0,28,5,18.0,100,82,82.0,188,66,254,50,32,38,66,7817
Rachael McCully,24,152,134,56,42.0,37,12,32.0,39,27,69.0,53,15,68,115,6,16,46,7817
Mia Murray,24,234,213,88,41.0,79,26,33.0,36,30,83.0,76,35,111,50,9,15,26,7817
Kate Gaze,18,25,28,10,36.0,10,3,30.0,2,2,100.0,8,0,8,8,0,1,11,7817
Rosie FADLJEVIC,19,28,23,9,39.0,0,0,0.0,9,8,89.0,12,8,20,8,0,4,12,7817
Micaela Cocks,24,183,145,67,46.0,56,29,52.0,26,20,77.0,23,13,36,36,1,5,28,7817
Jacqui Zelenka,7,5,3,1,33.0,1,0,0.0,4,3,75.0,3,3,6,0,0,0,2,7817
Jillian Harmon,24,161,160,72,45.0,1,0,0.0,26,17,65.0,79,31,110,29,2,17,23,7817
Cayla George,24,418,321,157,49.0,76,32,42.0,91,70,77.0,164,86,250,51,38,24,59,7817
Sara Blicavs,24,275,234,104,44.0,28,7,25.0,75,57,76.0,90,25,115,29,11,31,44,7824
Madeleine Garrick,22,101,111,39,35.0,43,16,37.0,12,7,58.0,35,5,40,10,4,7,11,7824
KRISTI HARROWER,10,25,24,6,25.0,9,3,33.0,10,8,80.0,13,4,17,29,0,3,16,7824
Belinda Snell,24,340,270,121,45.0,140,53,38.0,48,44,92.0,76,12,88,67,10,26,53,7824
Gabrielle Richards,23,286,243,123,51.0,3,1,33.0,59,39,66.0,124,71,195,50,19,15,49,7824
Jane Chalmers,22,21,20,7,35.0,6,1,17.0,8,6,75.0,9,8,17,13,1,7,13,7824
Andrea Wilson,4,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,7824
Chelsea Aubry,23,93,101,36,36.0,44,15,34.0,7,6,86.0,28,15,43,16,3,2,13,7824
Tayla Roberts,14,30,29,11,38.0,0,0,0.0,10,6,60.0,14,9,23,1,3,0,7,7824
Tessa Lavey,23,50,64,18,28.0,29,8,28.0,9,6,67.0,19,4,23,32,1,5,17,7824
Heather OLIVER,21,72,67,25,37.0,5,2,40.0,25,20,80.0,27,21,48,14,5,6,12,7824
Kelsey Griffin,24,379,281,137,49.0,52,15,29.0,107,85,79.0,154,62,216,49,16,31,36,7824
Kelly Wilson,20,163,154,55,36.0,53,16,30.0,43,36,84.0,47,14,61,93,4,16,53,7824
Tegan Cunningham,23,153,161,70,43.0,8,1,13.0,17,12,71.0,83,44,127,28,3,9,14,7813
Penny Taylor,18,348,242,123,51.0,87,35,40.0,75,67,89.0,100,18,118,67,25,28,56,7813
Kathleen Macleod,17,219,192,86,45.0,43,18,42.0,39,29,74.0,40,15,55,73,1,12,40,7813
Alice Kunek,21,271,246,103,42.0,89,33,37.0,37,32,86.0,47,44,91,19,8,10,34,7813
Tenaya Phillips,11,13,18,4,22.0,5,1,20.0,4,4,100.0,5,5,10,8,0,1,4,7813
Briahna Whatman,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Amanda Meinking,10,10,12,5,42.0,0,0,0.0,2,0,0.0,11,6,17,2,3,1,2,7813
Lauren Scherf,18,78,78,36,46.0,2,1,50.0,9,5,56.0,47,29,76,9,9,9,14,7813
Rachel Antoniadou,2,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,7813
Chloe Bibby,17,11,14,5,36.0,0,0,0.0,1,1,100.0,10,5,15,1,0,2,3,7813
Teyla Evans,6,9,6,3,50.0,0,0,0.0,4,3,75.0,2,0,2,0,1,2,1,7813
Georgia Pineau,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Annalise Pickrel,23,255,222,110,50.0,35,11,31.0,28,24,86.0,73,40,113,24,14,21,31,7813
Cappie Pondexter,23,391,339,156,46.0,54,17,31.0,74,62,84.0,106,21,127,93,6,27,55,7813
Briahna Whatman,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Aimie Clydesdale,23,106,123,43,35.0,19,5,26.0,16,15,94.0,30,17,47,31,3,8,26,7813
Rohanee Cox,18,177,139,61,44.0,42,16,38.0,50,39,78.0,75,28,103,18,12,17,22,7831
Casey Samuels,24,183,165,60,36.0,93,31,33.0,36,32,89.0,55,19,74,21,14,10,31,7831
Leilani Mitchell,24,301,251,110,44.0,99,36,36.0,54,45,83.0,82,16,98,135,4,29,51,7831
Hayley Moffatt,24,112,119,47,39.0,12,4,33.0,20,14,70.0,26,34,60,22,5,9,15,7831
Nicole How,16,20,22,8,36.0,10,4,40.0,0,0,0.0,9,5,14,6,0,1,5,7831
Maddison Penn,3,0,2,0,0.0,2,0,0.0,0,0,0.0,0,1,1,0,1,0,1,7831
Mikaela Ruef,19,197,188,76,40.0,9,0,0.0,76,45,59.0,114,35,149,35,18,15,31,7831
Paris Johnson,24,220,200,93,47.0,5,2,40.0,61,32,52.0,86,50,136,16,21,22,49,7831
kate oliver,23,142,123,61,50.0,16,7,44.0,19,13,68.0,32,20,52,10,10,8,16,7831
Kate Seebohm,5,2,3,1,33.0,1,0,0.0,0,0,0.0,0,0,0,0,0,1,0,7831
Tahlia Tupaea,21,108,85,35,41.0,33,12,36.0,30,26,87.0,32,7,39,39,2,24,25,7831
Katie Ebzery,24,402,330,134,41.0,94,42,45.0,112,92,82.0,46,37,83,71,7,26,48,7831
HAYLEY MUNRO,12,17,19,7,37.0,3,1,33.0,4,2,50.0,22,2,24,12,1,10,11,7801
Lucy Dawson,2,4,1,1,100.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,7801
Natalie Burton,21,151,139,65,47.0,0,0,0.0,43,21,49.0,61,48,109,26,11,9,42,7801
Amelia Todhunter,21,56,61,22,36.0,21,5,24.0,10,7,70.0,18,11,29,26,0,9,9,7801
Tess Madgen,21,335,263,122,46.0,88,36,41.0,65,55,85.0,96,22,118,100,5,10,56,7801
Rebecca Allen,21,302,307,120,39.0,85,28,33.0,42,34,81.0,100,27,127,40,20,37,55,7801
Olivia Thompson,21,197,178,89,50.0,0,0,0.0,28,19,68.0,97,34,131,23,11,10,29,7801
Laurie Koehn,13,139,86,45,52.0,61,35,57.0,16,14,88.0,17,1,18,16,0,1,14,7801
