Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Rachael Sporn,15,225,201,94,46.8,1,0,0.0,58,37,63.8,55,47,102,44,8,19,27,7810
Jo Hill,15,208,186,86,46.2,19,4,21.1,40,32,80.0,58,24,82,45,2,27,41,7810
Lesley Grieger,11,4,6,1,16.7,1,1,100.0,2,1,50.0,2,1,3,1,0,2,1,7810
Carla Boyd,15,221,194,90,46.4,27,11,40.7,49,30,61.2,96,38,134,36,17,22,44,7810
Vikki Kelson,13,12,10,3,30.0,1,0,0.0,10,6,60.0,12,3,15,7,0,2,8,7810
Jae Kingi,15,128,94,41,43.6,47,20,42.6,40,26,65.0,28,9,37,38,3,16,32,7810
Tania Dhu,15,25,49,10,20.4,10,1,10.0,10,4,40.0,10,10,20,11,2,6,21,7810
Narelle Lindsay,15,57,46,22,47.8,26,13,50.0,0,0,0.0,37,9,46,17,0,12,19,7810
Samantha Woosnam,15,106,96,43,44.8,0,0,0.0,32,20,62.5,40,19,59,20,2,5,21,7810
Tracey Peacock,15,31,30,13,43.3,0,0,0.0,15,5,33.3,14,9,23,2,8,1,19,7810
Gail Henderson,14,14,18,5,27.8,0,0,0.0,6,4,66.7,7,7,14,1,0,1,10,7811
Michelle Brogan,14,242,202,96,47.5,21,7,33.3,61,43,70.5,93,57,150,30,6,27,34,7811
Annie Burgess,12,173,160,65,40.6,46,17,37.0,35,26,74.3,35,17,52,49,0,15,50,7811
Robyn Maher,13,63,82,25,30.5,18,3,16.7,15,10,66.7,44,16,60,79,9,17,40,7811
Laura Howlett,14,5,12,2,16.7,3,0,0.0,2,1,50.0,4,0,4,1,0,0,2,7811
Rhonda Corkeron,14,151,140,64,45.7,0,0,0.0,39,23,59.0,53,52,105,17,19,30,32,7811
Dimity Taylor,14,43,48,19,39.6,1,0,0.0,10,5,50.0,12,11,23,11,0,9,14,7811
Alicia Poto,11,127,117,49,41.9,48,13,27.1,21,16,76.2,27,10,37,23,0,14,20,7811
Amy Cruickshank,10,13,15,5,33.3,8,3,37.5,0,0,0.0,0,1,1,1,0,3,4,7811
Anna Crosswhite,7,3,5,0,0.0,0,0,0.0,6,3,50.0,0,2,2,0,0,0,2,7811
Karen Dalton,14,66,72,29,40.3,0,0,0.0,10,8,80.0,46,28,74,13,2,8,18,7811
Tania Baxter,13,40,38,14,36.8,26,9,34.6,6,3,50.0,6,2,8,8,0,3,8,7814
Penny Taylor,14,149,125,59,47.2,8,3,37.5,37,28,75.7,60,42,102,22,10,15,29,7814
Lauren Jackson,13,206,148,77,52.0,13,4,30.8,68,48,70.6,87,51,138,11,13,8,30,7814
Lauren Fitzgerald,12,44,36,18,50.0,2,0,0.0,11,8,72.7,6,3,9,9,1,4,16,7814
Tammy Hoare,6,7,6,3,50.0,0,0,0.0,5,1,20.0,2,2,4,2,0,1,4,7814
Desiree Glaubitz,14,140,105,55,52.4,49,23,46.9,9,7,77.8,37,5,42,24,1,13,27,7814
Kristen Veal,14,107,105,35,33.3,23,4,17.4,42,33,78.6,49,14,63,63,3,14,63,7814
Suzy Batkovic,13,56,57,26,45.6,0,0,0.0,6,4,66.7,19,8,27,3,9,5,9,7814
Rohanee Cox,14,149,132,62,47.0,19,3,15.8,27,22,81.5,35,27,62,25,3,15,40,7814
Deanna Black,12,26,16,5,31.3,6,1,16.7,17,15,88.2,8,1,9,5,2,2,9,7814
Deanne Butler,13,24,21,8,38.1,7,1,14.3,10,7,70.0,16,5,21,7,0,3,10,7814
Belinda Snell,12,48,41,17,41.5,5,0,0.0,21,14,66.7,21,14,35,5,2,9,17,7814
Alison O'Dwyer,10,19,8,7,87.5,0,0,0.0,7,5,71.4,4,2,6,0,0,1,7,7814
Narelle Fletcher,13,126,125,39,31.2,61,19,31.1,37,29,78.4,39,15,54,55,3,21,46,7800
Jenny Whittle,13,170,159,68,42.8,16,5,31.3,35,29,82.9,87,21,108,28,42,0,40,7800
Christine Boyd,13,9,10,3,30.0,0,0,0.0,4,3,75.0,7,3,10,3,2,4,3,7800
Natasha Bargeus,13,93,85,33,38.8,2,1,50.0,33,26,78.8,37,23,60,14,1,6,21,7800
Lisa MacLean,13,41,57,13,22.8,44,9,20.5,10,6,60.0,25,6,31,23,1,8,25,7800
Tully Bevilaqua,10,90,58,30,51.7,18,9,50.0,30,21,70.0,41,12,53,28,4,39,21,7800
Marianna Vlahov,13,70,65,23,35.4,23,8,34.8,20,16,80.0,17,25,42,10,0,10,9,7800
Melissa McClure,13,54,44,17,38.6,3,1,33.3,23,19,82.6,18,12,30,13,0,13,26,7800
Gina Stevens,13,180,166,73,44.0,33,9,27.3,35,25,71.4,32,16,48,15,5,16,24,7800
Shelley Boston,2,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,7800
Megan Clarke,13,12,15,5,33.3,3,1,33.3,4,1,25.0,9,4,13,3,1,3,6,7800
Andrea Cartledge,12,78,83,24,28.9,40,13,32.5,21,17,81.0,10,11,21,13,0,5,8,7801
Jo Myers,12,39,42,14,33.3,23,4,17.4,13,7,53.8,14,8,22,12,0,12,11,7801
Jodie Datson,12,38,38,15,39.5,10,3,30.0,6,5,83.3,11,9,20,7,0,7,6,7801
Nicky Simpson,12,107,100,41,41.0,29,11,37.9,18,14,77.8,15,11,26,8,1,5,12,7801
KRISTI HARROWER,12,170,166,58,34.9,88,28,31.8,40,26,65.0,41,13,54,41,2,25,37,7801
Kelly Lemezs,12,114,73,45,61.6,1,1,100.0,30,23,76.7,17,23,40,10,1,4,13,7801
Joanne Hoey,12,49,40,15,37.5,20,7,35.0,21,12,57.1,5,6,11,11,0,8,12,7801
Emily McInerny,12,56,69,21,30.4,16,4,25.0,19,10,52.6,53,30,83,22,6,13,20,7801
Chika Emeagi,12,108,122,42,34.4,1,0,0.0,34,24,70.6,44,33,77,10,4,11,17,7801
Anthea Tona,6,9,9,4,44.0,4,1,25.0,0,0,0.0,1,1,2,0,1,0,3,7801
Priscilla Tomlinson,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7801
Stacey McWilliams,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7801
Lucille Bailie,12,201,178,87,48.9,1,1,100.0,32,26,81.3,93,43,136,17,3,5,35,7813
Sally Phillips,12,142,119,50,42.0,34,15,44.1,29,27,93.1,22,14,36,52,1,16,36,7813
Jade Hyett,12,32,26,10,38.5,8,3,37.5,18,9,50.0,19,4,23,21,0,15,23,7813
Rebecca Brincat,12,34,34,15,44.1,5,1,20.0,4,3,75.0,13,8,21,10,2,8,11,7813
REBECCA MACKINNON,12,71,75,23,30.7,26,6,23.1,31,19,61.3,31,12,43,24,3,20,26,7813
NATALIE PORTER,12,101,115,44,38.3,37,8,21.6,10,5,50.0,24,15,39,8,2,8,28,7813
Jessica Bibby,11,97,96,34,35.4,58,18,31.0,14,11,78.6,8,5,13,14,2,9,18,7813
Allie Douglas,12,67,53,26,49.1,0,0,0.0,26,15,57.7,36,33,69,10,4,6,12,7813
Aneka Davis,12,16,13,7,53.8,1,0,0.0,4,2,50.0,3,6,9,0,1,1,3,7813
JULIE OFSOSKI,12,62,39,23,59.0,0,0,0.0,21,16,76.2,10,11,21,2,0,4,7,7813
Samantha Richards,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Nerida Jeffrey,12,96,91,41,45.1,5,1,20.0,26,13,50.0,28,15,43,8,1,2,22,7812
ALLISON TRANQUILLI,12,232,195,88,45.1,27,12,44.4,50,44,88.0,44,22,66,30,2,15,38,7812
Michelle Cleary,9,49,59,19,32.2,19,4,21.1,8,7,87.5,14,9,23,20,0,15,11,7812
Mandy Bonney,12,47,39,16,41.0,0,0,0.0,24,15,62.5,13,10,23,10,0,7,12,7812
Kerryn Henderson,12,99,95,42,44.2,6,0,0.0,19,15,78.9,37,15,52,12,1,8,26,7812
Jo Metcalfe,7,68,63,28,44.4,21,7,33.3,7,5,71.4,19,5,24,10,2,4,15,7812
Linda Brandt,12,83,77,32,41.6,3,0,0.0,33,19,57.6,23,15,38,26,4,9,21,7812
Kate Hogan,12,43,44,14,31.8,7,1,14.3,19,14,73.7,12,10,22,18,2,6,18,7812
Monica Bello,12,5,4,1,25.0,3,1,33.3,2,2,100.0,4,1,5,2,1,0,2,7812
Kirstie Dench,3,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,7812
Karen Ashby,12,40,33,17,51.5,0,0,0.0,9,6,66.7,20,15,35,10,3,2,8,7812
Kate Paterson,12,106,119,43,36.1,33,9,27.3,26,11,42.3,27,19,46,19,2,15,37,7818
Kellie Abrams,10,45,62,19,30.6,20,4,20.0,7,3,42.9,20,9,29,15,0,7,25,7818
Gemma Sutherland,5,6,6,2,33.3,0,0,0.0,2,2,100.0,2,2,4,0,2,1,3,7818
Karen Smiggs Stanford-Smith,12,142,110,51,46.4,0,0,0.0,57,40,70.2,54,21,75,18,11,6,27,7818
Kim Wielens,12,193,145,68,46.9,36,18,50.0,61,39,63.9,30,8,38,30,3,20,31,7818
Stephanie Lynch,12,65,68,19,27.9,12,3,25.0,32,24,75.0,22,14,36,8,0,11,20,7818
Eleanor Sharp,12,123,111,43,38.7,43,11,25.6,37,26,70.3,30,18,48,17,0,13,19,7818
Dimity Ross,12,31,29,14,48.3,1,0,0.0,11,3,27.3,13,9,22,16,0,12,18,7818
Denise Shawyer,9,7,7,2,28.6,0,0,0.0,4,3,75.0,3,5,8,0,2,3,2,7818
Chloe Mullaney,12,12,24,5,20.8,0,0,0.0,5,2,40.0,11,9,20,6,0,6,5,7818
Kerri Kennedy,8,20,44,7,15.9,28,4,14.3,2,2,100.0,8,7,15,5,1,5,11,7818
Kate Cohen,12,80,110,30,27.3,29,5,17.2,29,15,51.7,31,11,42,26,1,18,37,7815
Jenny Evans,9,89,96,40,41.7,9,3,33.3,11,6,54.5,31,12,43,19,5,32,15,7815
Leanne Dalton,10,17,30,7,23.3,2,0,0.0,6,3,50.0,24,3,27,6,7,17,11,7815
Julie Korst,3,10,6,5,83.0,0,0,0.0,0,0,0.0,6,2,8,0,1,1,6,7815
Kate Lockett,6,16,16,8,50.0,2,0,0.0,1,0,0.0,2,0,2,2,0,3,1,7815
NARELLE HENRY,11,73,90,29,32.2,30,8,26.7,8,7,87.5,16,10,26,9,1,17,21,7815
Fiona Mcgrath,12,54,81,22,27.2,12,4,33.3,6,6,100.0,17,19,36,7,2,6,24,7815
Jenny Gardiner,12,78,74,28,37.8,17,5,29.4,29,17,58.6,17,9,26,8,1,8,21,7815
Peta Lankester,8,10,18,3,16.7,13,2,15.4,4,2,50.0,2,1,3,2,0,0,10,7815
Clare Barnard,9,93,65,31,47.7,0,0,0.0,47,31,66.0,22,17,39,4,1,4,19,7815
Carrie Molijn,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,7815
Tricia Bader,9,98,96,39,40.6,20,10,50.0,12,10,83.3,21,16,37,21,1,11,29,7815
Larissa Anderson,12,110,126,50,39.7,12,2,16.7,8,8,100.0,56,22,78,6,10,22,17,7815
